Electoral district number,Electoral district name,Conservative % Votes Obtained (2011),Liberal % Votes Obtained (2011),NDP % Votes Obtained (2011),Bloc Quebecois % Votes Obtained (2011),Green Party % Votes Obtained (2011),Other % Votes Obtained (2011)
35013,Brantford--Brant,48.4,18.9,28.9,0,3.2,0.5
35014,Bruce--Grey--Owen Sound,56.3,16.1,17.6,0,10,0
35015,Burlington,54.1,23.2,18.9,0,3.5,0
35016,Cambridge,52.7,15.4,27.9,0,3.6,0.3
35017,Chatham-Kent--Leamington,53.2,16.3,27.2,0,3.3,0
35018,Davenport,14.2,27.9,53.7,0,3.4,0.8
35019,Don Valley East,36.4,38.4,21.9,0,2.8,0
35020,Don Valley North,40.3,37.3,20.7,0,1.3,0
35021,Don Valley West,43.9,41.5,10.7,0,3.6,0.3
35022,Dufferin--Caledon,59,13.1,13.2,0,14.7,0
35023,Durham,55.2,15.5,23.7,0,4.6,1
35024,Eglinton--Lawrence,46.8,38.4,11.6,0,3.2,0
35025,Elgin--Middlesex--London,58.1,13.4,24.1,0,3,1.4
35026,Essex,48.3,14.3,34.9,0,2.4,0.1
35027,Etobicoke Centre,41.9,40.6,14.6,0,2.7,0.3
35028,Etobicoke--Lakeshore,40.2,35.1,20.3,0,4,0.4
35029,Etobicoke North,32,42.6,23.6,0,0.2,1.7
35030,Flamborough--Glanbrook,55.4,16.9,22.8,0,4.2,0
35031,Glengarry--Prescott--Russell,48.8,30.6,16.7,0,3.6,0.3
35032,Guelph,32.8,43.4,16.7,0,6.1,1
35033,Haldimand--Norfolk,50.9,24.9,20,0,3.3,0.9
35034,Haliburton--Kawartha Lakes--Brock,60,12.9,22.1,0,5,0
35035,Hamilton Centre,23.5,13.1,60.3,0,0.5,2.7
35036,Hamilton East--Stoney Creek,36.9,13.6,44.3,0,2.8,2.4
35037,Hamilton Mountain,32.3,15.6,48.4,0,2.8,0.8
35038,Hamilton West--Ancaster--Dundas,42.4,24.9,28.2,0,3.7,0
35039,Hastings--Lennox and Addington,54.9,17.1,24,0,3.4,0
35040,Huron--Bruce,54.9,16.5,25.3,0,2.7,0
35041,Kanata--Carleton,53.7,26.5,15.3,0,4.5,0
35042,Kenora,47,21.9,27.9,0,2.6,0.6
35043,King--Vaughan,57.1,27.5,12.3,0,2.7,0
35044,Kingston and the Islands,34.1,40,21.6,0,4.3,0
35045,Kitchener Centre,40.4,32.3,21.9,0,4.6,0.8
35046,Kitchener--Conestoga,54.4,23.5,18.3,0,3.6,0.2
35047,Kitchener South--Hespeler,51.2,18.9,25.8,0,4,0.1
35048,Lambton--Kent--Middlesex,57.7,14.2,24,0,3.3,0
35049,Lanark--Frontenac--Kingston,60.1,16.4,18.1,0,4.9,0.5
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,60.8,15.9,18.3,0,5,0
35051,London--Fanshawe,33.9,12,49.8,0,3,1.2
35052,London North Centre,37.1,34.2,24.3,0,4,0.4
35053,London West,45.1,26.7,25.4,0,2.7,0.1
35054,Markham--Stouffville,50.5,29,17,0,2.7,0
35055,Markham--Thornhill,36.4,37.1,23.4,0,2.6,0
35056,Markham--Unionville,45.8,33.7,16.5,0,3,0
35057,Milton,55,24.2,16.5,0,3.9,0.4
35058,Mississauga Centre,41.7,36.7,19,0,2.3,0
35059,Mississauga East--Cooksville,43.5,36.2,17.7,0,2.2,0.5
35060,Mississauga--Erin Mills,46.6,34.4,16.1,0,2.7,0
35061,Mississauga--Lakeshore,46.9,36.9,12.8,0,3.1,0.4
35062,Mississauga--Malton,37.4,36.8,23.4,0,2,0.3
35063,Mississauga--Streetsville,46.1,35,15.2,0,3.7,0
35064,Nepean,51,27.1,17.8,0,4,0
35065,Newmarket--Aurora,54.1,23.7,15.8,0,4.4,2.1
35066,Niagara Centre,39.1,14.4,43.2,0,2.5,0.9
35067,Niagara Falls,53.3,18.9,23.5,0,3.9,0
35068,Niagara West,59.5,14.3,19.2,0,4.5,2.5
35069,Nickel Belt,28,14.1,55,0,2.8,0.1
35070,Nipissing--Timiskaming,36.4,36.5,21.1,0,6,0
35071,Northumberland--Peterborough South,53.4,21.1,20.6,0,4.7,0
35072,Oakville,51.6,30.7,13.9,0,3.7,0
35073,Oakville North--Burlington,54.2,27,15.5,0,3.1,0.3
35074,Oshawa,51.1,7.7,37.1,0,3.5,0.6
35075,Ottawa Centre,21.6,20.1,52.2,0,5,1.1
35076,Orleans,45.2,38,14,0,2.9,0
35077,Ottawa South,33.3,44,18.2,0,3,1.5
35078,Ottawa--Vanier,27.9,38.1,28.7,0,5.1,0.2
35079,Ottawa West--Nepean,44.7,31.5,19.8,0,4,0
35080,Oxford,59,9.6,25.4,0,4.3,1.6
35081,Parkdale--High Park,15.6,32.9,47.2,0,3.3,1.1
35082,Parry Sound--Muskoka,55.7,11.5,24.2,0,8.1,0.5
35083,Perth--Wellington,54.5,18,21.3,0,4.6,1.7
35084,Peterborough--Kawartha,49.6,21.3,25,0,3.7,0.5
35085,Pickering--Uxbridge,46,33.6,15.7,0,4.5,0
35086,Renfrew--Nipissing--Pembroke,53.4,12.7,13.4,0,1.7,18.7
35087,Richmond Hill,43.5,35.6,17,0,3.8,0
35088,Carleton,61.7,20.9,13.3,0,4.1,0
