Electoral district number,Electoral district name,Last name (2015),First name (2015),Political affiliation (2015),% Votes obtained (2015)
35031,Glengarry--Prescott--Russell,Laurin,Normand,NDP-New Democratic Party,7.9
35031,Glengarry--Prescott--Russell,Lemieux,Pierre,Conservative,36.4
35031,Glengarry--Prescott--Russell,Malouin-Diraddo,Genevieve,Green Party,1.8
35032,Guelph,Dineen,Tristan,Communist,0.2
35032,Guelph,Fekri,Alexander,Libertarian,0.7
35032,Guelph,Klevering,Kornelis,Radical Marijuana,0.3
35032,Guelph,Kovach,Gloria,Conservative,26.3
35032,Guelph,Longfield,Lloyd,Liberal,49.1
35032,Guelph,Miller,Gord,Green Party,11.3
35032,Guelph,Seagram,Andrew,NDP-New Democratic Party,12
35033,Haldimand--Norfolk,Bory,Leslie,Independent,0.3
35033,Haldimand--Norfolk,Bylsma,Dave,Christian Heritage Party,1.6
35033,Haldimand--Norfolk,Ettinger,Wayne,Green Party,3.3
35033,Haldimand--Norfolk,Finley,Diane,Conservative,44.1
35033,Haldimand--Norfolk,Harris,John,NDP-New Democratic Party,13.6
35033,Haldimand--Norfolk,Mouland,Joan,Liberal,36.6
35033,Haldimand--Norfolk,Wakeford,Dustin,Independent,0.5
35034,Haliburton--Kawartha Lakes--Brock,MacCallum,Bill,Green Party,4
35034,Haliburton--Kawartha Lakes--Brock,Marquis,David,Liberal,31.8
35034,Haliburton--Kawartha Lakes--Brock,Perry,Mike,NDP-New Democratic Party,19.4
35034,Haliburton--Kawartha Lakes--Brock,Schmale,Jamie,Conservative,44.8
35035,Hamilton Centre,Anastasiou,Maria,Independent,0.5
35035,Hamilton Centre,Baldasaro,Michael James,Radical Marijuana,0.8
35035,Hamilton Centre,Christopherson,David,NDP-New Democratic Party,45.6
35035,Hamilton Centre,Rozenszajn,Yonatan,Conservative,14.6
35035,Hamilton Centre,Schmid-Jones,Ute,Green Party,4.3
35035,Hamilton Centre,Tennier,Anne,Liberal,33.4
35035,Hamilton Centre,Young,Rob,Libertarian,0.8
35036,Hamilton East--Stoney Creek,Bratina,Bob,Liberal,39
35036,Hamilton East--Stoney Creek,Bubanko,Diane,Conservative,25.3
35036,Hamilton East--Stoney Creek,Davis,Erin,Green Party,2.6
35036,Hamilton East--Stoney Creek,Fields,Wendell,Marxist-Leninist,0.1
35036,Hamilton East--Stoney Creek,Mann,Bob,Communist,0.3
35036,Hamilton East--Stoney Creek,Marston,Wayne,NDP-New Democratic Party,32.7
35037,Hamilton Mountain,Aman,Raheem,Green Party,2.5
35037,Hamilton Mountain,Burt,Shaun,Liberal,33.5
35037,Hamilton Mountain,Caton,Andrew James,Libertarian,1.5
35037,Hamilton Mountain,Duvall,Scott,NDP-New Democratic Party,35.9
35037,Hamilton Mountain,Enos,Jim,Christian Heritage Party,0.9
35037,Hamilton Mountain,Miles,Al,Conservative,25.7
35038,Hamilton West--Ancaster--Dundas,Johnstone,Alex,NDP-New Democratic Party,16.3
35038,Hamilton West--Ancaster--Dundas,Ormond,Peter,Green Party,4.2
35038,Hamilton West--Ancaster--Dundas,Samuel,Vincent,Conservative,31.8
35038,Hamilton West--Ancaster--Dundas,Tassi,Filomena,Liberal,47.7
35039,Hastings--Lennox and Addington,Bannon,Betty,NDP-New Democratic Party,12.7
35039,Hastings--Lennox and Addington,Bossio,Mike,Liberal,42.4
35039,Hastings--Lennox and Addington,Kramp,Daryl,Conservative,41.9
35039,Hastings--Lennox and Addington,Mather,Cam,Green Party,2.9
35040,Huron--Bruce,Creces,Gerard,NDP-New Democratic Party,13
35040,Huron--Bruce,Lobb,Ben,Conservative,44.9
35040,Huron--Bruce,Splettstoesser,Jutta,Green Party,2.4
35040,Huron--Bruce,Thompson,Allan,Liberal,39.7
35041,Kanata--Carleton,Hansen,John,NDP-New Democratic Party,6.8
35041,Kanata--Carleton,McCrimmon,Karen,Liberal,51.3
35041,Kanata--Carleton,Pamic,Walter,Conservative,39.2
35041,Kanata--Carleton,West,Andrew,Green Party,2.7
35042,Kenora,Boucher-Chicago,Kelvin,Independent,0.5
35042,Kenora,Hampton,Howard,NDP-New Democratic Party,33.9
35042,Kenora,McKillop,Ember C.,Green Party,1.6
35042,Kenora,Nault,Bob,Liberal,35.5
35042,Kenora,Rickford,Greg,Conservative,28.5
35043,King--Vaughan,Raney,Ann,Green Party,1.9
35043,King--Vaughan,Rizzo,Natalie,NDP-New Democratic Party,6.5
35043,King--Vaughan,Schulte,Deb,Liberal,47.4
35043,King--Vaughan,Toubis,Konstantin,Conservative,44.2
35044,Kingston and the Islands,Beals,Daniel,NDP-New Democratic Party,17
35044,Kingston and the Islands,Brooke,Andy,Conservative,22.7
35044,Kingston and the Islands,Gerretsen,Mark,Liberal,55.4
35044,Kingston and the Islands,McAllister,Luke,Libertarian,0.5
35044,Kingston and the Islands,Townend,Nathan,Green Party,4.5
35045,Kitchener Centre,Cadell,Susan,NDP-New Democratic Party,16.6
35045,Kitchener Centre,Ichim,Julian,Marxist-Leninist,0.2
35045,Kitchener Centre,Miladinovic,Slavko,Libertarian,1
35045,Kitchener Centre,Saini,Raj,Liberal,48.8
35045,Kitchener Centre,Wendler,Nicholas,Green Party,3.1
35045,Kitchener Centre,Woodworth,Stephen,Conservative,30.4
35046,Kitchener--Conestoga,Albrecht,Harold,Conservative,43.3
35046,Kitchener--Conestoga,Hodgson,Richard,Libertarian,1.4
35046,Kitchener--Conestoga,Jonkman,Bob,Green Party,2.8
35046,Kitchener--Conestoga,Louis,Tim,Liberal,42.8
35046,Kitchener--Conestoga,Villeneuve,James,NDP-New Democratic Party,9.8
35047,Kitchener South--Hespeler,Baetz,Elaine,Marxist-Leninist,0.2
35047,Kitchener South--Hespeler,Bruce,Lorne,NDP-New Democratic Party,15.6
35047,Kitchener South--Hespeler,Gagne,Marian,Conservative,36.7
35047,Kitchener South--Hespeler,Lajeunesse,Nathan,Libertarian,1.6
35047,Kitchener South--Hespeler,Tabbara,Marwan,Liberal,42.3
35047,Kitchener South--Hespeler,Weber,David,Green Party,3.7
35048,Lambton--Kent--Middlesex,Filson,Ken,Liberal,29.4
35048,Lambton--Kent--Middlesex,Isaac,Rex,NDP-New Democratic Party,17
35048,Lambton--Kent--Middlesex,Johnston,Jim,Green Party,3.3
35048,Lambton--Kent--Middlesex,Shipley,Bev,Conservative,50.2
35049,Lanark--Frontenac--Kingston,Archambault,Phil,Liberal,33.8
35049,Lanark--Frontenac--Kingston,Budd,Mark,Libertarian,0.7
35049,Lanark--Frontenac--Kingston,Fenik,John,NDP-New Democratic Party,14.1
35049,Lanark--Frontenac--Kingston,Payne,Anita,Green Party,3.5
35049,Lanark--Frontenac--Kingston,Reid,Scott,Conservative,47.9
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,Andrade,Margaret,NDP-New Democratic Party,8.4
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,Brown,Gord,Conservative,47.4
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,McFall,Mary Jean,Liberal,40.6
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,Rekmans,Lorraine A.,Green Party,3.7
35051,London--Fanshawe,Dieleman,Suzanna,Conservative,27.2
35051,London--Fanshawe,Hamadi,Ali,Independent,0.6
35051,London--Fanshawe,Mathyssen,Irene,NDP-New Democratic Party,37.8
35051,London--Fanshawe,Peloza,Matthew,Green Party,2.9
35051,London--Fanshawe,Ramal,Khalil,Liberal,31.4
35052,London North Centre,Dyck,Carol,Green Party,3.6
35052,London North Centre,Fragiskatos,Peter,Liberal,50.5
35052,London North Centre,Gutierrez,German,NDP-New Democratic Party,14.7
35052,London North Centre,Roman,Marvin,Marxist-Leninist,0.2
35052,London North Centre,Truppe,Susan,Conservative,31.1
35053,London West,Boudreau,Jacques Y.,Libertarian,1.1
35053,London West,Holder,Ed,Conservative,35.3
35053,London West,Lascaris,Dimitri,Green Party,2.8
35053,London West,Lewis,Michael,Communist,0.1
35053,London West,Rowlinson,Matthew,NDP-New Democratic Party,14.8
35053,London West,Young,Kate,Liberal,45.8
35054,Markham--Stouffville,Calandra,Paul,Conservative,42.8
35054,Markham--Stouffville,Hines,Gregory,NDP-New Democratic Party,6.1
35054,Markham--Stouffville,O'Brien,Myles,Green Party,1.9
35054,Markham--Stouffville,Philpott,Jane,Liberal,49.2
35055,Markham--Thornhill,Chelliah,Senthi,NDP-New Democratic Party,10.7
35055,Markham--Thornhill,Easow,Jobson,Conservative,32.3
35055,Markham--Thornhill,McCallum,John,Liberal,55.7
35055,Markham--Thornhill,Russell,Joshua,Green Party,1.2
35056,Markham--Unionville,Jiang,Bang-Gu,Liberal,43.3
35056,Markham--Unionville,Kao,Elvin,Green Party,2.2
35056,Markham--Unionville,Saroya,Bob,Conservative,49.4
35056,Markham--Unionville,Zimmerman,Colleen,NDP-New Democratic Party,5.1
35057,Milton,Anabusi,Alex,NDP-New Democratic Party,10.9
35057,Milton,Batra,Mini,Green Party,2.3
35057,Milton,Jewell,Chris,Libertarian,1
35057,Milton,Raitt,Lisa,Conservative,45.4
35057,Milton,Rizvee,Azim,Liberal,40.4
35058,Mississauga Centre,Alghabra,Omar,Liberal,54.7
35058,Mississauga Centre,Khan,Farheen,NDP-New Democratic Party,9.5
35058,Mississauga Centre,Nguyen,Linh,Green Party,2.2
35058,Mississauga Centre,Tiangson,Julius,Conservative,33.6
35059,Mississauga East--Cooksville,Bhikha,Jaymini,Green Party,1.5
35059,Mississauga East--Cooksville,Fonseca,Peter,Liberal,54.2
35059,Mississauga East--Cooksville,Lizon,Wladyslaw,Conservative,35.4
35059,Mississauga East--Cooksville,Naqvi,Ali,NDP-New Democratic Party,8.6
35059,Mississauga East--Cooksville,Sullivan,Tim,Marxist-Leninist,0.3
35060,Mississauga--Erin Mills,Bilek,Michelle,NDP-New Democratic Party,9.4
35060,Mississauga--Erin Mills,Dechert,Bob,Conservative,39.2
35060,Mississauga--Erin Mills,Khalid,Iqra,Liberal,49.7
35060,Mississauga--Erin Mills,Roblin,Andrew,Green Party,1.6
35061,Mississauga--Lakeshore,Ambler,Stella,Conservative,41.2
35061,Mississauga--Lakeshore,Burgener,Ariana,Green Party,2.4
35061,Mississauga--Lakeshore,Guerbilsky,Eric,NDP-New Democratic Party,8
35061,Mississauga--Lakeshore,Spengemann,Sven,Liberal,47.7
35061,Mississauga--Lakeshore,Sullivan,Dagmar,Marxist-Leninist,0.2
35061,Mississauga--Lakeshore,Woodworth,Paul,Libertarian,0.5
35062,Mississauga--Malton,Bains,Navdeep,Liberal,59.1
35062,Mississauga--Malton,Douglas,Dianne,NDP-New Democratic Party,12.3
35062,Mississauga--Malton,Grewal,Jagdish,Conservative,26.4
35062,Mississauga--Malton,Mercer,Heather,Green Party,1.7
35062,Mississauga--Malton,Tharani,Naresh,Independent,0.5
35063,Mississauga--Streetsville,Butt,Brad,Conservative,40.4
35063,Mississauga--Streetsville,Hill,Chris,Green Party,2.3
35063,Mississauga--Streetsville,Karim,Fayaz,NDP-New Democratic Party,9
35063,Mississauga--Streetsville,Sikand,Gagan,Liberal,47.8
35063,Mississauga--Streetsville,Tarazevich,Yegor,Christian Heritage Party,0.5
35064,Nepean,Arya,Chandra,Liberal,52.4
35064,Nepean,Cooke,Jean-Luc Roger,Green Party,2.3
35064,Nepean,Cosico,Jesus,Independent,0.6
35064,Nepean,Devine,Sean,NDP-New Democratic Party,8.2
35064,Nepean,Mamba,Hubert,Independent,0.1
35064,Nepean,Seed,Tony,Marxist-Leninist,0.1
35064,Nepean,Splett,Harry,Independent,0.1
35064,Nepean,Wang,Andy,Conservative,36.1
35065,Newmarket--Aurora,Baxter,Dorian,PC Party,1.3
35065,Newmarket--Aurora,Brown,Lois,Conservative,42.6
35065,Newmarket--Aurora,Kelly,Yvonne,NDP-New Democratic Party,8.5
35065,Newmarket--Aurora,Long,Vanessa,Green Party,2.4
35065,Newmarket--Aurora,Peterson,Kyle,Liberal,45.2
35066,Niagara Centre,Allen,Malcolm,NDP-New Democratic Party,31.5
35066,Niagara Centre,Badawey,Vance,Liberal,35.7
35066,Niagara Centre,Clow,David,Green Party,2.4
35066,Niagara Centre,Di Bartolomeo,Jody,Animal Alliance/Environment Voters,0.5
35066,Niagara Centre,Villella,Leanna,Conservative,29.7
35066,Niagara Centre,Walker,Ron J.,Marxist-Leninist,0.2
35067,Niagara Falls,Ioannoni,Carolynn,NDP-New Democratic Party,20.9
35067,Niagara Falls,Nicholson,Rob,Conservative,42.1
35067,Niagara Falls,Planche,Ron,Liberal,34.5
35067,Niagara Falls,Soos,Steven,Green Party,2.5
35068,Niagara West,Allison,Dean,Conservative,48.8
35068,Niagara West,Frere,Sid,Green Party,3
35068,Niagara West,Jonker,Harold,Christian Heritage Party,2.4
35068,Niagara West,Rahman,Nameer,NDP-New Democratic Party,11.5
35068,Niagara West,Rose,Phil,Liberal,32.7
35068,Niagara West,de Roo,Allan,Libertarian,1.6
35069,Nickel Belt,Gravelle,Claude,NDP-New Democratic Party,37.8
35069,Nickel Belt,Laamanen,Aino,Conservative,16.7
35069,Nickel Belt,McCall,Stuart,Green Party,2.5
35069,Nickel Belt,Serre,Marc G.,Liberal,42.8
35069,Nickel Belt,Starbuck,Dave,Marxist-Leninist,0.2
35070,Nipissing--Timiskaming,Aspin,Jay,Conservative,29.3
35070,Nipissing--Timiskaming,Jodouin,Kathleen,NDP-New Democratic Party,16.2
35070,Nipissing--Timiskaming,Peltier,Nicole,Green Party,2.6
35070,Nipissing--Timiskaming,Rota,Anthony,Liberal,51.9
35071,Northumberland--Peterborough South,Christianson,Russ,NDP-New Democratic Party,14.8
35071,Northumberland--Peterborough South,Moulton,Adam,Conservative,39.6
35071,Northumberland--Peterborough South,Rudd,Kim,Liberal,42.5
35071,Northumberland--Peterborough South,Sinnott,Patricia,Green Party,3.1
35072,Oakville,Doel,David,Green Party,2.2
35072,Oakville,Marville,Che,NDP-New Democratic Party,5.9
35072,Oakville,Oliver,John,Liberal,49.4
35072,Oakville,Young,Terence,Conservative,42.5
35073,Oakville North--Burlington,Best,Janice,NDP-New Democratic Party,7.2
35073,Oakville North--Burlington,Clement,David,Libertarian,1.1
35073,Oakville North--Burlington,Damoff,Pam,Liberal,46.7
35073,Oakville North--Burlington,Shahbaz,Adnan,Green Party,1.6
35073,Oakville North--Burlington,Triantafilopoulos,Effie,Conservative,43.3
35074,Oshawa,Carrie,Colin,Conservative,38.2
35074,Oshawa,Dempsey,Michael,Green Party,2.5
35074,Oshawa,Fowler,Mary,NDP-New Democratic Party,31.9
35074,Oshawa,Gershuny,David,Marxist-Leninist,0.1
35074,Oshawa,Marimpietri,Tito-Dante,Liberal,27.3
35075,Ottawa Centre,Akpata,John Andrew Omowole,Radical Marijuana,0.2
35075,Ottawa Centre,Dewar,Paul,NDP-New Democratic Party,38.5
35075,Ottawa Centre,Harris,Dean T.,Libertarian,0.7
35075,Ottawa Centre,Konstantinakos,Damian,Conservative,14.5
35075,Ottawa Centre,Lukawski,Conrad,Rhinoceros,0.2
35075,Ottawa Centre,McKenna,Catherine Mary,Liberal,42.7
35075,Ottawa Centre,Milroy,Tom,Green Party,3
35075,Ottawa Centre,Ryan,Stuart,Communist,0.2
35076,Orleans,Galipeau,Royal,Conservative,30.5
35076,Orleans,Leslie,Andrew,Liberal,59.7
35076,Orleans,Morin,Raphael,Green Party,1.8
35076,Orleans,Tremblay,Nancy,NDP-New Democratic Party,8
35077,Ottawa South,Balkissoon,Dev,Conservative,24.3
35077,Ottawa South,Brown,George,NDP-New Democratic Party,11.6
35077,Ottawa South,Gullon,Al,PC Party,0.6
35077,Ottawa South,McGuinty,David,Liberal,60.1
35077,Ottawa South,Redins,John,Green Party,2.9
35077,Ottawa South,Wasslen,Larry,Communist,0.2
35077,Ottawa South,Wilson,Damien,Libertarian,0.4
35078,Ottawa--Vanier,Belanger,Mauril,Liberal,57.6
35078,Ottawa--Vanier,Corcoran,Coreen,Libertarian,0.8
35078,Ottawa--Vanier,Dookeran,Nira,Green Party,3.1
35078,Ottawa--Vanier,Legeais,Christian,Marxist-Leninist,0.2
35078,Ottawa--Vanier,Piccini,David,Conservative,19.1
35078,Ottawa--Vanier,Taman,Emilie,NDP-New Democratic Party,19.2
35079,Ottawa West--Nepean,Abdi,Abdul,Conservative,30
35079,Ottawa West--Nepean,Brooks,Mark,Green Party,2.8
35079,Ottawa West--Nepean,Heaton,Sam,Marxist-Leninist,0.2
35079,Ottawa West--Nepean,Rivier,Marlene,NDP-New Democratic Party,9.8
35079,Ottawa West--Nepean,Taylor,Rod,Christian Heritage Party,1.2
35079,Ottawa West--Nepean,Vandenbeld,Anita,Liberal,55.9
35080,Oxford,Aldred,Melody Ann,Christian Heritage Party,2.1
35080,Oxford,Farlow,Mike,Green Party,3.5
35080,Oxford,Kunschner,Zoe,NDP-New Democratic Party,16.5
35080,Oxford,MacKenzie,Dave,Conservative,45.7
35080,Oxford,McKay,Don,Liberal,32.2
35081,Parkdale--High Park,Allen,Ian,Conservative,13
35081,Parkdale--High Park,Gershuny,Lorne,Marxist-Leninist,0.2
35081,Parkdale--High Park,Jeftovic,Mark,Libertarian,1
35081,Parkdale--High Park,Nash,Peggy,NDP-New Democratic Party,40.2
35081,Parkdale--High Park,Parker,Terry,Radical Marijuana,0.3
35081,Parkdale--High Park,Phipps,Adam,Green Party,3
35081,Parkdale--High Park,Royer,Carol,Independent,0.2
35081,Parkdale--High Park,Virani,Arif,Liberal,42
35082,Parry Sound--Muskoka,Bell,Duncan,Pirate,0.2
35082,Parry Sound--Muskoka,Clement,Tony,Conservative,43.3
35082,Parry Sound--Muskoka,Cowie,Trisha,Liberal,38.9
35082,Parry Sound--Muskoka,Hodgson,Glen,Green Party,7.2
35082,Parry Sound--Muskoka,McCarthy,Matt,NDP-New Democratic Party,10.1
35082,Parry Sound--Muskoka,Merton,Gordie,CAP,0.2
35082,Parry Sound--Muskoka,Smith,Albert Gray,Marxist-Leninist,0.1
35083,Perth--Wellington,DeVries,Irma,Christian Heritage Party,1.5
35083,Perth--Wellington,Fuhr,Roger,No Affiliation,0.4
35083,Perth--Wellington,McCotter,Stephen,Liberal,37.6
35083,Perth--Wellington,Nater,John,Conservative,42.9
35083,Perth--Wellington,Rabidoux,Ethan,NDP-New Democratic Party,15
35083,Perth--Wellington,Ramsdale,Nicole,Green Party,2.6
35084,Peterborough--Kawartha,Leckie,Toban,Forces et Democratie - Allier les forces de nos regions,0.2
35084,Peterborough--Kawartha,Mason,Doug,Green Party,2.2
35084,Peterborough--Kawartha,Monsef,Maryam,Liberal,43.8
35084,Peterborough--Kawartha,Nickle,Dave,NDP-New Democratic Party,18.7
35084,Peterborough--Kawartha,Skinner,Michael,Conservative,35.1
35085,Pickering--Uxbridge,Chisu,Corneliu,Conservative,38.2
35085,Pickering--Uxbridge,Downward,Pamela,NDP-New Democratic Party,9.2
35085,Pickering--Uxbridge,Navarro,Anthony Jordan,Green Party,2.3
35085,Pickering--Uxbridge,O'Connell,Jennifer,Liberal,50.3
35086,Renfrew--Nipissing--Pembroke,Clouthier,Hector,Independent,11
35086,Renfrew--Nipissing--Pembroke,Gallant,Cheryl,Conservative,45.8
35086,Renfrew--Nipissing--Pembroke,Klietsch,Stefan,Green Party,1.9
35086,Renfrew--Nipissing--Pembroke,Lehoux,Jeff,Liberal,32.7
35086,Renfrew--Nipissing--Pembroke,McCarthy,Dan,NDP-New Democratic Party,8.6
35087,Richmond Hill,DeVita,Adam,NDP-New Democratic Party,8
35087,Richmond Hill,Jowhari,Majid,Liberal,46.9
35087,Richmond Hill,Parsa,Michael,Conservative,43.3
35087,Richmond Hill,Veenema,Gwendolyn,Green Party,1.7
35088,Carleton,Coyne,Deborah,Green Party,3.3
35088,Carleton,Larocque,Kc,NDP-New Democratic Party,6.1
35088,Carleton,Poilievre,Pierre,Conservative,46.9
35088,Carleton,Rodgers,Chris,Liberal,43.7
35089,St. Catharines,Bittle,Chris,Liberal,43.2
35089,St. Catharines,Dykstra,Rick,Conservative,37.6
35089,St. Catharines,Erskine-Fournier,Susan,NDP-New Democratic Party,16.5
35089,St. Catharines,Fannon,Jim,Green Party,2.6
35089,St. Catharines,Waziruddin,Saleh,Communist,0.1
35090,Toronto--St. Paul's,Bennett,Carolyn,Liberal,55.3
35090,Toronto--St. Paul's,Farmer,Kevin,Green Party,3
35090,Toronto--St. Paul's,MacDougall,Marnie,Conservative,27
35090,Toronto--St. Paul's,Richler,Noah,NDP-New Democratic Party,14.7
35091,Sarnia--Lambton,Gladu,Marilyn,Conservative,38.8
35091,Sarnia--Lambton,McMichael,Jason Wayne,NDP-New Democratic Party,31.1
35091,Sarnia--Lambton,McPhail,Dave,Liberal,27.3
35091,Sarnia--Lambton,Smith,Peter,Green Party,2.8
35092,Sault Ste. Marie,Flannigan,Kara,Green Party,2.1
35092,Sault Ste. Marie,Hayes,Bryan,Conservative,31.1
35092,Sault Ste. Marie,Morrison,Skip,NDP-New Democratic Party,21.8
35092,Sault Ste. Marie,Sheehan,Terry,Liberal,44.8
35092,Sault Ste. Marie,Taffarel,Mike,Marxist-Leninist,0.2
35093,Scarborough--Agincourt,Chan,Arnold,Liberal,51.9
35093,Scarborough--Agincourt,Chang,Bin,Conservative,38
35093,Scarborough--Agincourt,Coutinho,Jude,Christian Heritage Party,0.8
35093,Scarborough--Agincourt,Patrick,Laura,NDP-New Democratic Party,7.9
35093,Scarborough--Agincourt,Scott,Debra,Green Party,1.4
35094,Scarborough Centre,Androutsos,Katerina,Libertarian,3.1
35094,Scarborough Centre,James,Roxanne,Conservative,32.7
35094,Scarborough Centre,Thompson,Lindsay,Green Party,2.1
35094,Scarborough Centre,Wilson,Alex,NDP-New Democratic Party,11.6
35094,Scarborough Centre,Zahid,Salma,Liberal,50.5
35095,Scarborough--Guildwood,Casselman,Laura,NDP-New Democratic Party,11.3
35095,Scarborough--Guildwood,Clarke,Kevin,Independent,0.4
35095,Scarborough--Guildwood,Coulbeck,Paul,Radical Marijuana,0.3
35095,Scarborough--Guildwood,Holding,Kathleen,Green Party,1.4
35095,Scarborough--Guildwood,Konkel,Chuck,Conservative,26.5
35095,Scarborough--Guildwood,McKay,John,Liberal,60
35096,Scarborough North,Chen,Shaun,Liberal,48.2
35096,Scarborough North,Khatoon,Aasia,Independent,0.4
35096,Scarborough North,MacDonald,Eleni,Green Party,1.5
35096,Scarborough North,Malhi,Ravinder,Conservative,27.4
35096,Scarborough North,Rosch,Raphael,Independent,0.4
35096,Scarborough North,Sitsabaiesan,Rathika,NDP-New Democratic Party,22.1
35097,Scarborough--Rouge Park,Anandasangaree,Gary,Liberal,60.2
35097,Scarborough--Rouge Park,Lewis,Leslyn,Conservative,27.4
35097,Scarborough--Rouge Park,Shanthikumar,KM,NDP-New Democratic Party,10.4
35097,Scarborough--Rouge Park,Winter,Calvin,Green Party,2
35098,Scarborough Southwest,Blair,Bill,Liberal,52.5
35098,Scarborough Southwest,Harris,Dan,NDP-New Democratic Party,23.7
35098,Scarborough Southwest,Nallaratnam,Roshan,Conservative,21.2
35098,Scarborough Southwest,Taylor,Tommy,Green Party,2.6
35099,Simcoe--Grey,Fleming,JoAnne,Green Party,4.4
35099,Simcoe--Grey,Leitch,Kellie,Conservative,46.6
35099,Simcoe--Grey,MacEachern,Mike,Liberal,38.6
35099,Simcoe--Grey,Matthews,David,NDP-New Democratic Party,9.6
35099,Simcoe--Grey,Noordegraaf,Len,Christian Heritage Party,0.8
35100,Simcoe North,Banigan,Richard,NDP-New Democratic Party,10.6
35100,Simcoe North,Kearey-Moreland,Jacob,No Affiliation,1.1
35100,Simcoe North,Riley,Liz,Liberal,39.8
35100,Simcoe North,Stanton,Bruce,Conservative,43.5
35100,Simcoe North,Stubbins,Peter,Green Party,4.5
35100,Simcoe North,Whittaker,Scott,Christian Heritage Party,0.6
35101,Spadina--Fort York,Chow,Olivia,NDP-New Democratic Party,27.3
35101,Spadina--Fort York,Danley,Sharon,Green Party,2.1
35101,Spadina--Fort York,Lin,Nick,Marxist-Leninist,0.1
35101,Spadina--Fort York,Nicula,Michael,PACT,0.2
35101,Spadina--Fort York,Vaughan,Adam,Liberal,54.7
35101,Spadina--Fort York,Zuniga,Sabrina,Conservative,15.7
35102,Stormont--Dundas--South Glengarry,Burger,Patrick,NDP-New Democratic Party,8.2
35102,Stormont--Dundas--South Glengarry,Clement,Bernadette,Liberal,38.5
35102,Stormont--Dundas--South Glengarry,Kennedy,Elaine,Green Party,2.2
35102,Stormont--Dundas--South Glengarry,Lauzon,Guy,Conservative,51.1
35103,Sudbury,Audet,Jean-Raymond,Independent,0.3
35103,Sudbury,Lefebvre,Paul,Liberal,47.4
35103,Sudbury,Loewenberg,Paul,NDP-New Democratic Party,27.8
35103,Sudbury,Popescu,J. David,Independent,0.2
35103,Sudbury,Robinson,David,Green Party,3
35103,Sudbury,Rowley,Elizabeth,Communist,0.2
35103,Sudbury,Slade,Fred,Conservative,21.1
35104,Thornhill,Balfour,Gene,Libertarian,1.1
35104,Thornhill,Cherry,Lorne,NDP-New Democratic Party,5.2
35104,Thornhill,Coldham,Nancy,Liberal,33.8
35104,Thornhill,Fairbairn,Margaret Leigh,Seniors Party,0.3
35104,Thornhill,Kent,Peter,Conservative,58.6
35104,Thornhill,Rachlis,Josh,Green Party,1.2
35105,Thunder Bay--Rainy River,Comuzzi,Moe,Conservative,21.1
35105,Thunder Bay--Rainy River,Radbourne,Christy,Green Party,5.2
35105,Thunder Bay--Rainy River,Rafferty,John,NDP-New Democratic Party,29.7
35105,Thunder Bay--Rainy River,Rusnak,Don,Liberal,44
35106,Thunder Bay--Superior North,Foulds,Andrew,NDP-New Democratic Party,23.2
35106,Thunder Bay--Superior North,Hajdu,Patty,Liberal,45
35106,Thunder Bay--Superior North,Harvey,Richard,Conservative,17.4
35106,Thunder Bay--Superior North,Hyer,Bruce,Green Party,13.8
35106,Thunder Bay--Superior North,Skaf,Robert,Independent,0.6
35107,Timmins--James Bay,Angus,Charlie,NDP-New Democratic Party,42.9
35107,Timmins--James Bay,Curley,John P.,Conservative,20.4
35107,Timmins--James Bay,Kennedy,Max,Green Party,2
35107,Timmins--James Bay,Lever,Todd,Liberal,34.7
35108,Toronto Centre,Ahmad,Mariam,Communist,0.3
35108,Toronto Centre,Biggin,Colin,Green Party,2.6
35108,Toronto Centre,Di Battista,Julian,Conservative,12.2
35108,Toronto Centre,Fernandez,Philip,Marxist-Leninist,0.2
35108,Toronto Centre,McQuaig,Linda,NDP-New Democratic Party,26.6
35108,Toronto Centre,Morneau,Bill,Liberal,57.9
35108,Toronto Centre,Stone,Jordan,Independent,0.3
35109,Toronto--Danforth,Abbott,Elizabeth,Animal Alliance/Environment Voters,0.6
35109,Toronto--Danforth,Dabrusin,Julie,Liberal,42.3
35109,Toronto--Danforth,Dichter,Benjamin,Conservative,9.9
35109,Toronto--Danforth,Richardson,John,PC Party,2.3
35109,Toronto--Danforth,Scott,Craig,NDP-New Democratic Party,40.2
35109,Toronto--Danforth,Tolley,Chris,Green Party,4.7
35110,University--Rosedale,Berlin,David,The Bridge,0.2
35110,University--Rosedale,Freeland,Chrystia,Liberal,49.8
35110,University--Rosedale,Garvie,Drew,Communist,0.2
35110,University--Rosedale,Hollett,Jennifer,NDP-New Democratic Party,28.6
35110,University--Rosedale,Jivraj,Karim,Conservative,17.5
35110,University--Rosedale,Luisi,Simon,Animal Alliance/Environment Voters,0.2
35110,University--Rosedale,Rutchinski,Steve,Marxist-Leninist,0.1
35110,University--Rosedale,Waslowski,Jesse,Libertarian,0.4
35110,University--Rosedale,Wright,Nick,Green Party,2.9
35111,Vaughan--Woodbridge,Boulanger,Elise,Green Party,1.3
35111,Vaughan--Woodbridge,Fantino,Julian,Conservative,43.9
