Electoral district number,Electoral district name,Last name (2015),First name (2015),Political affiliation (2015),% Votes obtained (2015)
24001,Abitibi--Baie-James--Nunavik--Eeyou,Benoit,Patrick,Green Party,2.3
24001,Abitibi--Baie-James--Nunavik--Eeyou,Dufour,Pierre,Liberal,32.1
24001,Abitibi--Baie-James--Nunavik--Eeyou,Ferland,Luc,Bloc Quebecois,18.5
24001,Abitibi--Baie-James--Nunavik--Eeyou,Gagnon,Mario,Rhinoceros,0.7
24001,Abitibi--Baie-James--Nunavik--Eeyou,Hebert,Steven,Conservative,9.3
24001,Abitibi--Baie-James--Nunavik--Eeyou,Saganash,Romeo,NDP-New Democratic Party,37
24002,Abitibi--Temiscamingue,Begin,Aline,Green Party,1.7
24002,Abitibi--Temiscamingue,Fortin,Benoit,Conservative,6.9
24002,Abitibi--Temiscamingue,Gelinas,Pascal Le Fou,Rhinoceros,0.9
24002,Abitibi--Temiscamingue,Moore,Christine,NDP-New Democratic Party,41.5
24002,Abitibi--Temiscamingue,Moreau,Yvon,Bloc Quebecois,19.4
24002,Abitibi--Temiscamingue,Thibault,Claude,Liberal,29.6
24003,Ahuntsic-Cartierville,Bourdon,Nicolas,Bloc Quebecois,13.2
24003,Ahuntsic-Cartierville,Gascon-David,Catherine,Rhinoceros,0.5
24003,Ahuntsic-Cartierville,Joly,Melanie,Liberal,46.8
24003,Ahuntsic-Cartierville,Mercier,Gilles,Green Party,2.1
24003,Ahuntsic-Cartierville,Moughrabi,Wiliam,Conservative,7.3
24003,Ahuntsic-Cartierville,Mourani,Maria,NDP-New Democratic Party,30
24004,Alfred-Pellan,Briguene,Lynda,Green Party,2
24004,Alfred-Pellan,Dore Lefebvre,Rosane,NDP-New Democratic Party,24
24004,Alfred-Pellan,Iacono,Angelo,Liberal,44.5
24004,Alfred-Pellan,Isopo,Renata,Independent,0.4
24004,Alfred-Pellan,Purcarus,Gabriel,Conservative,11.3
24004,Alfred-Pellan,St-Hilaire,Daniel,Bloc Quebecois,17.8
24005,Argenteuil--La Petite-Nation,Beauchamp,Jonathan,Bloc Quebecois,18.7
24005,Argenteuil--La Petite-Nation,Crete,Chantal,NDP-New Democratic Party,24.8
24005,Argenteuil--La Petite-Nation,Hupe-Labelle,Maxime,Conservative,11.1
24005,Argenteuil--La Petite-Nation,Lamarche,Audrey,Green Party,2.2
24005,Argenteuil--La Petite-Nation,Lauzon,Stephane,Liberal,43.3
24006,Avignon--La Mitis--Matane--Matapedia,Charest,Joel,NDP-New Democratic Party,20.2
24006,Avignon--La Mitis--Matane--Matapedia,Fleury-Samson,Kedina,Bloc Quebecois,21
24006,Avignon--La Mitis--Matane--Matapedia,Fortin,Jean-Francois,Forces et Democratie - Allier les forces de nos regions,11.6
24006,Avignon--La Mitis--Matane--Matapedia,Masse,Remi,Liberal,39.5
24006,Avignon--La Mitis--Matane--Matapedia,Normand,eric,Rhinoceros,0.5
24006,Avignon--La Mitis--Matane--Matapedia,Savoie,Andre,Conservative,6.1
24006,Avignon--La Mitis--Matane--Matapedia,Springle,Sherri,Green Party,1
24007,Beauce,Bernier,Maxime,Conservative,58.9
24007,Beauce,MacDonald,Celine Brown,Green Party,1.7
24007,Beauce,Royer,Daniel,NDP-New Democratic Party,9.7
24007,Beauce,Trudel,Stephane,Bloc Quebecois,7.4
24007,Beauce,Veilleux,Adam,Liberal,22.3
24008,Beauport--Limoilou,Bedard,Francis,Libertarian,0.8
24008,Beauport--Limoilou,Berberi,Doni,Bloc Quebecois,14.8
