Electoral district number,Electoral district name,Conservative % Votes Obtained (2015),Liberal % Votes Obtained (2015),NDP % Votes Obtained (2015),Bloc Quebecois % Votes Obtained (2015),Green Party % Votes Obtained (2015),Other % Votes Obtained (2015),Conservative % Votes Obtained (2011),Liberal % Votes Obtained (2011),NDP % Votes Obtained (2011),Bloc Quebecois % Votes Obtained (2011),Green Party % Votes Obtained (2011),Other % Votes Obtained (2011)
24037,LaSalle--emard--Verdun,6.9,43.9,29,17,3.2,0.0,9.7,18.3,45.2,23.4,2.6,0.0
24038,Laurentides--Labelle,9.8,32.1,26.3,29.7,2,0.0,9.3,12.7,43.8,31.5,2.5,0.0
24039,Laurier--Sainte-Marie,4.1,23.7,38.3,28.7,3.5,1.8,3.9,10.7,46.5,34.9,2.6,1.3
24040,Laval--Les iles,18.1,47.7,19.8,12.4,1.7,0.3,16.4,20.6,47.2,12.9,1.8,1.1
24041,Longueuil--Charles-LeMoyne,9.6,35.4,24.1,27,2.9,0.89,10.5,13.3,45.4,28.3,2.4,0.0
24042,Levis--Lotbiniere,50.1,21.7,14.8,11.4,1.8,0.2,39.9,5.1,38.5,14.9,1.7,0.0
24043,Longueuil--Saint-Hubert,8.7,30,31.2,27.3,2.5,0.3,8.7,10.1,50.0,28.8,2.2,0.2
24044,Louis-Hebert,27.2,34.8,20.8,14.4,2.5,0.2,21.8,13.4,38.7,24.2,1.6,0.2
24045,Louis-Saint-Laurent,50.5,21.4,15.9,10.3,1.9,0.0,37.6,6.4,39.9,14.4,1.5,0.0
24046,Manicouagan,10.3,29.4,17.5,41.3,1.6,0.0,11.6,5.5,47.7,32.7,2.5,0.0
24047,Megantic--L'erable,35.4,28.1,22,12.3,2.1,0.0,49.1,6.0,26.3,16.6,1.5,0.0
24048,Mirabel,10.1,26.1,30.1,31.5,2.2,0.0,9.2,7.8,49.5,31.0,2.0,0.0
24049,Montarville,10.9,32.5,24.7,28.4,2.4,1.1,9.6,12.5,44.5,29.1,2.5,1.8
24050,Montcalm,9.6,27.3,23.5,36.6,1.8,1.2,7.9,4.9,51.9,31.4,3.8,0.0
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,29,28.4,24.2,16.1,1.7,0.6,36.3,5.8,36.4,20.1,1.5,0.0
24052,Mount Royal,37.9,50.3,8.1,1.9,1.6,0.3,35.6,41.4,17.9,2.9,1.8,0.5
24053,Notre-Dame-de-Grace--Westmount,14.4,57.7,21.8,2.5,3.1,0.7,17.7,38.2,35.1,4.1,4.4,0.6
24054,Outremont,9.5,33.5,44.1,8.4,3.6,0.9,8,21.6,55.7,11.6,2.2,0.9
24055,Papineau,4.7,52,25.9,12.2,2.8,2.4,5,37.9,29.5,24.9,1.9,0.8
