Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015)
35063,Mississauga--Streetsville,Christian Heritage Party,0.5
35064,Nepean,Independent,0.6
,,Independent,0.1
,,Marxist-Leninist,0.1
,,Independent,0.1
35065,Newmarket--Aurora,PC Party,1.3
35066,Niagara Centre,Animal Alliance/Environment Voters,0.5
,,Marxist-Leninist,0.2
35068,Niagara West,Christian Heritage Party,2.4
,,Libertarian,1.6
35069,Nickel Belt,Marxist-Leninist,0.2
35073,Oakville North--Burlington,Libertarian,1.1
35074,Oshawa,Marxist-Leninist,0.1
35075,Ottawa Centre,Radical Marijuana,0.2
,,Libertarian,0.7
,,Rhinoceros,0.2
,,Communist,0.2
35077,Ottawa South,PC Party,0.6
,,Communist,0.2
,,Libertarian,0.4
35078,Ottawa--Vanier,Libertarian,0.8
,,Marxist-Leninist,0.2
35079,Ottawa West--Nepean,Marxist-Leninist,0.2
,,Christian Heritage Party,1.2
35080,Oxford,Christian Heritage Party,2.1
35081,Parkdale--High Park,Marxist-Leninist,0.2
,,Libertarian,1
,,Radical Marijuana,0.3
,,Independent,0.2
35082,Parry Sound--Muskoka,Pirate,0.2
,,CAP,0.2
,,Marxist-Leninist,0.1
35083,Perth--Wellington,Christian Heritage Party,1.5
,,No Affiliation,0.4
35084,Peterborough--Kawartha,Forces et Democratie - Allier les forces de nos regions,0.2
35086,Renfrew--Nipissing--Pembroke,Independent,11
35089,St. Catharines,Communist,0.1
35092,Sault Ste. Marie,Marxist-Leninist,0.2
35093,Scarborough--Agincourt,Christian Heritage Party,0.8
35094,Scarborough Centre,Libertarian,3.1
35095,Scarborough--Guildwood,Independent,0.4
,,Radical Marijuana,0.3
35096,Scarborough North,Independent,0.4
,,Independent,0.4
35099,Simcoe--Grey,Christian Heritage Party,0.8
35100,Simcoe North,No Affiliation,1.1
,,Christian Heritage Party,0.6
35101,Spadina--Fort York,Marxist-Leninist,0.1
,,PACT,0.2
35103,Sudbury,Independent,0.3
,,Independent,0.2
,,Communist,0.2
35104,Thornhill,Libertarian,1.1
,,Seniors Party,0.3
35106,Thunder Bay--Superior North,Independent,0.6
35108,Toronto Centre,Communist,0.3
,,Marxist-Leninist,0.2
,,Independent,0.3
35109,Toronto--Danforth,Animal Alliance/Environment Voters,0.6
,,PC Party,2.3
35110,University--Rosedale,The Bridge,0.2
,,Communist,0.2
,,Animal Alliance/Environment Voters,0.2
,,Marxist-Leninist,0.1
,,Libertarian,0.4
35111,Vaughan--Woodbridge,Libertarian,1.5
35112,Waterloo,Animal Alliance/Environment Voters,0.2
35113,Wellington--Halton Hills,CAP,0.3
35114,Whitby,Independent,0.4
35115,Willowdale,Independent,0.5
35116,Windsor--Tecumseh,Marxist-Leninist,0.5
35117,Windsor West,Marxist-Leninist,0.3
35120,York South--Weston,Libertarian,2.4
35121,Humber River--Black Creek,Marxist-Leninist,0.6
46003,Churchill--Keewatinook Aski,Libertarian,0.9
46004,Dauphin--Swan River--Neepawa,Independent,8.1
46006,Kildonan--St. Paul,Independent,0.3
,,Christian Heritage Party,1.1
46007,Portage--Lisgar,Christian Heritage Party,3.2
46010,Selkirk--Interlake--Eastman,Libertarian,1.8
46011,Winnipeg Centre,Christian Heritage Party,0.7
,,Communist,0.4
47001,Battlefords--Lloydminster,Independent,3.2
47005,Moose Jaw--Lake Centre--Lanigan,Rhinoceros,0.5
47007,Regina--Lewvan,Libertarian,0.6
47011,Saskatoon--University,Rhinoceros,0.2
47012,Saskatoon West,Libertarian,0.6
,,Canada Party,0.7
48003,Bow River,Democratic Advancement,0.2
,,Independent,1.1
,,Christian Heritage Party,0.6
48004,Calgary Centre,Independent,0.4
48005,Calgary Confederation,Marxist-Leninist,0.2
48006,Calgary Forest Lawn,Libertarian,2
,,Communist,1
,,Democratic Advancement,0.3
48007,Calgary Heritage,Independent,0.1
,,Independent,0.2
,,Libertarian,0.4
,,Independent,0.1
48008,Calgary Midnapore,Marxist-Leninist,0.2
48009,Calgary Nose Hill,Democratic Advancement,0.3
,,Libertarian,1.3
48012,Calgary Signal Hill,Libertarian,1.1
,,Christian Heritage Party,0.3
48013,Calgary Skyview,Marxist-Leninist,0.2
,,PC Party,2.1
,,Democratic Advancement,1.7
,,Independent,0.4
48014,Edmonton Centre,Rhinoceros,0.5
,,Independent,0.3
48015,Edmonton Griesbach,Libertarian,0.9
,,Marxist-Leninist,0.2
,,Radical Marijuana,0.6
,,Rhinoceros,0.3
48016,Edmonton Manning,Independent,1.1
,,Marxist-Leninist,0.3
48017,Edmonton Mill Woods,Christian Heritage Party,0.6
,,Libertarian,0.8
,,Communist,0.2
,,Independent,1.1
48018,Edmonton Riverbend,Libertarian,0.7
48019,Edmonton Strathcona,Pirate,0.4
,,Rhinoceros,0.2
,,Independent,0.2
,,Marxist-Leninist,0.2
,,Independent,0.2
,,Libertarian,0.6
48020,Edmonton West,Libertarian,0.6
,,Marxist-Leninist,0.2
48021,Edmonton--Wetaskiwin,Libertarian,0.7
48022,Foothills,Libertarian,0.7
,,Christian Heritage Party,0.6
48023,Fort McMurray--Cold Lake,Libertarian,1.2
,,Christian Heritage Party,0.6
48024,Grande Prairie--Mackenzie,Libertarian,1.1
48025,Lakeland,Libertarian,1.1
48026,Lethbridge,Christian Heritage Party,1.3
,,Rhinoceros,0.4
48027,Medicine Hat--Cardston--Warner,Independent,1
48028,Peace River--Westlock,Libertarian,0.9
48029,Red Deer--Mountain View,Pirate,0.5
,,Libertarian,0.7
48031,St. Albert--Edmonton,Independent,19.7
48032,Sherwood Park--Fort Saskatchewan,Libertarian,1
,,Independent,2.3
48033,Sturgeon River--Parkland,Christian Heritage Party,1.1
48034,Yellowhead,Libertarian,1.6
59001,Abbotsford,Marxist-Leninist,0.2
59002,Burnaby North--Seymour,Independent,0.4
,,Communist,0.2
,,Marxist-Leninist,0.1
,,Libertarian,0.5
59003,Burnaby South,Libertarian,1.1
59004,Cariboo--Prince George,No Affiliation,0.7
,,Independent,1.2
,,Christian Heritage Party,0.6
59006,Chilliwack--Hope,Libertarian,0.8
,,Marxist-Leninist,0.2
59008,Coquitlam--Port Coquitlam,Libertarian,1.8
59009,Courtenay--Alberni,Marxist-Leninist,0.2
59010,Cowichan--Malahat--Langford,Marxist-Leninist,0.6
59016,Langley--Aldergrove,Libertarian,0.9
59017,Mission--Matsqui--Fraser Canyon,Independent,2
,,Marxist-Leninist,0.1
59018,Nanaimo--Ladysmith,Marxist-Leninist,0.2
59019,New Westminster--Burnaby,Libertarian,2.6
,,Marxist-Leninist,0.3
59021,North Vancouver,Independent,0.1
,,Libertarian,0.2
59022,Pitt Meadows--Maple Ridge,Independent,0.9
59023,Port Moody--Coquitlam,Marxist-Leninist,0.2
59024,Prince George--Peace River--Northern Rockies,PC Party,0.9
,,Libertarian,1.1
59026,Esquimalt--Saanich--Sooke,Communist,0.2
59027,Saanich--Gulf Islands,Libertarian,0.4
59028,Skeena--Bulkley Valley,Christian Heritage Party,1.8
59029,South Okanagan--West Kootenay,Independent,0.6
59030,South Surrey--White Rock,Libertarian,0.5
,,PC Party,0.2
59031,Steveston--Richmond East,Libertarian,0.6
59032,Surrey Centre,Communist,0.3
,,Christian Heritage Party,1.3
59034,Vancouver Centre,Libertarian,1.1
,,Marxist-Leninist,0.1
59035,Vancouver East,Marxist-Leninist,0.4
,,Communist,0.9
,,Independent,0.4
,,Pirate,0.3
59038,Vancouver Kingsway,Communist,1
,,Libertarian,1
,,Marxist-Leninist,0.2
59039,Vancouver Quadra,Radical Marijuana,0.1
,,Independent,0.1
,,Pirate,0.2
59040,Vancouver South,Marxist-Leninist,0.4
,,PC Party,0.4
59041,Victoria,Independent,0.2
,,Libertarian,0.7
,,Animal Alliance/Environment Voters,0.3
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,Marxist-Leninist,0.2
,,Radical Marijuana,0.3
