Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015)
35045,Kitchener Centre,Marxist-Leninist,0.2
,,Libertarian,1
35046,Kitchener--Conestoga,Libertarian,1.4
35047,Kitchener South--Hespeler,Marxist-Leninist,0.2
,,Libertarian,1.6
35049,Lanark--Frontenac--Kingston,Libertarian,0.7
35051,London--Fanshawe,Independent,0.6
35052,London North Centre,Marxist-Leninist,0.2
35053,London West,Libertarian,1.1
,,Communist,0.1
35057,Milton,Libertarian,1
35059,Mississauga East--Cooksville,Marxist-Leninist,0.3
35061,Mississauga--Lakeshore,Marxist-Leninist,0.2
,,Libertarian,0.5
35062,Mississauga--Malton,Independent,0.5
