Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015),% Votes obtained (2011)
24028,Hochelaga,Green Party,3.2,1.7
24028,Hochelaga,Other,1.4,1.2
24029,Honore-Mercier,NDP-New Democratic Party,16.4,35.2
24029,Honore-Mercier,Bloc Quebecois,12.9,16.0
24029,Honore-Mercier,Green Party,1.6,1.6
24029,Honore-Mercier,Conservative,12.1,13
24029,Honore-Mercier,Liberal,56.5,33.5
24029,Honore-Mercier,Other,0.5,0.7
24030,Hull--Aylmer,Conservative,7.7,10
24030,Hull--Aylmer,Bloc Quebecois,6.5,8.7
24030,Hull--Aylmer,Liberal,51.4,20.5
24030,Hull--Aylmer,Green Party,1.9,2.0
24030,Hull--Aylmer,NDP-New Democratic Party,31.5,58.8
24030,Hull--Aylmer,Other,1,0.0
24031,Joliette,Liberal,28.2,6.4
24031,Joliette,Conservative,10.1,9.7
24031,Joliette,NDP-New Democratic Party,25.7,46.9
24031,Joliette,Green Party,2.4,4.0
24031,Joliette,Bloc Quebecois,33.3,33.0
24031,Joliette,Other,0.4,0.0
24032,Jonquiere,Green Party,1.4,1.3
24032,Jonquiere,Bloc Quebecois,23.3,19.3
24032,Jonquiere,Conservative,16.9,34.1
24032,Jonquiere,Liberal,28.5,2.7
24032,Jonquiere,NDP-New Democratic Party,29.2,42.5
24032,Jonquiere,Other,0.8,0.1
24033,La Pointe-de-l'ile,Bloc Quebecois,33.6,32.4
24033,La Pointe-de-l'ile,Green Party,2,1.9
24033,La Pointe-de-l'ile,Conservative,8,7.7
24033,La Pointe-de-l'ile,NDP-New Democratic Party,26.8,47.5
24033,La Pointe-de-l'ile,Liberal,28.6,10.1
24033,La Pointe-de-l'ile,Other,1,0.5
24034,La Prairie,NDP-New Democratic Party,22.9,50.0
24034,La Prairie,Conservative,11.9,9.4
24034,La Prairie,Bloc Quebecois,26.2,25.7
24034,La Prairie,Liberal,36.5,13.2
24034,La Prairie,Green Party,2.1,1.5
24034,La Prairie,Other,0.4,0.2
24035,Lac-Saint-Jean,NDP-New Democratic Party,28.5,32.1
