Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015),% Votes obtained (2011)
35085,Pickering--Uxbridge,Liberal,50.3,33.6
35086,Renfrew--Nipissing--Pembroke,Conservative,45.8,53.4
35086,Renfrew--Nipissing--Pembroke,Green Party,1.9,1.7
35086,Renfrew--Nipissing--Pembroke,Liberal,32.7,12.7
35086,Renfrew--Nipissing--Pembroke,NDP-New Democratic Party,8.6,13.4
35086,Renfrew--Nipissing--Pembroke,Other,11,18.7
35087,Richmond Hill,NDP-New Democratic Party,8,17.0
35087,Richmond Hill,Liberal,46.9,35.6
35087,Richmond Hill,Conservative,43.3,43.5
35087,Richmond Hill,Green Party,1.7,3.8
35088,Carleton,Green Party,3.3,4.1
35088,Carleton,NDP-New Democratic Party,6.1,13.3
35088,Carleton,Conservative,46.9,61.7
35088,Carleton,Liberal,43.7,20.9
35089,St. Catharines,Liberal,43.2,20.7
35089,St. Catharines,Conservative,37.6,50.7
35089,St. Catharines,NDP-New Democratic Party,16.5,23.9
35089,St. Catharines,Green Party,2.6,3.8
35089,St. Catharines,Other,0.1,0.9
35090,Toronto--St. Paul's,Liberal,55.3,39.9
35090,Toronto--St. Paul's,Green Party,3,4.5
35090,Toronto--St. Paul's,Conservative,27,32.4
35090,Toronto--St. Paul's,NDP-New Democratic Party,14.7,22.6
35091,Sarnia--Lambton,Conservative,38.8,52.6
35091,Sarnia--Lambton,NDP-New Democratic Party,31.1,29.9
35091,Sarnia--Lambton,Liberal,27.3,14.0
35091,Sarnia--Lambton,Green Party,2.8,2.5
35092,Sault Ste. Marie,Green Party,2.1,2.1
35092,Sault Ste. Marie,Conservative,31.1,40.4
35092,Sault Ste. Marie,NDP-New Democratic Party,21.8,37.4
35092,Sault Ste. Marie,Liberal,44.8,19.7
35092,Sault Ste. Marie,Other,0.2,0.3
35093,Scarborough--Agincourt,Liberal,51.9,45.6
35093,Scarborough--Agincourt,Conservative,38,34.1
35093,Scarborough--Agincourt,NDP-New Democratic Party,7.9,18.0
35093,Scarborough--Agincourt,Green Party,1.4,2.3
35093,Scarborough--Agincourt,Other,0.8,0.0
35094,Scarborough Centre,Conservative,32.7,34.9
35094,Scarborough Centre,Green Party,2.1,2.6
35094,Scarborough Centre,NDP-New Democratic Party,11.6,30.7
35094,Scarborough Centre,Liberal,50.5,31.9
35094,Scarborough Centre,Other,3.1,0.0
35095,Scarborough--Guildwood,NDP-New Democratic Party,11.3,26.7
35095,Scarborough--Guildwood,Green Party,1.4,2.2
35095,Scarborough--Guildwood,Conservative,26.5,34.7
35095,Scarborough--Guildwood,Liberal,60,35.8
35095,Scarborough--Guildwood,Other,0.7,0.6
35096,Scarborough North,Liberal,48.2,28.9
35096,Scarborough North,Green Party,1.5,1.6
35096,Scarborough North,Conservative,27.4,33.4
35096,Scarborough North,NDP-New Democratic Party,22.1,35.4
35096,Scarborough North,Other,0.8,0.8
35097,Scarborough--Rouge Park,Liberal,60.2,34.8
35097,Scarborough--Rouge Park,Conservative,27.4,31.6
35097,Scarborough--Rouge Park,NDP-New Democratic Party,10.4,31.0
35097,Scarborough--Rouge Park,Green Party,2,2.4
35098,Scarborough Southwest,Liberal,52.5,29.3
35098,Scarborough Southwest,NDP-New Democratic Party,23.7,34.9
35098,Scarborough Southwest,Conservative,21.2,31.7
35098,Scarborough Southwest,Green Party,2.6,4.1
35099,Simcoe--Grey,Green Party,4.4,5.5
35099,Simcoe--Grey,Conservative,46.6,48.4
35099,Simcoe--Grey,Liberal,38.6,12.7
35099,Simcoe--Grey,NDP-New Democratic Party,9.6,17.4
35099,Simcoe--Grey,Other,0.8,15.9
35100,Simcoe North,NDP-New Democratic Party,10.6,20.4
35100,Simcoe North,Liberal,39.8,19.2
35100,Simcoe North,Conservative,43.5,53.9
35100,Simcoe North,Green Party,4.5,5.9
35100,Simcoe North,Other,1.7,0.6
35101,Spadina--Fort York,NDP-New Democratic Party,27.3,49.6
35101,Spadina--Fort York,Green Party,2.1,4.2
35101,Spadina--Fort York,Liberal,54.7,24.4
35101,Spadina--Fort York,Conservative,15.7,20.9
35101,Spadina--Fort York,Other,0.3,0.9
35102,Stormont--Dundas--South Glengarry,NDP-New Democratic Party,8.2,17.5
35102,Stormont--Dundas--South Glengarry,Liberal,38.5,17.9
35102,Stormont--Dundas--South Glengarry,Green Party,2.2,2.2
35102,Stormont--Dundas--South Glengarry,Conservative,51.1,62.1
35103,Sudbury,Liberal,47.4,18.0
35103,Sudbury,NDP-New Democratic Party,27.8,49.9
35103,Sudbury,Green Party,3,3.0
35103,Sudbury,Conservative,21.1,28.3
35103,Sudbury,Other,0.7,0.8
35104,Thornhill,NDP-New Democratic Party,5.2,11.5
35104,Thornhill,Liberal,33.8,22.5
35104,Thornhill,Conservative,58.6,63.2
35104,Thornhill,Green Party,1.2,2.5
35104,Thornhill,Other,1.4,0.3
35105,Thunder Bay--Rainy River,Conservative,21.1,27.2
35105,Thunder Bay--Rainy River,Green Party,5.2,2.4
35105,Thunder Bay--Rainy River,NDP-New Democratic Party,29.7,48.6
35105,Thunder Bay--Rainy River,Liberal,44,21.7
35106,Thunder Bay--Superior North,NDP-New Democratic Party,23.2,50.2
35106,Thunder Bay--Superior North,Liberal,45,16.5
35106,Thunder Bay--Superior North,Conservative,17.4,29.6
35106,Thunder Bay--Superior North,Green Party,13.8,3.0
35106,Thunder Bay--Superior North,Other,0.6,0.7
35107,Timmins--James Bay,NDP-New Democratic Party,42.9,49.9
35107,Timmins--James Bay,Conservative,20.4,31.9
35107,Timmins--James Bay,Green Party,2,2.2
35107,Timmins--James Bay,Liberal,34.7,16.0
35108,Toronto Centre,Green Party,2.6,5.2
35108,Toronto Centre,Conservative,12.2,17.3
35108,Toronto Centre,NDP-New Democratic Party,26.6,36.5
35108,Toronto Centre,Liberal,57.9,39.7
35108,Toronto Centre,Other,0.8,1.3
35109,Toronto--Danforth,Liberal,42.3,17.6
35109,Toronto--Danforth,Conservative,9.9,14.3
35109,Toronto--Danforth,NDP-New Democratic Party,40.2,60.8
35109,Toronto--Danforth,Green Party,4.7,6.5
35109,Toronto--Danforth,Other,2.9,0.8
35110,University--Rosedale,Liberal,49.8,30.6
35110,University--Rosedale,NDP-New Democratic Party,28.6,43.8
35110,University--Rosedale,Conservative,17.5,20.1
35110,University--Rosedale,Green Party,2.9,4.7
35110,University--Rosedale,Other,1.09,0.8
35111,Vaughan--Woodbridge,Green Party,1.3,2.0
35111,Vaughan--Woodbridge,Conservative,43.9,56.6
35111,Vaughan--Woodbridge,Liberal,48.7,30.7
35111,Vaughan--Woodbridge,NDP-New Democratic Party,4.6,10.7
35111,Vaughan--Woodbridge,Other,1.5,0.0
35112,Waterloo,Conservative,32.3,41.4
35112,Waterloo,Liberal,49.7,38.3
35112,Waterloo,NDP-New Democratic Party,14.9,14.9
35112,Waterloo,Green Party,2.9,4.7
35112,Waterloo,Other,0.2,0.7
35113,Wellington--Halton Hills,Green Party,4,6.4
35113,Wellington--Halton Hills,Conservative,50.9,63.7
35113,Wellington--Halton Hills,NDP-New Democratic Party,8.3,13.0
35113,Wellington--Halton Hills,Liberal,36.5,16.4
35113,Wellington--Halton Hills,Other,0.3,0.6
35114,Whitby,Liberal,45,14.5
35114,Whitby,Green Party,2.2,5.0
35114,Whitby,NDP-New Democratic Party,10.3,21.4
35114,Whitby,Conservative,42.1,58.8
35114,Whitby,Other,0.4,0.3
35115,Willowdale,Green Party,2.2,0.4
35115,Willowdale,Liberal,53.4,39.2
35115,Willowdale,Conservative,37,41.5
35115,Willowdale,NDP-New Democratic Party,7,18.9
35115,Willowdale,Other,0.5,0.0
35116,Windsor--Tecumseh,Conservative,27.5,33.6
35116,Windsor--Tecumseh,NDP-New Democratic Party,43.5,49.9
35116,Windsor--Tecumseh,Green Party,2,3.0
35116,Windsor--Tecumseh,Liberal,26.6,12.9
35116,Windsor--Tecumseh,Other,0.5,0.5
35117,Windsor West,Green Party,2.3,2.8
35117,Windsor West,Conservative,20.8,31.6
35117,Windsor West,NDP-New Democratic Party,51.3,54.3
35117,Windsor West,Liberal,25.2,10.9
35117,Windsor West,Other,0.3,0.4
35118,York Centre,Conservative,44,48.5
35118,York Centre,NDP-New Democratic Party,7.3,15.9
35118,York Centre,Green Party,1.8,2.3
35118,York Centre,Liberal,46.9,33.2
35119,York--Simcoe,NDP-New Democratic Party,8.9,18.6
35119,York--Simcoe,Liberal,37.8,11.3
35119,York--Simcoe,Conservative,50.2,63.7
35119,York--Simcoe,Green Party,3.1,5.4
35120,York South--Weston,Liberal,46,32.8
35120,York South--Weston,Green Party,2,2.8
35120,York South--Weston,Conservative,19.2,24.3
35120,York South--Weston,NDP-New Democratic Party,30.4,40.1
35120,York South--Weston,Other,2.4,0.0
35121,Humber River--Black Creek,NDP-New Democratic Party,10.7,27.8
35121,Humber River--Black Creek,Green Party,1.6,1.6
35121,Humber River--Black Creek,Liberal,66.9,47.0
35121,Humber River--Black Creek,Conservative,20.2,22.1
35121,Humber River--Black Creek,Other,0.6,1.4
46001,Brandon--Souris,Conservative,50.3,63.8
46001,Brandon--Souris,Green Party,6.1,5.7
46001,Brandon--Souris,NDP-New Democratic Party,6.3,24.6
46001,Brandon--Souris,Liberal,37.3,5.7
46002,Charleswood--St. James--Assiniboia--Headingley,Liberal,52,18.4
46002,Charleswood--St. James--Assiniboia--Headingley,Conservative,39,57.6
46002,Charleswood--St. James--Assiniboia--Headingley,Green Party,2.9,3.9
46002,Charleswood--St. James--Assiniboia--Headingley,NDP-New Democratic Party,6,20.1
46003,Churchill--Keewatinook Aski,NDP-New Democratic Party,45,51.7
46003,Churchill--Keewatinook Aski,Liberal,42,19.9
46003,Churchill--Keewatinook Aski,Green Party,1.8,2.3
46003,Churchill--Keewatinook Aski,Conservative,10.3,26.1
46003,Churchill--Keewatinook Aski,Other,0.9,0.0
46004,Dauphin--Swan River--Neepawa,NDP-New Democratic Party,12.3,24.8
46004,Dauphin--Swan River--Neepawa,Liberal,29.5,6.3
46004,Dauphin--Swan River--Neepawa,Conservative,46.3,64.5
46004,Dauphin--Swan River--Neepawa,Green Party,3.8,4.3
46004,Dauphin--Swan River--Neepawa,Other,8.1,0.1
46005,Elmwood--Transcona,NDP-New Democratic Party,34.1,44.8
46005,Elmwood--Transcona,Green Party,2.4,3.1
46005,Elmwood--Transcona,Liberal,29.5,5.2
46005,Elmwood--Transcona,Conservative,34,46.9
46006,Kildonan--St. Paul,Conservative,39.8,58.5
46006,Kildonan--St. Paul,NDP-New Democratic Party,14.3,30.1
46006,Kildonan--St. Paul,Liberal,42.7,7.9
46006,Kildonan--St. Paul,Green Party,1.8,2.6
46006,Kildonan--St. Paul,Other,1.4,1.0
46007,Portage--Lisgar,Conservative,60.8,75.8
46007,Portage--Lisgar,Green Party,4,5.6
46007,Portage--Lisgar,NDP-New Democratic Party,6.2,10.2
46007,Portage--Lisgar,Liberal,25.8,6.0
46007,Portage--Lisgar,Other,3.2,2.4
46008,Provencher,Conservative,56.1,70.4
46008,Provencher,Liberal,34.7,6.7
46008,Provencher,NDP-New Democratic Party,5.3,18.2
46008,Provencher,Green Party,4,3.0
46009,Saint Boniface--Saint Vital,Conservative,28.7,50.1
46009,Saint Boniface--Saint Vital,NDP-New Democratic Party,10.6,15.8
46009,Saint Boniface--Saint Vital,Liberal,58.4,31.2
46009,Saint Boniface--Saint Vital,Green Party,2.3,2.9
46010,Selkirk--Interlake--Eastman,Conservative,51.9,66.5
46010,Selkirk--Interlake--Eastman,NDP-New Democratic Party,11.4,25.1
46010,Selkirk--Interlake--Eastman,Green Party,3.5,3.5
46010,Selkirk--Interlake--Eastman,Liberal,31.4,4.9
46010,Selkirk--Interlake--Eastman,Other,1.8,0.1
46011,Winnipeg Centre,NDP-New Democratic Party,28,53.7
46011,Winnipeg Centre,Liberal,54.5,11.1
46011,Winnipeg Centre,Conservative,12.4,27.6
46011,Winnipeg Centre,Green Party,4.1,7.1
46011,Winnipeg Centre,Other,1.1,0.6
46012,Winnipeg North,NDP-New Democratic Party,13.4,35.4
46012,Winnipeg North,Liberal,68.9,35.0
46012,Winnipeg North,Green Party,2.4,1.8
46012,Winnipeg North,Conservative,15.3,27.4
46013,Winnipeg South,Liberal,58.3,32.0
46013,Winnipeg South,Conservative,34.7,51.7
46013,Winnipeg South,NDP-New Democratic Party,5,14.1
46013,Winnipeg South,Green Party,2.1,2.1
46014,Winnipeg South Centre,Conservative,28.2,41.2
46014,Winnipeg South Centre,Liberal,59.7,36.6
46014,Winnipeg South Centre,NDP-New Democratic Party,9,18.3
46014,Winnipeg South Centre,Green Party,3.1,3.2
47001,Battlefords--Lloydminster,Liberal,16.5,3.4
47001,Battlefords--Lloydminster,Conservative,61,65.9
47001,Battlefords--Lloydminster,NDP-New Democratic Party,17.6,28.1
47001,Battlefords--Lloydminster,Green Party,1.7,2.6
47001,Battlefords--Lloydminster,Other,3.2,0.0
47002,Cypress Hills--Grasslands,Conservative,69.2,70.6
47002,Cypress Hills--Grasslands,Green Party,2.7,2.8
47002,Cypress Hills--Grasslands,NDP-New Democratic Party,13.2,20.8
47002,Cypress Hills--Grasslands,Liberal,14.9,5.8
47003,Desnethe--Missinippi--Churchill River,Conservative,30.2,46.9
47003,Desnethe--Missinippi--Churchill River,NDP-New Democratic Party,34.1,45.4
47003,Desnethe--Missinippi--Churchill River,Liberal,33.9,5.3
47003,Desnethe--Missinippi--Churchill River,Green Party,1.8,2.5
47004,Carlton Trail--Eagle Creek,Conservative,64.7,68.4
47004,Carlton Trail--Eagle Creek,Green Party,2.2,2.6
47004,Carlton Trail--Eagle Creek,Liberal,14.4,3.9
47004,Carlton Trail--Eagle Creek,NDP-New Democratic Party,18.7,24.4
47005,Moose Jaw--Lake Centre--Lanigan,NDP-New Democratic Party,23.8,32.5
47005,Moose Jaw--Lake Centre--Lanigan,Liberal,18,3.8
47005,Moose Jaw--Lake Centre--Lanigan,Conservative,55.5,61
47005,Moose Jaw--Lake Centre--Lanigan,Green Party,2.3,2.7
47005,Moose Jaw--Lake Centre--Lanigan,Other,0.5,0.0
47006,Prince Albert,NDP-New Democratic Party,28.5,31.5
47006,Prince Albert,Conservative,49.8,62.4
47006,Prince Albert,Liberal,19.8,3.4
47006,Prince Albert,Green Party,1.9,2.2
47007,Regina--Lewvan,Liberal,27.5,8.2
47007,Regina--Lewvan,Conservative,34.9,43.9
47007,Regina--Lewvan,Green Party,1.8,2.8
47007,Regina--Lewvan,NDP-New Democratic Party,35.2,45.2
47007,Regina--Lewvan,Other,0.6,0.0
47008,Regina--Qu'Appelle,Liberal,22.8,4.8
47008,Regina--Qu'Appelle,Green Party,2.3,3.0
47008,Regina--Qu'Appelle,NDP-New Democratic Party,30.2,38.6
47008,Regina--Qu'Appelle,Conservative,44.7,53.2
47009,Regina--Wascana,NDP-New Democratic Party,12.6,20.1
47009,Regina--Wascana,Liberal,55.1,41.8
47009,Regina--Wascana,Conservative,30.3,35.7
47009,Regina--Wascana,Green Party,2.1,2.5
47010,Saskatoon--Grasswood,NDP-New Democratic Party,30.2,39.8
47010,Saskatoon--Grasswood,Green Party,1.8,2.5
47010,Saskatoon--Grasswood,Liberal,26.4,7.3
47010,Saskatoon--Grasswood,Conservative,41.6,50.2
47011,Saskatoon--University,Liberal,25.2,9.6
47011,Saskatoon--University,NDP-New Democratic Party,31.5,38.0
47011,Saskatoon--University,Green Party,1.5,2.9
47011,Saskatoon--University,Conservative,41.5,48.6
47011,Saskatoon--University,Other,0.2,0.9
47012,Saskatoon West,Liberal,24.5,3.8
47012,Saskatoon West,NDP-New Democratic Party,39.6,51.1
47012,Saskatoon West,Conservative,32.9,42.5
47012,Saskatoon West,Green Party,1.7,2.6
47012,Saskatoon West,Other,1.29,0.0
47013,Souris--Moose Mountain,Liberal,13.5,5.6
47013,Souris--Moose Mountain,Green Party,2.6,3.1
47013,Souris--Moose Mountain,Conservative,70.1,72.9
47013,Souris--Moose Mountain,NDP-New Democratic Party,13.7,18.5
47014,Yorkton--Melville,Green Party,2.8,2.4
47014,Yorkton--Melville,Liberal,17.8,6.6
47014,Yorkton--Melville,NDP-New Democratic Party,20.2,22.0
47014,Yorkton--Melville,Conservative,59.2,68.9
48001,Banff--Airdrie,NDP-New Democratic Party,6.8,13.1
48001,Banff--Airdrie,Green Party,3.8,7.7
48001,Banff--Airdrie,Liberal,26.1,8.1
48001,Banff--Airdrie,Conservative,63.4,70.7
48002,Battle River--Crowfoot,Green Party,3.2,3.9
48002,Battle River--Crowfoot,Liberal,9.4,2.2
48002,Battle River--Crowfoot,Conservative,80.9,83.1
48002,Battle River--Crowfoot,NDP-New Democratic Party,6.5,9.8
48003,Bow River,Liberal,13.7,3.5
48003,Bow River,Green Party,1.8,3.4
48003,Bow River,NDP-New Democratic Party,5.2,8.2
48003,Bow River,Conservative,77.4,83.4
48003,Bow River,Other,1.9,1.5
48004,Calgary Centre,Green Party,2.2,10.3
48004,Calgary Centre,Conservative,45.3,55.4
48004,Calgary Centre,Liberal,46.5,19.1
48004,Calgary Centre,NDP-New Democratic Party,5.6,15.2
48004,Calgary Centre,Other,0.4,0.0
48005,Calgary Confederation,Liberal,43.5,17.6
48005,Calgary Confederation,NDP-New Democratic Party,7.1,15.8
48005,Calgary Confederation,Green Party,3.2,13.7
48005,Calgary Confederation,Conservative,45.9,52.4
48005,Calgary Confederation,Other,0.2,0.4
48006,Calgary Forest Lawn,Green Party,3,5.3
48006,Calgary Forest Lawn,Conservative,48,63.3
48006,Calgary Forest Lawn,NDP-New Democratic Party,9.8,13.2
48006,Calgary Forest Lawn,Liberal,36,17.5
48006,Calgary Forest Lawn,Other,3.3,0.7
48007,Calgary Heritage,Green Party,2.1,5.5
48007,Calgary Heritage,Conservative,63.8,74.4
48007,Calgary Heritage,NDP-New Democratic Party,7.3,12.1
48007,Calgary Heritage,Liberal,26,7.5
48007,Calgary Heritage,Other,0.79,0.5
48008,Calgary Midnapore,Liberal,22.6,6.4
48008,Calgary Midnapore,Conservative,66.7,75.9
48008,Calgary Midnapore,Green Party,2.7,6.4
48008,Calgary Midnapore,NDP-New Democratic Party,7.7,10.6
48008,Calgary Midnapore,Other,0.2,0.7
48009,Calgary Nose Hill,NDP-New Democratic Party,8.9,12.8
48009,Calgary Nose Hill,Liberal,26.9,11.0
48009,Calgary Nose Hill,Conservative,60,69.3
48009,Calgary Nose Hill,Green Party,2.5,6.7
48009,Calgary Nose Hill,Other,1.6,0.1
48010,Calgary Rocky Ridge,Conservative,60.4,68.5
48010,Calgary Rocky Ridge,NDP-New Democratic Party,5.8,11.5
48010,Calgary Rocky Ridge,Liberal,31.7,12.6
48010,Calgary Rocky Ridge,Green Party,2.1,7.2
48011,Calgary Shepard,NDP-New Democratic Party,6.8,11.1
48011,Calgary Shepard,Liberal,24.7,7.2
48011,Calgary Shepard,Conservative,65.9,75.5
48011,Calgary Shepard,Green Party,2.6,5.6
48012,Calgary Signal Hill,NDP-New Democratic Party,5,10.6
48012,Calgary Signal Hill,Liberal,30.6,15.4
48012,Calgary Signal Hill,Green Party,2.5,8.8
48012,Calgary Signal Hill,Conservative,60.6,64.9
48012,Calgary Signal Hill,Other,1.4,0.3
48013,Calgary Skyview,Liberal,45.9,28.6
48013,Calgary Skyview,Green Party,1.9,4.6
48013,Calgary Skyview,Conservative,39.8,56.3
48013,Calgary Skyview,NDP-New Democratic Party,8,10.0
48013,Calgary Skyview,Other,4.4,0.4
48014,Edmonton Centre,Liberal,37.2,23.7
48014,Edmonton Centre,Conservative,35,46.2
48014,Edmonton Centre,NDP-New Democratic Party,24.5,25.8
48014,Edmonton Centre,Green Party,2.6,3.6
48014,Edmonton Centre,Other,0.8,0.7
48015,Edmonton Griesbach,Conservative,40,52.5
48015,Edmonton Griesbach,Liberal,21.7,6.6
48015,Edmonton Griesbach,NDP-New Democratic Party,34,37.5
48015,Edmonton Griesbach,Green Party,2.4,3.4
48015,Edmonton Griesbach,Other,2,0.0
48016,Edmonton Manning,Conservative,45.2,55.5
48016,Edmonton Manning,Liberal,27.6,9.1
48016,Edmonton Manning,NDP-New Democratic Party,23.6,26.6
48016,Edmonton Manning,Green Party,2.2,2.9
48016,Edmonton Manning,Other,1.4,6.0
48017,Edmonton Mill Woods,NDP-New Democratic Party,12.8,25.4
48017,Edmonton Mill Woods,Green Party,2.2,3.0
48017,Edmonton Mill Woods,Liberal,41.2,11.7
48017,Edmonton Mill Woods,Conservative,41.1,58.9
48017,Edmonton Mill Woods,Other,2.7,0.9
48018,Edmonton Riverbend,Liberal,30.2,14.5
48018,Edmonton Riverbend,NDP-New Democratic Party,17.1,21.2
48018,Edmonton Riverbend,Conservative,49.9,59.4
48018,Edmonton Riverbend,Green Party,2.2,5.0
48018,Edmonton Riverbend,Other,0.7,0.0
48019,Edmonton Strathcona,Green Party,2.3,2.3
48019,Edmonton Strathcona,NDP-New Democratic Party,44,53.7
48019,Edmonton Strathcona,Liberal,20.7,2.9
48019,Edmonton Strathcona,Conservative,31.3,40.3
48019,Edmonton Strathcona,Other,1.79,0.8
48020,Edmonton West,Green Party,1.9,3.7
48020,Edmonton West,Liberal,34.9,12.5
48020,Edmonton West,NDP-New Democratic Party,13,19.5
48020,Edmonton West,Conservative,49.3,64.2
48020,Edmonton West,Other,0.8,0.2
48021,Edmonton--Wetaskiwin,Liberal,21.5,5.7
48021,Edmonton--Wetaskiwin,NDP-New Democratic Party,9.7,14.3
48021,Edmonton--Wetaskiwin,Green Party,2.3,4.1
48021,Edmonton--Wetaskiwin,Conservative,65.8,75.6
48021,Edmonton--Wetaskiwin,Other,0.7,0.3
48022,Foothills,Conservative,75.7,77.8
48022,Foothills,Liberal,13.4,3.5
48022,Foothills,NDP-New Democratic Party,6.4,10.1
48022,Foothills,Green Party,3.3,4.8
48022,Foothills,Other,1.29,3.8
48023,Fort McMurray--Cold Lake,Green Party,1.6,3.6
48023,Fort McMurray--Cold Lake,Liberal,28.4,10.8
48023,Fort McMurray--Cold Lake,NDP-New Democratic Party,7.7,13.1
48023,Fort McMurray--Cold Lake,Conservative,60.6,72.5
48023,Fort McMurray--Cold Lake,Other,1.79,0.0
48024,Grande Prairie--Mackenzie,Green Party,3.1,3.8
48024,Grande Prairie--Mackenzie,Liberal,14.7,3.2
48024,Grande Prairie--Mackenzie,NDP-New Democratic Party,8.1,15.4
48024,Grande Prairie--Mackenzie,Conservative,72.9,76.1
48024,Grande Prairie--Mackenzie,Other,1.1,1.6
48025,Lakeland,Green Party,2.3,4.2
48025,Lakeland,Liberal,13.7,5.1
48025,Lakeland,Conservative,72.8,79
48025,Lakeland,NDP-New Democratic Party,10.1,11.2
48025,Lakeland,Other,1.1,0.5
48026,Lethbridge,Conservative,56.8,52.5
48026,Lethbridge,Green Party,2.6,4.5
48026,Lethbridge,NDP-New Democratic Party,20.5,30.0
48026,Lethbridge,Liberal,18.5,9.1
48026,Lethbridge,Other,1.7,3.9
48027,Medicine Hat--Cardston--Warner,Liberal,17.9,11.2
48027,Medicine Hat--Cardston--Warner,Conservative,68.8,68.7
48027,Medicine Hat--Cardston--Warner,Green Party,2.6,4.4
48027,Medicine Hat--Cardston--Warner,NDP-New Democratic Party,9.7,14.9
48027,Medicine Hat--Cardston--Warner,Other,1,0.8
48028,Peace River--Westlock,NDP-New Democratic Party,14.4,13.0
48028,Peace River--Westlock,Liberal,12.8,3.6
48028,Peace River--Westlock,Green Party,2.5,3.9
48028,Peace River--Westlock,Conservative,69.4,77.8
48028,Peace River--Westlock,Other,0.9,1.7
48029,Red Deer--Mountain View,Conservative,74.3,79.4
48029,Red Deer--Mountain View,NDP-New Democratic Party,8.4,11.9
48029,Red Deer--Mountain View,Liberal,13.4,3.5
48029,Red Deer--Mountain View,Green Party,2.6,5.0
48029,Red Deer--Mountain View,Other,1.2,0.1
48030,Red Deer--Lacombe,Conservative,70.7,77.4
48030,Red Deer--Lacombe,NDP-New Democratic Party,11.4,14.3
48030,Red Deer--Lacombe,Green Party,2.9,4.7
48030,Red Deer--Lacombe,Liberal,15,3.6
48031,St. Albert--Edmonton,Conservative,45.2,64.5
48031,St. Albert--Edmonton,Liberal,22.5,10.8
48031,St. Albert--Edmonton,NDP-New Democratic Party,11.2,20.1
48031,St. Albert--Edmonton,Green Party,1.4,4.6
48031,St. Albert--Edmonton,Other,19.7,0.0
48032,Sherwood Park--Fort Saskatchewan,NDP-New Democratic Party,9.8,11.2
48032,Sherwood Park--Fort Saskatchewan,Liberal,20.4,6.5
48032,Sherwood Park--Fort Saskatchewan,Conservative,63.9,49.5
48032,Sherwood Park--Fort Saskatchewan,Green Party,2.5,4.1
48032,Sherwood Park--Fort Saskatchewan,Other,3.3,28.8
48033,Sturgeon River--Parkland,Conservative,70.2,77.5
48033,Sturgeon River--Parkland,NDP-New Democratic Party,10,13.0
48033,Sturgeon River--Parkland,Liberal,15.6,5.5
48033,Sturgeon River--Parkland,Green Party,3,4.0
48033,Sturgeon River--Parkland,Other,1.1,0.1
48034,Yellowhead,Conservative,72.3,78.1
48034,Yellowhead,NDP-New Democratic Party,9,12.9
48034,Yellowhead,Liberal,14.2,2.9
48034,Yellowhead,Green Party,2.9,5.3
48034,Yellowhead,Other,1.6,0.8
59001,Abbotsford,Conservative,48.3,66.9
59001,Abbotsford,Green Party,5,4.7
59001,Abbotsford,NDP-New Democratic Party,13.7,19.2
59001,Abbotsford,Liberal,32.8,8.7
59001,Abbotsford,Other,0.2,0.5
59002,Burnaby North--Seymour,NDP-New Democratic Party,29.6,35.2
59002,Burnaby North--Seymour,Liberal,36.1,15.7
59002,Burnaby North--Seymour,Conservative,27.8,44.2
59002,Burnaby North--Seymour,Green Party,5.3,3.9
59002,Burnaby North--Seymour,Other,1.2,1.0
59003,Burnaby South,Liberal,33.9,11.7
59003,Burnaby South,Conservative,27.1,39.6
59003,Burnaby South,NDP-New Democratic Party,35.1,44.0
59003,Burnaby South,Green Party,2.8,3.6
59003,Burnaby South,Other,1.1,1.1
59004,Cariboo--Prince George,Liberal,31.5,5.1
59004,Cariboo--Prince George,NDP-New Democratic Party,25.8,30.1
59004,Cariboo--Prince George,Conservative,36.6,56.3
59004,Cariboo--Prince George,Green Party,3.5,6.2
59004,Cariboo--Prince George,Other,2.5,2.4
59005,Central Okanagan--Similkameen--Nicola,Conservative,39.6,54.6
59005,Central Okanagan--Similkameen--Nicola,Green Party,3.9,7.8
59005,Central Okanagan--Similkameen--Nicola,Liberal,37.2,10.1
59005,Central Okanagan--Similkameen--Nicola,NDP-New Democratic Party,19.3,26.0
59006,Chilliwack--Hope,Green Party,4.7,5.0
59006,Chilliwack--Hope,Liberal,33.8,11.2
59006,Chilliwack--Hope,NDP-New Democratic Party,18.2,23.5
59006,Chilliwack--Hope,Conservative,42.3,59.6
59006,Chilliwack--Hope,Other,1,0.7
59007,Cloverdale--Langley City,Liberal,45.5,11.8
59007,Cloverdale--Langley City,Green Party,4.1,4.6
59007,Cloverdale--Langley City,Conservative,34.8,57.4
59007,Cloverdale--Langley City,NDP-New Democratic Party,15.7,24.7
59008,Coquitlam--Port Coquitlam,Conservative,32,55.5
59008,Coquitlam--Port Coquitlam,Liberal,35.3,8.3
59008,Coquitlam--Port Coquitlam,Green Party,3.7,4.3
59008,Coquitlam--Port Coquitlam,NDP-New Democratic Party,27.3,31.0
59008,Coquitlam--Port Coquitlam,Other,1.8,0.9
59009,Courtenay--Alberni,Conservative,28.2,44.9
59009,Courtenay--Alberni,NDP-New Democratic Party,38.1,40.7
59009,Courtenay--Alberni,Liberal,21.8,6.7
59009,Courtenay--Alberni,Green Party,11.7,6.8
59009,Courtenay--Alberni,Other,0.2,0.8
59010,Cowichan--Malahat--Langford,Conservative,22.8,43.1
