"'"
"2003 Representation Order Federal Electroral District(FED) to 2013 Representation Order Federal Electroral District*"

"Province or territory","New FED number- 2013","New FED name- 2013","Old FED number- 2003","Old FED name- 2003"
"Quebec",24033,"La Pointe-de-l'Île",24028,"La Pointe-de-l'Île"
"Quebec",24034,"La Prairie",24011,"Brossard - La Prairie"
"Quebec",24034,"La Prairie",24015,"Châteauguay - Saint-Constant"
"Quebec",24035,"Lac-Saint-Jean",24026,"Jonquière - Alma"
"Quebec",24035,"Lac-Saint-Jean",24060,"Roberval - Lac-Saint-Jean"
"Quebec",24036,"Lac-Saint-Louis",24027,"Lac-Saint-Louis"
"Quebec",24036,"Lac-Saint-Louis",24045,"Notre-Dame-de-Grâce - Lachine"
"Quebec",24037,"LaSalle--Émard--Verdun",24024,"Jeanne-Le Ber"
"Quebec",24037,"LaSalle--Émard--Verdun",24029,"LaSalle - Émard"
"Quebec",24037,"LaSalle--Émard--Verdun",24045,"Notre-Dame-de-Grâce - Lachine"
"Quebec",24037,"LaSalle--Émard--Verdun",24075,"Westmount - Ville-Marie"
"Quebec",24038,"Laurentides--Labelle",24030,"Laurentides - Labelle"
"Quebec",24039,"Laurier--Sainte-Marie",24021,"Hochelaga"
"Quebec",24039,"Laurier--Sainte-Marie",24031,"Laurier - Sainte-Marie"
"Quebec",24039,"Laurier--Sainte-Marie",24047,"Outremont"
"Quebec",24039,"Laurier--Sainte-Marie",24075,"Westmount - Ville-Marie"
"Quebec",24040,"Laval--Les Îles",24033,"Laval - Les Îles"
"Quebec",24041,"Longueuil--Charles-LeMoyne",24062,"Saint-Bruno - Saint-Hubert"
"Quebec",24041,"Longueuil--Charles-LeMoyne",24065,"Saint-Lambert"
"Quebec",24042,"Lévis--Lotbinière",24036,"Lotbinière - Chutes-de-la-Chaudière"
"Quebec",24042,"Lévis--Lotbinière",24042,"Mégantic - L'Érable"
"Quebec",24043,"Longueuil--Saint-Hubert",24035,"Longueuil - Pierre-Boucher"
"Quebec",24043,"Longueuil--Saint-Hubert",24062,"Saint-Bruno - Saint-Hubert"
"Quebec",24044,"Louis-Hébert",24037,"Louis-Hébert"
"Quebec",24045,"Louis-Saint-Laurent",24013,"Charlesbourg - Haute-Saint-Charles"
"Quebec",24045,"Louis-Saint-Laurent",24037,"Louis-Hébert"
"Quebec",24045,"Louis-Saint-Laurent",24038,"Louis-Saint-Laurent"
"Quebec",24046,"Manicouagan",24014,"Montmorency - Charlevoix - Haute-Côte-Nord"
"Quebec",24046,"Manicouagan",24039,"Manicouagan"
"Quebec",24047,"Mégantic--L'Érable",24005,"Beauce"
"Quebec",24047,"Mégantic--L'Érable",24042,"Mégantic - L'Érable"
"Quebec",24048,"Mirabel",24004,"Argenteuil - Papineau - Mirabel"
"Quebec",24048,"Mirabel",24057,"Rivière-des-Mille-Îles"
"Quebec",24048,"Mirabel",24059,"Rivière-du-Nord"
"Quebec",24048,"Mirabel",24071,"Terrebonne - Blainville"
"Quebec",24049,"Montarville",24012,"Chambly - Borduas"
"Quebec",24049,"Montarville",24062,"Saint-Bruno - Saint-Hubert"
"Quebec",24049,"Montarville",24074,"Verchères - Les Patriotes"
"Quebec",24050,"Montcalm",24043,"Montcalm"
"Quebec",24050,"Montcalm",24053,"Repentigny"
"Quebec",24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup",24058,"Montmagny - L'Islet - Kamouraska - Rivière-du-Loup"
"Quebec",24052,"Mount Royal",24044,"Mount Royal"
