Electoral district number,Electoral district name,Political affiliation (2011),% Votes obtained (2011)
35007,Beaches--East York,Other ,0.3
24007,Beauce,Conservative ,50.7
24007,Beauce,NDP-New Democratic Party ,30.0
24007,Beauce,Liberal ,11.0
24007,Beauce,Bloc Quebecois ,6.7
24007,Beauce,Green Party ,1.6
24007,Beauce,Other ,0.0
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Conservative ,23.0
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,NDP-New Democratic Party ,38.2
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Liberal ,5.3
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Bloc Quebecois ,31.7
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Green Party ,1.7
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Other ,0.1
24008,Beauport--Limoilou,Conservative ,25.3
24008,Beauport--Limoilou,NDP-New Democratic Party ,45.9
24008,Beauport--Limoilou,Liberal ,6.4
24008,Beauport--Limoilou,Bloc Quebecois ,20.1
24008,Beauport--Limoilou,Green Party ,1.9
24008,Beauport--Limoilou,Other ,0.5
13002,Beausejour,Conservative ,31.7
13002,Beausejour,NDP-New Democratic Party ,23.4
13002,Beausejour,Liberal ,40.7
13002,Beausejour,Bloc Quebecois ,0.0
13002,Beausejour,Green Party ,4.2
13002,Beausejour,Other ,0.0
24009,Becancour--Nicolet--Saurel,Conservative ,13.0
24009,Becancour--Nicolet--Saurel,NDP-New Democratic Party ,35.6
24009,Becancour--Nicolet--Saurel,Liberal ,10.1
24009,Becancour--Nicolet--Saurel,Bloc Quebecois ,38.3
24009,Becancour--Nicolet--Saurel,Green Party ,3.0
24009,Becancour--Nicolet--Saurel,Other ,0.0
24010,Bellechasse--Les Etchemins--Levis,Conservative ,43.9
24010,Bellechasse--Les Etchemins--Levis,NDP-New Democratic Party ,33.8
24010,Bellechasse--Les Etchemins--Levis,Liberal ,5.8
24010,Bellechasse--Les Etchemins--Levis,Bloc Quebecois ,14.9
24010,Bellechasse--Les Etchemins--Levis,Green Party ,1.5
24010,Bellechasse--Les Etchemins--Levis,Other ,0.0
24011,Beloeil--Chambly,Conservative ,7.9
24011,Beloeil--Chambly,NDP-New Democratic Party ,42.6
24011,Beloeil--Chambly,Liberal ,9.0
24011,Beloeil--Chambly,Bloc Quebecois ,27.4
24011,Beloeil--Chambly,Green Party ,1.6
24011,Beloeil--Chambly,Other ,11.5
24012,Berthier--Maskinonge,Conservative ,12.7
24012,Berthier--Maskinonge,NDP-New Democratic Party ,41.2
24012,Berthier--Maskinonge,Liberal ,12.1
24012,Berthier--Maskinonge,Bloc Quebecois ,31.0
24012,Berthier--Maskinonge,Green Party ,2.3
24012,Berthier--Maskinonge,Other ,0.6
10002,Bonavista--Burin--Trinity,Conservative ,30.5
10002,Bonavista--Burin--Trinity,NDP-New Democratic Party ,13.9
10002,Bonavista--Burin--Trinity,Liberal ,54.5
10002,Bonavista--Burin--Trinity,Bloc Quebecois ,0.0
10002,Bonavista--Burin--Trinity,Green Party ,0.9
10002,Bonavista--Burin--Trinity,Other ,0.2
24015,Bourassa,Conservative ,8.2
24015,Bourassa,NDP-New Democratic Party ,32.4
24015,Bourassa,Liberal ,38.5
24015,Bourassa,Bloc Quebecois ,19.0
24015,Bourassa,Green Party ,1.6
24015,Bourassa,Other ,0.4
48003,Bow River,Conservative ,83.4
48003,Bow River,NDP-New Democratic Party ,8.2
48003,Bow River,Liberal ,3.5
48003,Bow River,Bloc Quebecois ,0.0
48003,Bow River,Green Party ,3.4
48003,Bow River,Other ,1.5
35008,Brampton Centre,Conservative ,46.4
35008,Brampton Centre,NDP-New Democratic Party ,23.2
35008,Brampton Centre,Liberal ,25.4
35008,Brampton Centre,Bloc Quebecois ,0.0
35008,Brampton Centre,Green Party ,4.4
35008,Brampton Centre,Other ,0.6
35009,Brampton East,Conservative ,29.5
35009,Brampton East,NDP-New Democratic Party ,37.6
35009,Brampton East,Liberal ,30.7
35009,Brampton East,Bloc Quebecois ,0.0
35009,Brampton East,Green Party ,1.7
35009,Brampton East,Other ,0.5
35010,Brampton North,Conservative ,48.9
35010,Brampton North,NDP-New Democratic Party ,18.8
35010,Brampton North,Liberal ,28.2
35010,Brampton North,Bloc Quebecois ,0.0
35010,Brampton North,Green Party ,3.7
35010,Brampton North,Other ,0.5
35011,Brampton South,Conservative ,45.4
35011,Brampton South,NDP-New Democratic Party ,16.4
35011,Brampton South,Liberal ,35.4
35011,Brampton South,Bloc Quebecois ,0.0
35011,Brampton South,Green Party ,2.3
35011,Brampton South,Other ,0.5
35012,Brampton West,Conservative ,42.0
35012,Brampton West,NDP-New Democratic Party ,19.6
35012,Brampton West,Liberal ,36.1
35012,Brampton West,Bloc Quebecois ,0.0
35012,Brampton West,Green Party ,1.6
35012,Brampton West,Other ,0.7
46001,Brandon--Souris,Conservative ,63.8
46001,Brandon--Souris,NDP-New Democratic Party ,24.6
46001,Brandon--Souris,Liberal ,5.7
46001,Brandon--Souris,Bloc Quebecois ,0.0
46001,Brandon--Souris,Green Party ,5.7
46001,Brandon--Souris,Other ,0.1
35013,Brantford--Brant,Conservative ,48.4
35013,Brantford--Brant,NDP-New Democratic Party ,28.9
35013,Brantford--Brant,Liberal ,18.9
35013,Brantford--Brant,Bloc Quebecois ,0.0
35013,Brantford--Brant,Green Party ,3.2
35013,Brantford--Brant,Other ,0.5
24016,Brome--Missisquoi,Conservative ,11.9
24016,Brome--Missisquoi,NDP-New Democratic Party ,42.6
24016,Brome--Missisquoi,Liberal ,22.1
24016,Brome--Missisquoi,Bloc Quebecois ,21.3
24016,Brome--Missisquoi,Green Party ,2.1
24016,Brome--Missisquoi,Other ,0.0
24017,Brossard--Saint-Lambert,Conservative ,12.8
24017,Brossard--Saint-Lambert,NDP-New Democratic Party ,36.8
24017,Brossard--Saint-Lambert,Liberal ,32.8
24017,Brossard--Saint-Lambert,Bloc Quebecois ,15.9
24017,Brossard--Saint-Lambert,Green Party ,1.5
24017,Brossard--Saint-Lambert,Other ,0.2
35014,Bruce--Grey--Owen Sound,Conservative ,56.3
35014,Bruce--Grey--Owen Sound,NDP-New Democratic Party ,17.6
35014,Bruce--Grey--Owen Sound,Liberal ,16.1
35014,Bruce--Grey--Owen Sound,Bloc Quebecois ,0.0
35014,Bruce--Grey--Owen Sound,Green Party ,10.0
35014,Bruce--Grey--Owen Sound,Other ,0.0
35015,Burlington,Conservative ,54.1
35015,Burlington,NDP-New Democratic Party ,18.9
35015,Burlington,Liberal ,23.2
35015,Burlington,Bloc Quebecois ,0.0
35015,Burlington,Green Party ,3.5
35015,Burlington,Other ,0.2
59002,Burnaby North--Seymour,Conservative ,44.2
59002,Burnaby North--Seymour,NDP-New Democratic Party ,35.2
59002,Burnaby North--Seymour,Liberal ,15.7
59002,Burnaby North--Seymour,Bloc Quebecois ,0.0
59002,Burnaby North--Seymour,Green Party ,3.9
59002,Burnaby North--Seymour,Other ,1.0
59003,Burnaby South,Conservative ,39.6
59003,Burnaby South,NDP-New Democratic Party ,44.0
59003,Burnaby South,Liberal ,11.7
59003,Burnaby South,Bloc Quebecois ,0.0
59003,Burnaby South,Green Party ,3.6
59003,Burnaby South,Other ,1.1
48004,Calgary Centre,Conservative ,55.4
48004,Calgary Centre,NDP-New Democratic Party ,15.2
48004,Calgary Centre,Liberal ,19.1
48004,Calgary Centre,Bloc Quebecois ,0.0
48004,Calgary Centre,Green Party ,10.3
48004,Calgary Centre,Other ,0.0
48005,Calgary Confederation,Conservative ,52.4
48005,Calgary Confederation,NDP-New Democratic Party ,15.8
48005,Calgary Confederation,Liberal ,17.6
48005,Calgary Confederation,Bloc Quebecois ,0.0
48005,Calgary Confederation,Green Party ,13.7
48005,Calgary Confederation,Other ,0.4
48006,Calgary Forest Lawn,Conservative ,63.3
48006,Calgary Forest Lawn,NDP-New Democratic Party ,13.2
48006,Calgary Forest Lawn,Liberal ,17.5
48006,Calgary Forest Lawn,Bloc Quebecois ,0.0
48006,Calgary Forest Lawn,Green Party ,5.3
48006,Calgary Forest Lawn,Other ,0.7
48007,Calgary Heritage,Conservative ,74.4
48007,Calgary Heritage,NDP-New Democratic Party ,12.1
48007,Calgary Heritage,Liberal ,7.5
48007,Calgary Heritage,Bloc Quebecois ,0.0
48007,Calgary Heritage,Green Party ,5.5
48007,Calgary Heritage,Other ,0.5
48008,Calgary Midnapore,Conservative ,75.9
48008,Calgary Midnapore,NDP-New Democratic Party ,10.6
48008,Calgary Midnapore,Liberal ,6.4
48008,Calgary Midnapore,Bloc Quebecois ,0.0
48008,Calgary Midnapore,Green Party ,6.4
48008,Calgary Midnapore,Other ,0.7
48009,Calgary Nose Hill,Conservative ,69.3
48009,Calgary Nose Hill,NDP-New Democratic Party ,12.8
