"DATE","TITLE","ACTIVITY"
"Jan 31, 2016 01:58","Candidates' Summary","FORTY-SECOND GENERAL ELECTION (October 19, 2015)"

SUMMARY_DATA
"Client_id","Name_of_candidate","Political_affiliation","Electoral_district","Name_of_official_agent","Number_of_contributors","Total_amount_of_contributions","Total_amount_of_loans","Total_amount_of_transfers_received","Total_amount_of_election_expenses_subject_to_limit","Election_expenses_limit","Total_of_candidates_personal_expenses","Other_expenses_and_Outflows","Name_of_auditor","Auditors_report_qualified"
"30766","Hill, Michael","Marxist-Leninist Party of Canada","Vancouver Centre","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32576","Hoffman, Rachel","Marxist-Leninist Party of Canada","Notre-Dame-de-Grâce--Westmount","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30194","Hollett, Jennifer","New Democratic Party","University--Rosedale","Bruno Marchese","68","13028.32","0","144735.91","155181.47","206261.82","326.87","3973.37","Nayman, Bernard","N"
"32935","Huberdeau, Benoit","Independent","Sherbrooke","Marie-Josée Dubois","","","","","","","","","Simard, Mario","N"
"30635","Hunter, Kevan","Marxist-Leninist Party of Canada","Calgary Confederation","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30655","Ichim, Julian","Marxist-Leninist Party of Canada","Kitchener Centre","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30644","Jamieson, Anne","Marxist-Leninist Party of Canada","Vancouver East","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30926","Janssen, Roelof","Christian Heritage Party of Canada","Fort McMurray--Cold Lake","Theresa E Janssen","24","12875","0","155.6","9797.73","260378.41","3143.45","750.92","Mulder, Bert","N"
"32564","Jensen, Leon","Liberal Party of Canada","Langley--Aldergrove","Catherine Gagnon","16","147.3","3000","26409.43","12700.02","217657.94","1273.89","6560.95","Mau, Diana","N"
"32516","Johnston, Diane","Marxist-Leninist Party of Canada","Mount Royal","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30278","Jonker, Harold","Christian Heritage Party of Canada","Niagara West","COREEN WIERENGA","19","8075","0","14289.38","21772.1","202783.01","0","0","Campbell, Stacey","N"
"30595","Joyce, Mary","Marxist-Leninist Party of Canada","Edmonton Griesbach","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30672","Kao, Elvin","Green Party of Canada","Markham--Unionville","Hugh A de Souza","6","1085","0","4520.83","4322.49","218774.36","123.45","255.33","Manickam, Nara","N"
"30025","Kelly, Yvonne","New Democratic Party","Newmarket--Aurora","Christine Fancie","29","6785","0","22333.4","21163.04","219830","500","7764.21","Nayman, Bernard","N"
"30510","Khatoon, Aasia","Independent","Scarborough North","Rehman-Ullah Khan","5","1395","0","0","1724.47","199432.15","71.53","0","Syed, Sabeeh","N"
"30992","Kittredge, John","Libertarian Party of Canada","Don Valley West","Carol Lynn Kittredge","1","202","10","","202","203797.06","","10","Edmonds, Ian","N"
"32816","Klevering, Kornelis","Marijuana Party","Guelph","Blair Longley","","","","","","","","","Rozon, Gary","N"
"30073","Knorren, Taryn","Green Party of Canada","Calgary Signal Hill","James A MacDonald","5","1200","0","2680","3474.13","222240.38","251.43","142.37","Campbell, Stacey","N"
"30767","Kunschner, Zoe","New Democratic Party","Oxford","Aaron A MacDonald","37","5795.96","0","19553.05","23968.32","220586.55","692.24","688.45","Nayman, Bernard","N"
"30519","Lachapelle, Serge","Marxist-Leninist Party of Canada","Laurier--Sainte-Marie","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30391","Laird, David","New Democratic Party","Burlington","Richard A Chislett","90","22833.19","0","0","28503.64","239840.79","127","3186.6","Nayman, Bernard G.","N"
