Geo_Code,FED_Name,Under5000Pct,5000To9999Pct,10000To14999Pct,15000To19999Pct,20000To29999Pct,30000To39999Pct,40000To49999Pct,50000To59999Pct,60000To79999Pct,80000To99999Pct,100000To124999Pct,125000AndOverPct,MaleUnder5000Pct,Male5000To9999Pct,Male10000To14999Pct,Male15000To19999Pct,Male20000To29999Pct,Male30000To39999Pct,Male40000To49999Pct,Male50000To59999Pct,Male60000To79999Pct,Male80000To99999Pct,Male100000To124999Pct,Male125000AndOverPct,FemaleTotIncome2010Pop15YearsAndOver,FemaleUnder5000Pct,Female5000To9999Pct,Female10000To14999Pct,Female15000To19999Pct,Female20000To29999Pct,Female30000To39999Pct,Female40000To49999Pct,Female50000To59999Pct,Female60000To79999Pct,Female80000To99999Pct,Female100000To124999Pct,Female125000AndOverPct
35121,Humber River--Black Creek,12.638,8.449,10.398,11.829,17.27,12.644,8.641,4.108,3.904,1.338,0.663,0.303,12.813,7.039,8.845,9.754,15.909,14.435,10.037,5.491,5.246,1.855,0.885,0.43,45230,12.481,9.728,11.806,13.697,18.505,11.033,7.373,2.863,2.686,0.884,0.464,0.188
46001,Brandon--Souris,7.391,6.678,8.616,8.999,15.44,15.195,10.906,7.414,8.639,3.868,1.67,1.807,6.846,4.58,5.902,6.484,13.708,14.778,12.669,9.71,11.253,4.863,2.707,3.053,33515,7.892,8.683,11.204,11.383,17.082,15.605,9.235,5.236,6.161,2.939,0.671,0.612
46002,Charleswood--St. James--Assiniboia--Headingley,7.826,6.117,7.419,7.101,12.782,13.3,11.095,8.78,11.872,4.852,2.33,2.567,7.281,4.236,5.936,4.931,10.465,11.578,11.439,10.991,15.52,6.523,3.385,3.926,35250,8.326,7.844,8.794,9.092,14.908,14.879,10.78,6.752,8.539,3.319,1.362,1.319
46003,Churchill--Keewatinook Aski,24.613,9.781,8.555,7.781,10.059,8.051,5.782,3.938,6.355,3.756,2.321,1.287,28.128,6.418,6.436,6.333,8.117,7.517,5.577,4.222,7.826,5.303,3.638,1.991,28375,20.987,13.233,10.731,9.269,12.053,8.617,6.009,3.665,4.846,2.15,0.969,0.581
46004,Dauphin--Swan River--Neepawa,11.705,7.365,11.437,11.512,15.777,12.366,8.97,5.47,6.629,2.601,0.966,1.018,13.115,5.862,9.122,9.047,14.401,12.487,10.034,7.313,8.09,3.559,1.451,1.555,33840,10.298,8.865,13.726,13.948,17.125,12.249,7.92,3.635,5.186,1.655,0.502,0.488
46005,Elmwood--Transcona,8.323,6.575,7.776,8.207,16.257,15.034,12.034,7.977,8.344,2.884,0.942,0.705,8.126,4.492,5.748,6.117,13.46,14.761,14.48,10.136,11.362,4.137,1.345,1.212,35675,8.535,8.549,9.699,10.189,18.893,15.291,9.699,5.929,5.48,1.696,0.561,0.224
46006,Kildonan--St. Paul,7.898,6.482,7.513,7.846,14.091,13.446,10.939,8.069,10.464,4.294,2.047,2.232,8.065,4.974,4.864,5.492,11.863,13.181,11,10.278,13.228,5.978,3.107,3.672,35550,7.764,7.834,9.887,9.958,16.104,13.685,10.9,6.104,7.989,2.785,1.097,0.942
46007,Portage--Lisgar,9.214,7.218,9.375,10.109,14.62,14.719,10.315,6.232,7.983,3.074,1.384,1.063,8.184,5.012,7.024,7.472,12.809,16.166,12.856,8.756,10.52,3.945,1.965,1.702,33070,10.221,9.374,11.672,12.685,16.405,13.305,7.832,3.765,5.503,2.223,0.816,0.438
46008,Provencher,9.965,7.064,8.688,8.507,13.969,13.063,10.811,7.585,8.862,3.71,1.602,1.322,8.841,4.077,5.839,6.511,11.962,13.665,12.993,9.991,11.932,5.257,2.584,2.21,32705,11.13,10.105,11.588,10.534,16.007,12.445,8.592,5.122,5.702,2.125,0.566,0.413
46009,Saint Boniface--Saint Vital,8.051,6.725,7.811,8.481,13.508,12.692,11.06,8.27,10.302,4.845,2.266,2.244,7.994,5.486,6.033,5.881,11.033,12.553,11.55,10.152,12.386,6.246,3.237,3.602,35725,8.104,7.866,9.447,10.861,15.787,12.806,10.595,6.536,8.383,3.541,1.386,0.994
