Geo_Code,FED_Name,NoDiplomaPct,HighSchoolDiplomaOrEquivalentPct,PostsecondaryCertificateDiplomaOrDegreePct,ApprenticeshipOrTradesCertificateOrDiplomaPct,CollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,UniversityCertificateOrDiplomaBelowBachelorLevelPct,UniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,BachelorDegreePct,UniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct,MaleNoDiplomaPct,MaleHighSchoolDiplomaOrEquivalentPct,MalePostsecondaryCertificateDiplomaOrDegreePct,MaleApprenticeshipOrTradesCertificateOrDiplomaPct,MaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,MaleUniversityCertificateOrDiplomaBelowBachelorLevelPct,MaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,MaleBachelorDegreePct,MaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct,FemaleNoDiplomaPct,FemaleHighSchoolDiplomaOrEquivalentPct,FemalePostsecondaryCertificateDiplomaOrDegreePct,FemaleApprenticeshipOrTradesCertificateOrDiplomaPct,FemaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,FemaleUniversityCertificateOrDiplomaBelowBachelorLevelPct,FemaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,FemaleBachelorDegreePct,FemaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct
35055,Markham--Thornhill,20.753,26.915,52.319,4.395,13.301,6.313,28.305,18.364,9.941,19.367,27.071,53.551,5.554,12.206,6.239,29.564,18.587,10.977,22.096,26.765,51.116,3.273,14.361,6.397,27.097,18.149,8.948
35056,Markham--Unionville,14.905,23.096,62.011,3.559,13.492,7.429,37.52,25.054,12.471,13.89,21.841,64.268,4.159,12.707,7.573,39.817,25.439,14.39,15.842,24.243,59.903,3.015,14.216,7.306,35.388,24.695,10.693
35057,Milton,12.785,24.084,63.131,6.133,23.977,4.48,28.541,18.583,9.958,13.58,23.859,62.576,8.363,22.567,4.501,27.13,16.96,10.17,12.039,24.303,63.673,3.998,25.332,4.446,29.897,20.14,9.757
35058,Mississauga Centre,14.074,23.668,62.263,5.307,15.501,7.456,33.999,21.07,12.919,13.471,23.433,63.086,6.746,14.73,7.225,34.385,20.425,13.97,14.641,23.879,61.49,3.944,16.236,7.673,33.627,21.677,11.95
35059,Mississauga East--Cooksville,17.834,27.574,54.597,6.819,17.462,5.882,24.435,14.754,9.681,16.99,27.443,55.577,8.825,16.464,5.485,24.814,14.392,10.412,18.616,27.705,53.679,4.96,18.387,6.24,24.102,15.099,9.002
35060,Mississauga--Erin Mills,12.194,22.969,64.836,4.392,17.67,7.333,35.447,21.251,14.19,12.626,22.541,64.822,5.721,16.123,7.082,35.919,20.759,15.16,11.791,23.366,64.842,3.154,19.109,7.565,35.003,21.717,13.286
35061,Mississauga--Lakeshore,14.466,26.472,59.067,5.837,18.582,5.338,29.314,17.915,11.4,14.226,25.768,60.006,8.198,16.375,5.588,29.856,17.717,12.14,14.693,27.138,58.169,3.597,20.658,5.112,28.792,18.102,10.7
35062,Mississauga--Malton,18.936,25.872,55.192,5.332,16.297,6.732,26.831,16.27,10.561,18.156,25.711,56.144,6.96,15.376,6.574,27.223,16.049,11.185,19.672,26.039,54.289,3.779,17.177,6.894,26.45,16.472,9.978
35063,Mississauga--Streetsville,13.689,25.752,60.559,5.636,19.739,6.349,28.83,17.946,10.884,13.875,25.167,60.947,7.513,18.525,6.146,28.751,17.147,11.604,13.503,26.301,60.196,3.854,20.883,6.542,28.907,18.706,10.201
35064,Nepean,11.467,22.935,65.604,5.06,21.716,4.389,34.439,21.795,12.644,11.906,22.221,65.885,6.141,19.877,3.973,35.894,21.745,14.15,11.053,23.614,65.345,4.025,23.46,4.785,33.064,21.857,11.207
