Geo_Code,FED_Name,TotIncome2010Pop15YearsAndOver,Under5000,5000To9999,10000To14999,15000To19999,20000To29999,30000To39999,40000To49999,50000To59999,60000To79999,80000To99999,100000To124999,125000AndOver,MaleTotIncome2010Pop15YearsAndOver,MaleUnder5000,Male5000To9999,Male10000To14999,Male15000To19999,Male20000To29999,Male30000To39999,Male40000To49999,Male50000To59999,Male60000To79999 ,Male80000To99999,Male100000To124999,Male125000AndOver,FemaleTotIncome2010Pop15YearsAndOver,FemaleUnder5000,Female5000To9999,Female10000To14999,Female15000To19999,Female20000To29999,Female30000To39999,Female40000To49999,Female50000To59999,Female60000To79999,Female80000To99999,Female100000To124999,Female125000AndOver
12005,Halifax,79065,8495,6770,6990,6835,10740,8795,7135,5115,7580,3440,1745,2520,37765,4530,2740,2810,2810,4640,3705,3485,2800,4265,1980,1040,1780,41300,3960,4030,4185,4025,6100,5090,3650,2320,3315,1455,705,745
12006,Halifax West,71890,5625,5140,5500,5665,8625,9075,6920,5300,8610,4030,2040,2270,33895,2700,1895,1725,2215,3570,3760,3240,2655,4810,2515,1565,1810,37990,2930,3255,3780,3445,5055,5315,3680,2645,3805,1515,475,460
12007,Kings--Hants,68735,6025,6355,5945,6870,10000,9020,6750,4805,5670,2095,970,715,33240,2580,1940,2170,2670,4515,4115,4085,3050,3845,1515,675,560,35490,3445,4415,3770,4200,5485,4905,2665,1760,1825,580,295,150
12008,Sackville--Preston--Chezzetcook,69480,5970,5130,5355,4590,8485,8850,7410,5815,7810,3850,1485,1280,33955,2755,1665,1510,1850,3375,3945,3900,3330,5125,2690,1140,1105,35525,3220,3465,3840,2745,5115,4905,3505,2485,2685,1160,350,175
12009,South Shore--St. Margarets,78550,7015,6795,7525,8925,11690,9955,7255,5145,6065,2355,1140,980,38505,2865,2010,2640,3690,5480,5260,4470,3415,3930,1745,840,780,40040,4150,4785,4885,5235,6205,4690,2790,1725,2130,605,295,195
12010,Sydney--Victoria,60750,4955,6575,6240,6535,10990,7560,4660,3465,4085,1445,525,495,28535,2525,2485,2050,2765,5025,3635,2550,2065,2305,885,395,405,32215,2430,4090,4190,3770,5965,3925,2110,1405,1785,560,130,90
12011,West Nova,69570,5975,6570,7270,8710,11570,9100,5920,3695,4720,1400,660,500,33390,2550,2085,2560,3380,5320,5070,3665,2415,2990,955,505,440,36180,3425,4485,4710,5335,6250,4035,2260,1285,1730,445,155,65
13001,Acadie--Bathurst,67970,5340,6775,7415,9055,12560,8260,5475,3135,4225,1550,855,510,33510,2400,2495,2590,3415,6120,4970,3435,1960,2545,1200,760,450,34455,2940,4280,4825,5640,6440,3290,2035,1175,1680,345,100,55
13002,Beausejour,66495,4410,5245,5415,7065,11465,9935,7440,4440,5125,1950,895,830,32855,1985,1780,1725,2870,5635,5345,4480,2885,2680,1245,655,665,33640,2430,3460,3695,4190,5830,4590,2965,1550,2445,710,240,165
13003,Fredericton,66900,6090,5220,5300,5805,8995,8055,6760,5420,7055,2670,1475,1420,32280,2780,1815,1955,2145,3575,3675,3495,3290,4415,1765,1055,1170,34615,3315,3400,3350,3660,5415,4385,3265,2130,2645,900,420,250
13004,Fundy Royal,64535,5405,4990,5295,5795,8930,8250,6735,4435,5795,2745,1525,1260,31670,2240,1520,1685,2190,3715,4190,3950,2875,3505,2105,1210,1040,32860,3170,3475,3615,3605,5220,4065,2785,1560,2285,645,315,220
13005,Madawaska--Restigouche,52520,3800,5645,5095,6605,9005,7890,4785,2595,3435,940,285,435,25495,1750,1985,1840,2600,4075,4590,2980,1560,2120,695,220,340,27020,2050,3660,3250,4010,4930,3300,1805,1040,1310,240,60,95
13006,Miramichi--Grand Lake,50130,4270,4470,5310,6310,9195,6515,4835,2555,2665,705,410,395,24380,1935,1445,1745,2535,4270,3700,3250,1820,1555,420,370,370,25745,2330,3025,3570,3775,4930,2810,1580,730,1110,285,45,30
13007,Moncton--Riverview--Dieppe,74750,5690,5905,6415,7350,12975,11035,6865,4795,6360,2580,1235,1175,35385,2575,2225,2370,2685,5635,5445,3755,2840,3395,1685,835,880,39365,3120,3680,4045,4665,7340,5595,3110,1955,2965,900,400,295
13008,New Brunswick Southwest,54630,4675,4420,4940,5590,8580,6645,5575,3970,4285,1900,865,730,26745,2280,1390,1605,2155,3605,3420,3310,2590,2680,1330,725,655,27885,2395,3030,3335,3435,4975,3230,2265,1380,1605,575,140,75
13009,Saint John--Rothesay,67275,5555,5410,6300,7210,10560,8060,5880,4220,5755,2445,1190,1405,31555,2485,1975,2445,2370,4325,3725,3125,2495,3375,1775,1030,1020,35720,3065,3435,3850,4845,6240,4330,2750,1725,2380,665,165,385
13010,Tobique--Mactaquac,57245,5370,5190,5290,6790,9210,7925,4975,3570,3535,1240,680,605,27985,2460,1625,1960,2640,4330,4245,3230,2260,2105,930,520,470,29260,2915,3565,3335,4150,4875,3680,1745,1315,1430,310,160,135
24001,Abitibi--Baie-James--Nunavik--Eeyou,64695,5420,5295,6315,6020,9060,7780,6175,4780,5550,2610,1635,925,32695,2960,1995,2640,2525,3950,3515,3405,2905,3640,1865,1290,685,32000,2460,3300,3670,3495,5115,4265,2770,1875,1915,750,345,240
24002,Abitibi--Temiscamingue,83335,6365,6065,8245,8865,11770,11530,8740,5735,6700,2850,1725,1105,41880,2810,2255,2795,3655,5355,6170,4885,3515,4310,2210,1495,915,41455,3555,3810,5445,5210,6415,5365,3850,2215,2380,635,230,195
24003,Ahuntsic-Cartierville,89020,8040,8000,10085,9285,12845,10325,7205,5190,6560,3230,1765,2020,43035,4455,3595,4180,3825,6055,4870,3390,2660,3455,1830,1205,1430,45985,3590,4400,5905,5460,6790,5450,3810,2525,3110,1405,565,590
24004,Alfred-Pellan,78815,6550,5640,6570,6505,10695,10875,8380,5880,7195,2770,1545,1825,37940,3550,2105,2295,2470,4830,5060,4145,3155,4140,1805,1135,1370,40875,2995,3535,4280,4035,5865,5810,4235,2725,3060,965,410,455
24005,Argenteuil--La Petite-Nation,78270,5415,5870,8835,8935,11985,10610,7895,5615,5770,2090,905,760,39105,2475,2305,3630,4090,5625,5235,4575,3370,3630,1425,685,600,39165,2945,3565,5210,4845,6360,5370,3320,2250,2135,665,220,160
24006,Avignon--La Mitis--Matane--Matapedia,61920,4580,5220,7480,8910,10890,8790,5325,3175,3205,1050,335,330,30745,2070,1975,2875,3920,5340,4825,3230,2135,2090,740,250,250,31175,2510,3245,4610,4995,5550,3960,2095,1040,1110,310,85,80
24007,Beauce,86010,5970,6045,9170,10100,14795,14245,9505,5440,4780,1255,545,840,43460,2775,2020,3490,3985,7110,7760,6210,3475,3270,935,400,670,42550,3200,4020,5680,6110,7685,6485,3295,1965,1505,320,150,170
24008,Beauport--Limoilou,78375,5115,5830,9155,9015,13660,12175,8100,5340,5250,1445,680,485,37465,2505,2340,3510,3465,6295,6025,4115,3080,3235,965,580,420,40910,2610,3485,5645,5550,7365,6145,3985,2260,2010,480,95,60
24009,Becancour--Nicolet--Saurel,78520,6225,6280,9355,9175,12285,10775,7340,4500,5400,2125,930,835,39065,2590,2025,3395,3810,6190,5980,4470,2640,3680,1740,780,675,39450,3630,4260,5960,5365,6090,4790,2870,1860,1725,380,150,160
24010,Bellechasse--Les Etchemins--Levis,92100,5680,6110,9080,9370,14490,14870,11315,6910,7085,2125,1115,1190,45415,2700,2055,3190,4040,6645,7630,6415,4045,4270,1495,885,940,46690,2980,4055,5890,5335,7850,7240,4900,2865,2815,630,225,255
24011,Beloeil--Chambly,87115,5790,5580,7020,6605,11105,10865,10475,7890,9580,4160,2310,2105,42795,2695,1850,2405,2505,4930,4820,5120,4400,6090,2850,1725,1750,44325,3095,3730,4620,4110,6175,6045,5350,3485,3490,1305,590,360
24012,Berthier--Maskinonge,82000,5865,6800,9175,10070,13255,12030,8355,4945,4940,1615,635,525,41345,2880,2400,3215,4570,6095,6895,5115,3195,3415,1235,595,445,40655,2985,4405,5960,5495,7165,5130,3240,1750,1530,380,35,85
24013,Therese-De Blainville,77700,6160,5025,6410,5965,9290,9140,8175,6385,8090,3820,2170,2995,37955,3000,1640,2470,2220,3895,4105,4120,3375,4820,2665,1555,2305,39750,3165,3390,3940,3740,5390,5030,4060,3015,3275,1150,615,685
24014,Pierre-Boucher--Les Patriotes--Vercheres,77410,5095,4650,5825,5070,8980,9105,8800,6920,9065,4755,2780,3000,38300,2425,1510,2120,1880,3795,4075,4320,3900,5430,3325,1995,2185,39115,2675,3145,3710,3190,5190,5030,4485,3015,3640,1430,780,815
24015,Bourassa,79680,7750,8180,10280,10420,13335,10690,5790,3705,3125,1085,430,295,37135,4035,3240,3955,4125,6055,5485,2965,2090,1790,725,305,235,42545,3715,4930,6325,6295,7275,5205,2825,1610,1335,360,125,55
24016,Brome--Missisquoi,82240,5525,6365,8855,9250,13920,11730,8340,5050,5480,2125,1115,1660,40795,2615,2270,3415,3975,6415,5970,4790,3220,3460,1515,835,1310,41445,2910,4095,5445,5275,7505,5755,3555,1835,2025,610,280,350
24017,Brossard--Saint-Lambert,84020,7535,5645,7720,6420,10295,9625,8075,6130,8000,4100,2700,3890,39965,3615,2150,3025,2595,4375,4230,3785,3125,4165,2445,1865,2915,44055,3925,3505,4695,3825,5920,5395,4285,3000,3835,1655,835,980
24018,Rimouski-Neigette--Temiscouata--Les Basques,70010,4825,5280,7685,8550,11960,10095,7225,4425,4720,1450,645,615,34305,2205,2010,2935,3980,5580,5300,3895,2625,2760,1055,515,490,35705,2620,3265,4755,4580,6380,4795,3335,1795,1960,395,125,130
24019,Charlesbourg--Haute-Saint-Charles,85500,5100,5505,7085,7370,12530,14010,11320,6985,8090,2695,1045,940,41210,2390,1765,2740,2720,5215,6605,5670,4110,5280,1945,815,780,44285,2715,3740,4345,4650,7310,7405,5655,2875,2810,750,230,165
24020,Beauport--Cote-de-Beaupre--ile d'Orleans--Charlevoix,76125,4825,5150,7050,7865,11820,11590,9075,5755,6540,1890,1115,940,37835,2285,1840,2575,3285,5425,6215,4780,3455,4130,1405,880,785,38290,2545,3315,4475,4580,6400,5375,4295,2295,2415,480,235,150
24021,Chateauguay--Lacolle,74705,5845,4770,7005,7155,10850,10815,8540,5920,6440,2055,895,655,36740,3010,1670,2490,2750,4945,5270,4490,3520,4350,1505,655,510,37965,2845,3100,4510,4410,5905,5545,4050,2405,2090,550,245,150
24022,Chicoutimi--Le Fjord,68490,5540,5380,7500,7485,9425,9300,6385,4690,5305,2115,1385,1200,33700,2380,1865,2390,2535,4185,5070,3860,3120,3540,1740,1150,1020,34795,3170,3510,5105,4945,5245,4230,2525,1570,1760,375,235,180
24023,Compton--Stanstead,81475,5565,5745,7605,8175,12845,12600,9550,5685,6090,2190,865,1020,40945,2830,2085,2795,3900,5830,6405,5295,3460,3835,1530,660,830,40535,2735,3660,4805,4280,7015,6195,4250,2220,2260,660,205,190
24024,Dorval--Lachine--LaSalle,87560,8175,7505,8900,9230,13565,11505,8040,5085,5815,2335,1180,1390,41640,4395,3055,3560,3710,6155,5485,3745,2635,3385,1530,815,1010,45925,3780,4445,5340,5515,7410,6025,4290,2450,2430,810,365,380
24025,Drummond,79445,5750,6720,8850,9375,12995,12110,8240,4920,4595,1350,560,625,39515,2810,2455,3275,3740,6090,6600,4815,3410,3085,1035,415,470,39935,2940,4265,5570,5635,6905,5510,3425,1515,1510,315,145,155
24026,Gaspesie--Les iles-de-la-Madeleine,67555,4415,5285,8970,9205,12640,9815,6040,3300,3515,985,390,375,33010,1970,2020,3475,4115,6280,5540,3380,1815,2210,630,295,245,34545,2445,3265,5495,5090,6360,4275,2660,1490,1310,355,95,135
24027,Gatineau,87355,6330,5500,7535,7115,10415,10360,10030,8770,9970,3960,1785,1285,41865,2995,2120,2925,2895,4350,5320,5155,4050,5500,2420,1265,965,45490,3335,3380,4605,4220,6060,5035,4870,4720,4470,1545,525,320
24028,Hochelaga,87845,7320,8290,11070,9630,13815,11610,8495,5255,5200,1860,910,870,43095,3800,4050,4670,4040,6415,5910,4380,2935,3080,1055,555,595,44750,3520,4240,6405,5590,7400,5705,4115,2315,2115,805,360,275
24029,Honore-Mercier,84425,6970,5990,9065,9055,12915,11510,8450,5575,5920,2210,1190,1015,39310,3645,2130,3300,3380,5870,5560,4270,2950,3180,1345,890,745,45115,3320,3860,5770,5670,7045,5950,4180,2625,2740,865,300,270
24030,Hull--Aylmer,84715,6580,5955,7335,7125,9400,8820,8015,8065,9655,5255,2790,1965,40600,3565,2525,2975,2950,4470,4035,3735,3865,4775,2930,1760,1420,44125,3010,3430,4360,4180,4925,4780,4280,4195,4880,2320,1030,545
24031,Joliette,83910,5340,7165,9780,10805,13725,11995,7935,4615,5670,1910,700,810,41255,2590,2690,3570,4425,6620,6375,4545,2915,3765,1440,560,605,42655,2755,4480,6210,6380,7100,5620,3390,1700,1905,470,145,210
24032,Jonquiere,72585,5445,5870,6910,7250,10070,9945,7205,5165,5280,3350,1255,860,36285,2195,1870,2350,2520,4430,5435,4450,3400,3555,2900,1130,725,36300,3250,3995,4560,4730,5635,4510,2750,1760,1725,450,130,135
24033,La Pointe-de-l'ile,86040,6425,7270,8335,8195,13450,12555,9140,6000,6460,2460,1140,700,40965,3240,2995,3235,2885,6015,6200,4545,3445,3885,1625,720,555,45070,3185,4270,5095,5310,7440,6350,4595,2560,2580,830,415,145
24034,La Prairie,79175,5725,4850,5670,5635,8620,9755,9030,7295,9805,4350,2240,2135,39090,2690,1665,2125,2045,3595,4430,4175,3995,6015,3055,1620,1645,40080,3035,3180,3545,3595,5020,5325,4850,3300,3785,1300,620,485
24035,Lac-Saint-Jean,86270,6655,6815,9500,9825,13350,12530,8500,5860,5880,2370,865,595,43390,2725,2200,3425,3935,6255,7210,5240,3925,4080,1970,745,480,42875,3930,4610,6075,5885,7095,5320,3260,1935,1800,400,120,120
24036,Lac-Saint-Louis,87180,9070,5845,7250,6425,9240,8815,7475,5710,8210,4650,3460,5875,41885,4150,2270,2915,2595,3745,3765,3205,2740,4435,2815,2440,4595,45300,4915,3575,4335,3830,5495,5050,4265,2965,3770,1835,1020,1285
24037,LaSalle--emard--Verdun,88890,7840,8230,9930,10025,13730,11585,8425,5275,6075,2195,925,730,42220,4265,3475,3880,4070,6340,5640,4160,2630,3570,1350,585,470,46670,3580,4755,6050,5960,7390,5940,4270,2640,2505,845,340,260
24038,Laurentides--Labelle,94535,6725,7485,9835,12200,16040,13025,9070,5590,5850,2300,1165,1540,46880,3150,2960,3535,5845,7765,6685,5180,3245,3555,1655,860,1125,47650,3570,4525,6295,6360,8275,6340,3890,2340,2290,645,300,415
24039,Laurier--Sainte-Marie,94010,10060,8045,10655,9605,12925,10055,8880,5990,7335,3365,1905,2310,50590,5850,4335,5265,4725,6590,5325,4775,3225,4190,2210,1240,1665,43420,4215,3710,5390,4880,6340,4725,4105,2765,3150,1155,665,645
24040,Laval--Les iles,82015,6695,5790,8370,7775,10980,10575,7950,5810,7095,3310,1675,1805,39940,3255,2150,3035,3420,5325,4855,3810,3385,4090,2275,1210,1365,42075,3440,3640,5330,4360,5655,5715,4140,2425,3005,1040,470,440
24041,Longueuil--Charles-LeMoyne,88300,7485,7665,9165,9565,13660,13115,8920,5855,5225,2045,770,585,43135,3885,2905,3650,3745,6185,6930,4595,3495,3535,1330,555,465,45165,3600,4765,5515,5820,7475,6185,4330,2360,1685,715,215,115
24042,Levis--Lotbiniere,85465,5360,5505,6595,6895,10725,13250,11205,7875,8820,3145,1690,1425,42990,2675,2075,2370,2700,4835,6210,5960,4645,5730,2220,1280,1165,42470,2685,3425,4225,4195,5895,7040,5245,3230,3095,920,415,255
24043,Longueuil--Saint-Hubert,86895,6290,6255,8755,7655,12455,11480,8990,6345,7590,3505,1810,1870,41490,3150,2575,2990,2785,5475,5665,4495,3345,4420,2190,1300,1455,45405,3135,3685,5760,4875,6985,5810,4490,2995,3165,1315,505,410
24044,Louis-Hebert,88910,6255,6585,8070,7480,10210,10265,9565,7350,9315,4715,2670,3655,41995,2860,2645,3025,3085,4145,4445,4445,3505,5160,2955,1775,2675,46915,3395,3940,5045,4395,6070,5820,5115,3845,4150,1755,900,980
24045,Louis-Saint-Laurent,88265,5850,5010,6885,6770,11170,13240,11875,8590,9635,3420,1525,1305,43065,2855,1665,2200,2545,4465,6205,5890,5030,6435,2420,1150,1070,45195,3000,3350,4690,4225,6705,7035,5985,3560,3195,995,380,240
24046,Manicouagan,77175,5800,5920,6905,7675,10330,9540,7175,4775,7295,4480,2570,1185,39080,2905,2295,2385,2715,4275,4560,3865,3015,4890,3580,2335,1020,38095,2895,3630,4520,4955,6055,4980,3310,1760,2400,900,240,165
24047,Megantic--L'erable,72935,4835,6140,8055,9825,13620,11525,7580,3735,3430,750,345,430,36620,2355,2100,3080,4050,6895,6480,4820,2545,2110,560,260,350,36315,2480,4040,4980,5775,6725,5040,2760,1190,1320,185,90,85
24048,Mirabel,80155,6310,4885,6225,6650,11045,11835,9435,7125,7655,2645,1165,980,40345,3040,1625,2215,2600,4390,5710,5480,4455,5320,1970,950,860,39805,3275,3260,4005,4050,6650,6130,3955,2670,2335,680,220,115
24049,Montarville,75475,5340,4830,5320,5010,7885,8125,8065,7015,9690,4900,2715,3085,36650,2535,1520,2030,1855,3060,3635,3665,3575,5450,3395,1920,2505,38820,2805,3305,3295,3155,4825,4495,4400,3440,4235,1505,795,580
24050,Montcalm,79310,5685,5985,7400,7745,11715,11865,9185,6095,6165,1920,810,540,40100,2795,2055,2775,2990,5345,6230,5440,3845,4500,1360,670,430,39205,2890,3935,4625,4755,6370,5630,3750,2245,1665,560,140,110
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,79710,5235,6295,8745,10260,13665,12970,8330,4755,4220,1265,470,695,39590,2295,2065,2980,4285,6670,7285,5235,3140,2695,930,380,560,40120,2935,4225,5765,5975,6990,5680,3100,1610,1530,330,90,135
24052,Mount Royal,80590,8880,6715,8775,7975,11185,8275,5285,3680,4880,2695,2140,5175,36830,4735,2650,3580,3140,4755,3625,2115,1650,2190,1320,1325,3570,43760,4145,4065,5190,4835,6430,4650,3170,2030,2690,1370,825,1600
24053,Notre-Dame-de-Grace--Westmount,86860,10290,7135,8445,7430,10090,8670,6125,4455,6920,3655,2615,6265,40535,5220,2475,3670,3070,4565,3990,2735,1845,3335,1850,1480,4185,46330,5075,4655,4775,4360,5525,4680,3390,2605,3585,1805,1135,2080
24054,Outremont,83145,10640,7425,9830,7775,10690,7995,6010,4055,5650,2990,2015,3520,39940,6155,3430,4330,3300,4775,3620,2575,1870,2720,1610,1285,2225,43205,4485,3995,5500,4470,5920,4380,3435,2190,2930,1380,730,1300
24055,Papineau,90765,8800,9920,12260,11895,14760,10700,7000,4105,4370,1360,700,450,45020,4775,4580,5300,5290,7430,5650,3435,2285,2525,780,475,315,45750,4025,5345,6965,6605,7335,5045,3565,1815,1845,580,230,135
24056,Pierrefonds--Dollard,88390,9060,5970,8385,7745,11740,10050,8045,6045,7195,3410,2310,2935,42565,4360,2245,3215,3020,5235,4625,3900,3275,3825,2340,1625,2375,45825,4695,3730,5175,4720,6500,5425,4140,2770,3365,1070,690,560
24057,Pontiac,85915,6180,5965,7260,7015,9930,9665,8750,7760,9950,4915,2510,1905,43100,3265,2240,3095,3100,4905,5020,4775,4040,5025,2760,1630,1305,42815,2915,3720,4165,3915,5025,4645,3975,3720,4930,2160,880,605
24058,Portneuf--Jacques-Cartier,83295,5585,5335,6335,7120,11530,11710,9390,7215,9055,3740,1730,1720,42255,2310,1855,2285,2875,5150,5780,5220,4505,5970,2610,1305,1370,41035,3280,3480,4045,4245,6385,5925,4175,2710,3080,1130,425,350
24059,Quebec,83470,5140,6200,9365,9160,12950,12465,8915,5760,6390,2555,1115,1365,40275,2640,2730,3805,3695,5590,6315,4465,3185,3830,1635,675,965,43195,2495,3465,5560,5475,7355,6150,4440,2580,2555,925,445,405
24060,Repentigny,91950,6575,5945,7810,7660,11770,12120,10470,8015,9940,3585,1680,1505,44560,3170,1935,2680,2920,4775,5665,5135,4500,6525,2690,1300,1240,47395,3405,4010,5130,4740,6995,6455,5335,3515,3415,890,375,260
24061,Richmond--Arthabaska,83810,5650,6855,9380,10005,14980,12630,8390,4860,5230,1635,570,740,41860,2840,2465,3355,4020,7130,6935,5020,3200,3500,1225,455,605,41950,2815,4395,6030,5985,7845,5695,3370,1655,1725,405,115,140
24062,Riviere-des-Mille-iles,83330,6455,5750,7245,7115,10945,10365,9105,6470,8335,3255,1820,2030,40440,2795,2095,2535,2830,4605,4815,4530,3630,5360,2285,1425,1585,42890,3660,3655,4705,4290,6345,5555,4575,2845,2970,970,390,450
24063,Riviere-du-Nord,83920,5845,7055,8745,9215,13450,11565,8610,5725,6480,2220,935,700,41225,2775,2520,3200,3845,6090,5715,4970,3535,4290,1630,710,585,42695,3065,4530,5545,5370,7355,5845,3645,2185,2195,590,220,120
24064,Rosemont--La Petite-Patrie,91020,7695,7765,9620,10125,13105,12090,9155,6135,6815,2970,1430,990,43970,4345,3480,4020,4405,5920,5970,4305,3125,3615,1770,905,720,47050,3345,4280,5595,5715,7190,6120,4855,3005,3200,1195,520,265
24065,Marc-Aurele-Fortin,76875,5985,4845,6670,5855,9015,9585,8855,6695,8270,3565,1790,1685,37240,3045,1520,2470,2215,4035,4570,4110,3555,4755,2495,1400,1300,39640,2945,3325,4205,3635,4980,5010,4745,3135,3515,1075,390,390
24066,Saint-Hyacinthe--Bagot,80885,4715,5585,8215,9005,13900,13845,8870,5195,5165,1515,710,750,39960,2450,1980,3090,3695,6165,7125,5185,3215,3350,1125,560,590,40925,2265,3610,5125,5310,7740,6725,3685,1980,1815,390,150,165
24067,Saint-Jean,87790,5910,6425,8175,9025,12645,12150,9835,6685,7735,2990,1225,1120,43190,2895,2455,2815,3645,5420,5840,5510,4105,5000,2135,920,840,44595,3015,3965,5360,5385,7220,6310,4325,2580,2740,855,300,280
24068,Saint-Laurent,73970,7790,6230,8635,7550,9995,8380,5345,4280,4870,2320,1470,2140,35470,4085,2645,3580,3300,4290,4045,2615,2220,2540,1445,935,1530,38500,3705,3590,5050,4250,5700,4335,2730,2065,2325,875,540,605
24069,Saint-Leonard--Saint-Michel,87950,8495,8335,10975,11730,15365,11440,6530,3745,3545,1235,610,555,41320,4585,3155,4140,4890,7115,5815,3325,2060,2075,835,425,410,46630,3905,5180,6835,6840,8250,5620,3210,1690,1470,400,180,140
24070,Saint-Maurice--Champlain,92355,6635,8070,10910,11635,14495,12830,8635,5590,5580,2150,770,630,46015,3010,2950,4015,4525,7050,7045,5230,3465,3875,1880,630,530,46345,3620,5115,6900,7110,7440,5785,3410,2125,1705,275,135,100
24071,Salaberry--Suroit,88735,7090,6265,8940,10235,13885,12695,8875,6090,6610,2235,1020,750,43675,3295,2015,3320,3975,6435,6785,5055,3720,4495,1740,835,540,45060,3800,4250,5615,6265,7450,5910,3820,2370,2115,500,185,210
24072,Shefford,87000,6155,6320,8640,9405,14610,13580,9325,5830,6135,1870,890,955,43110,3245,2250,3310,3725,6480,7115,5230,3640,3945,1395,645,820,43895,2905,4070,5335,5680,8135,6465,4090,2185,2195,475,245,135
24073,Sherbrooke,89485,6930,7855,11030,10630,14770,11505,8470,5330,5375,1970,980,1045,42615,3615,3300,4320,4340,6615,5235,4575,3155,3015,1275,725,725,46870,3320,4560,6705,6290,8155,6270,3900,2170,2360,695,255,320
