Geo_Code,FED_Name,TotBuddhistPct,TotChristianPct,TotAnglicanPct,TotBaptistPct,TotCatholicPct,TotChristianOrthodoxPct,TotLutheranPct,TotPentecostalPct,TotPresbyterianPct,TotUnitedChurchPct,TotOtherChristianPct,TotHinduPct,TotJewishPct,TotMuslimPct,TotSikhPct,TotAboriginalPct,TotOtherPct,TotNoReligiousAffiliationPct,MaleBuddhistPct,MaleChristianPct,MaleAnglicanPct,MaleBaptistPct,MaleCatholicPct,MaleChristianOrthodoxPct,MaleLutheranPct,MalePentecostalPct,MalePresbyterianPct,MaleUnitedChurchPct,MaleOtherChristianPct,MaleHinduPct,MaleJewishPct,MaleMuslimPct,MaleSikhPct,MaleAboriginalPct,MaleOtherPct,MaleNoReligiousAffiliationPct,FemaleBuddhistPct,FemaleChristianPct,FemaleAnglicanPct,FemaleBaptistPct,FemaleCatholicPct,FemaleChristianOrthodoxPct,FemaleLutheranPct,FemalePentecostalPct,FemalePresbyterianPct,FemaleUnitedChurchPct,FemaleOtherChristianPct,FemaleHinduPct,FemaleJewishPct,FemaleMuslimPct,FemaleSikhPct,FemaleAboriginalPct,FemaleOtherPct,FemaleNoReligiousAffiliationPct
35096,Scarborough North,6.4637,37.3347,2.1163,1.8867,18.3629,1.4425,0.2446,1.8218,0.9483,1.2728,9.2438,14.5445,0.0649,7.3322,0.6838,0,0.2546,33.3317,5.855,36.191,1.996,1.729,17.751,1.482,0.237,1.646,0.885,1.194,9.282,14.612,0.082,7.44,0.751,0,0.34,34.729,7.0459,38.4086,2.2291,2.0353,18.9378,1.3956,0.2423,1.9965,1.0079,1.3472,9.2072,14.4699,0.0485,7.2204,0.6106,0,0.1745,32.012
35097,Scarborough--Rouge Park,0.9596,55.4391,4.6118,1.9485,27.1272,2.2961,0.7931,3.4025,1.9828,2.4283,10.844,18.6282,0.0734,9.3949,1.2729,0,0.3427,13.8843,0.901,52.932,4.345,1.783,26.162,2.451,0.699,3.008,2.026,2.046,10.402,19.163,0.091,9.723,1.337,0,0.273,15.588,1.0234,57.775,4.8707,2.1037,28.0299,2.151,0.8907,3.762,1.9331,2.7765,11.2575,18.1181,0.0569,9.078,1.2129,0,0.4169,12.2903
35098,Scarborough Southwest,1.5344,55.9369,5.1864,1.4818,26.5727,4.2304,0.7457,1.5296,1.5822,3.6185,10.9847,7.2849,0.2964,12.2467,0.2103,0,0.5449,21.9264,1.509,53.151,5.112,1.38,25.261,4.357,0.625,1.112,1.469,3.186,10.67,7.583,0.328,12.893,0.238,0,0.457,23.821,1.5583,58.5247,5.2651,1.5768,27.7916,4.1033,0.8668,1.9272,1.6874,4.0203,11.2771,7.0078,0.2674,11.6551,0.1752,0,0.6178,20.166
35099,Simcoe--Grey,0.2324,71.5676,9.818,2.3328,25.6216,0.4648,1.4427,1.4383,7.1519,14.5582,8.7305,0.1096,0.2236,0.1052,0.0219,0.0132,0.3201,27.4019,0.276,68.684,9.282,2.082,25.167,0.481,1.255,1.29,6.505,14.016,8.605,0.089,0.231,0.089,0,0,0.267,30.355,0.1902,74.3603,10.3302,2.5847,26.0719,0.4582,1.6165,1.5906,7.7801,15.0847,8.8607,0.147,0.2248,0.1297,0,0,0.3717,24.5418
35100,Simcoe North,0.0567,71.5958,10.0142,2.9226,29.3532,0.5713,1.2276,1.0576,5.1511,12.2616,9.0368,0.0803,0.3116,0.2361,0.1889,0.2975,0.3447,26.8839,0.058,68.836,9.083,2.546,29.438,0.579,1.138,1.003,4.773,11.551,8.726,0.077,0.289,0.26,0.241,0.328,0.251,29.669,0.0648,74.2437,10.9168,3.2843,29.2719,0.5551,1.3137,1.1194,5.5139,12.9337,9.3348,0.0833,0.3331,0.2128,0.148,0.2775,0.4256,24.2021
35101,Spadina--Fort York,3.6358,45.6229,3.7711,0.8428,25.0815,2.7192,0.5721,0.5475,1.3473,2.633,8.1021,2.387,2.3624,5.1246,0.4614,0,0.6275,39.7355,2.925,42.73,3.37,0.765,23.871,2.518,0.592,0.506,1.259,2.185,7.677,2.456,2.283,5.567,0.432,0,0.568,42.915,4.342,48.4852,4.1702,0.9199,26.2971,2.9192,0.5519,0.5765,1.4351,3.0664,8.5122,2.3059,2.4408,4.6977,0.4906,0,0.6746,36.5755
35102,Stormont--Dundas--South Glengarry,0.1874,84.0122,5.9524,1.0638,51.1297,0.3749,1.4792,1.3273,4.4022,11.1297,7.1581,0.7092,0.1469,1.2411,0,0.0963,0.3343,13.2776,0.187,82.332,5.955,0.934,50.773,0.488,1.318,1.473,4.451,9.98,6.951,0.747,0.207,1.297,0,0.093,0.29,14.846,0.198,85.6054,5.94,1.188,51.4801,0.2574,1.6236,1.188,4.3659,12.2265,7.3557,0.6732,0.0891,1.1781,0,0.099,0.3762,11.7909
35103,Sudbury,0.2055,77.4661,4.4601,1.4441,54.088,0.7554,2.1273,1.383,1.1609,6.3153,5.7321,0.2999,0.1055,0.5054,0.0611,0.3166,0.3721,20.6732,0.277,74.256,4.348,1.43,52.341,0.888,2.111,1.28,1.2,5.975,4.683,0.358,0.15,0.611,0.069,0.427,0.369,23.483,0.1393,80.4564,4.5644,1.4572,55.727,0.6429,2.1322,1.4679,1.125,6.6324,6.7074,0.2464,0.0643,0.3964,0.0536,0.2036,0.375,18.0649
35104,Thornhill,2.0332,37.4635,1.6229,0.7932,18.8138,6.2454,0.4923,0.4285,2.0104,1.4542,5.6027,3.4099,37.1171,4.2533,0.5379,0.0228,0.4695,14.6882,1.912,35.823,1.526,0.735,18.35,6.076,0.424,0.358,1.95,1.281,5.115,3.721,37.491,4.116,0.565,0.019,0.528,15.816,2.1378,38.9929,1.7138,0.8481,19.2491,6.3958,0.5477,0.4859,2.0583,1.6343,6.0601,3.1184,36.7668,4.3905,0.5124,0.0177,0.4152,13.6396
35105,Thunder Bay--Rainy River,0.1653,70.7795,6.9316,2.4493,32.9067,0.9675,4.966,0.6123,2.78,10.379,8.787,0.049,0.0551,0.1408,0,1.2859,0.3613,27.1569,0.124,67.563,7.005,2.339,31.815,1.058,4.43,0.622,2.613,9.046,8.623,0.062,0,0.149,0,1.157,0.311,30.546,0.1929,73.8879,6.8596,2.5558,33.9723,0.88,5.4973,0.5907,2.9415,11.6576,8.9451,0.0482,0,0.1326,0,1.4225,0.4099,23.8577
35106,Thunder Bay--Superior North,0.1293,72.4144,7.5228,1.262,38.1187,0.5171,6.9379,1.1635,1.7914,8.1445,6.9503,0.1108,0.1539,0.4248,0.0739,0.3632,0.3386,25.9911,0.087,69.492,6.988,1.154,37.408,0.583,6.38,0.968,1.626,7.509,6.888,0.112,0.174,0.472,0.074,0.36,0.335,28.869,0.171,75.2871,8.0625,1.3804,38.8102,0.452,7.5006,1.3438,1.9546,8.7711,7.012,0.0977,0.1344,0.3787,0.0611,0.3543,0.342,23.1615
35107,Timmins--James Bay,0.0748,79.4217,6.9425,1.4583,54.0509,0.1122,1.0158,2.2249,1.3524,6.3193,5.9703,0.0748,0.1558,0.1807,0,0.5547,0.1932,19.3506,0.062,77.387,6.785,1.271,53.232,0.148,0.913,2.208,1.345,5.601,5.897,0.062,0.173,0.173,0,0.481,0.197,21.429,0.0756,81.4987,7.1033,1.6499,54.8866,0.0756,1.1083,2.2166,1.3854,7.0403,6.0579,0.0756,0.1259,0.1889,0,0.6171,0.1763,17.2292
35108,Toronto Centre,2.7218,45.0239,4.1523,1.0909,23.4888,2.5437,0.462,0.8906,1.18,2.3934,8.8055,4.9427,1.8479,9.0393,0.4564,0.039,0.9295,35.005,2.281,42.321,4.005,1.02,22.012,2.323,0.494,0.694,1.198,2.512,8.073,4.762,1.808,8.904,0.42,0,0.894,38.6,3.2292,48.0601,4.3293,1.171,25.1479,2.8152,0.4377,1.1119,1.1592,2.2475,9.6404,5.1455,1.8926,9.1909,0.485,0,0.97,30.9439
35109,Toronto--Danforth,4.6231,48.6575,4.6915,0.8006,18.9758,9.8906,0.7372,0.7909,1.3962,3.5149,7.85,1.0398,1.8746,4.3986,0.122,0.1465,0.7811,38.3568,4.349,46.158,4.329,0.776,17.526,10.291,0.756,0.816,1.244,3.185,7.225,1.125,1.811,4.837,0.179,0.149,0.657,40.725,4.8773,51.054,5.0594,0.8241,20.3622,9.496,0.7187,0.7666,1.5427,3.8329,8.4515,0.9391,1.9356,3.9766,0.0671,0.1437,0.8911,36.0866
35110,University--Rosedale,2.443,44.2077,6.0678,0.5511,22.6815,2.39,0.6995,0.2703,1.5739,3.54,6.4229,1.2136,7.1383,3.3651,0.1166,0.0424,0.8002,40.6836,2.295,41.794,6.174,0.579,21.252,2.153,0.59,0.186,1.563,3.103,6.184,1.224,6.895,3.267,0.098,0,0.721,43.684,2.5828,46.4705,5.958,0.5351,24.0276,2.6137,0.8026,0.3499,1.5847,3.9514,6.6372,1.2142,7.3781,3.4472,0.1338,0,0.8747,37.8473
35111,Vaughan--Woodbridge,2.5252,79.6021,0.6552,0.3396,68.626,3.7352,0.1243,0.9422,0.5357,0.507,4.1418,3.9409,0.2009,3.5583,3.0991,0,0.3826,6.6909,2.386,78.576,0.643,0.273,68.42,3.662,0.097,0.964,0.37,0.487,3.671,3.993,0.185,3.662,3.194,0,0.477,7.528,2.6595,80.5939,0.6578,0.4041,68.8281,3.7966,0.141,0.9304,0.6954,0.5451,4.586,3.9,0.2255,3.4583,3.0072,0,0.2913,5.8829
