Geo_Code,FED_Name,TotalNumberOfPrivateHouseholdsByAgeGroupOfPrimaryHouseholdMaintainers,Under25Years,25To34Years,35To44Years,45To54Years,55To64Years,65To74Years,75AndOver
35078,Ottawa--Vanier,51815,3690,8915,8020,10355,9285,6170,5380
35079,Ottawa West--Nepean,48185,2745,6925,7500,9900,8325,5660,7130
35080,Oxford,42505,1165,5645,7280,9275,7985,5685,5465
35081,Parkdale--High Park,48350,1715,9865,11085,9770,7560,4320,4040
35082,Parry Sound--Muskoka,38175,670,3080,4645,8090,9165,6750,5770
35083,Perth--Wellington,39920,1260,5315,6615,8920,7790,5035,4980
35084,Peterborough--Kawartha,48315,1865,5910,6580,9710,9805,6995,7450
35085,Pickering--Uxbridge,36675,160,3050,6595,11110,8300,4150,3310
35086,Renfrew--Nipissing--Pembroke,42335,1405,5475,6265,9085,8565,6130,5405
35087,Richmond Hill,37455,435,3365,7115,9910,8690,4435,3510
35088,Carleton,30860,290,3475,7310,8555,5765,3355,2105
35089,St. Catharines,47745,1905,5950,6920,9815,9185,6850,7115
35090,Toronto--St. Paul's,52230,2190,11820,9540,8885,8285,5875,5635
35091,Sarnia--Lambton,44640,1440,5435,6350,9495,9635,6330,5965
35092,Sault Ste. Marie,35375,880,4145,5070,7750,7405,5185,4940
35093,Scarborough--Agincourt,34955,540,2555,6010,8455,6765,4915,5710
35094,Scarborough Centre,39285,1035,4715,7540,9420,6910,4440,5215
35095,Scarborough--Guildwood,35610,915,4780,6870,8155,6430,4290,4190
35096,Scarborough North,29390,490,2490,5585,7855,6520,3700,2750
35097,Scarborough--Rouge Park,31635,250,2555,5685,8525,7800,4340,2480
35098,Scarborough Southwest,40745,925,4970,8185,10385,7870,4335,4080
35099,Simcoe--Grey,45095,680,4160,7560,10680,9020,7295,5705
35100,Simcoe North,44695,1020,3930,6315,10315,9775,6970,6375
35101,Spadina--Fort York,47200,3220,19620,10230,5625,4040,2465,2010
35102,Stormont--Dundas--South Glengarry,41740,1180,4540,6265,9460,8925,6275,5085
35103,Sudbury,41575,2205,5970,6180,8610,7640,5480,5480
35104,Thornhill,36075,270,2875,6885,9645,8305,4310,3785
35105,Thunder Bay--Rainy River,34950,960,4025,5615,8195,7135,4610,4420
35106,Thunder Bay--Superior North,35505,1320,4280,5455,7970,7510,4480,4485
35107,Timmins--James Bay,33585,1160,4240,5460,8015,6770,4325,3625
35108,Toronto Centre,52355,5020,14290,10285,9945,6900,3815,2095
35109,Toronto--Danforth,44845,1075,7680,10050,10305,7470,4380,3890
35110,University--Rosedale,47805,4575,12255,7605,7345,6420,4925,4670
35111,Vaughan--Woodbridge,31020,170,2425,7705,8010,5845,4315,2545
35112,Waterloo,39040,2465,5825,7735,9020,6530,3935,3525
35113,Wellington--Halton Hills,40700,430,3580,8030,11400,8030,5310,3915
35114,Whitby,41020,470,4910,9835,11650,7335,3870,2940
35115,Willowdale,45600,1875,8850,8755,8750,7410,4560,5405
35116,Windsor--Tecumseh,48095,1115,6010,8435,10405,9925,6590,5610
35117,Windsor West,48395,2565,6360,9130,10715,8095,5565,5960
35118,York Centre,38190,620,4840,6945,8455,6600,4445,6280
35119,York--Simcoe,33145,325,3840,6740,9420,6370,3650,2805
35120,York South--Weston,44490,1340,6570,8285,10555,7555,5155,5035
35121,Humber River--Black Creek,36220,1990,5230,6895,8110,5760,4050,4185
46001,Brandon--Souris,34225,2190,5825,5345,6285,5845,4130,4600
46002,Charleswood--St. James--Assiniboia--Headingley,34070,890,4230,5290,7710,6620,4590,4750
46003,Churchill--Keewatinook Aski,24455,1395,4310,5370,5885,4220,2170,1110
46004,Dauphin--Swan River--Neepawa,34710,945,3770,5035,6880,7145,5125,5805
46005,Elmwood--Transcona,34320,1045,5780,6470,7800,5850,3640,3735
46006,Kildonan--St. Paul,32625,480,3705,5355,7270,6635,4065,5120
46007,Portage--Lisgar,31555,1355,4930,5625,6610,5360,3700,3970
46008,Provencher,30170,840,4725,5835,7220,5465,3440,2640
46009,Saint Boniface--Saint Vital,35850,1330,5630,5970,7560,6705,4240,4415
46010,Selkirk--Interlake--Eastman,36325,640,3290,5390,8275,8090,5875,4775
46011,Winnipeg Centre,35900,2640,7565,7010,7345,5920,2795,2620
46012,Winnipeg North,29845,820,3985,5810,7440,6310,3175,2310
46013,Winnipeg South,30560,1340,4170,5890,7690,6225,3115,2130
46014,Winnipeg South Centre,41190,1940,7600,6860,7725,7410,4340,5315
