Geo_Code,FED_Name,TotPopPrivateHouseholdsByReligion,TotBuddhist,TotChristian,TotAnglican,TotBaptist,TotCatholic,TotChristianOrthodox,TotLutheran,TotPentecostal,TotPresbyterian,TotUnitedChurch,TotOtherChristian,TotHindu,TotJewish,TotMuslim,TotSikh,TotAboriginal,TotOther,TotNoReligiousAffiliation,MaleTotPopPrivateHouseholdsByReligion,MaleBuddhist,MaleChristian,MaleAnglican,MaleBaptist,MaleCatholic,MaleChristianOrthodox,MaleLutheran,MalePentecostal,MalePresbyterian,MaleUnitedChurch,MaleOtherChristian,MaleHindu,MaleJewish,MaleMuslim,MaleSikh,MaleAboriginal,MaleOther,MaleNoReligiousAffiliation,FemaleTotPopPrivateHouseholdsByReligion,FemaleBuddhist,FemaleChristian,FemaleAnglican,FemaleBaptist,FemaleCatholic,FemaleChristianOrthodox,FemaleLutheran,FemalePentecostal,FemalePresbyterian,FemaleUnitedChurch,FemaleOtherChristian,FemaleHindu,FemaleJewish,FemaleMuslim,FemaleSikh,FemaleAboriginal,FemaleOther,FemaleNoReligiousAffiliation
24007,Beauce,104085,15,99680,20,435,97430,10,0,235,10,0,1500,0,0,55,0,0,60,4250,52650,0,50175,0,210,49090,0,0,120,0,0,705,0,0,30,0,0,40,2395,51435,0,49500,0,230,48340,0,0,120,0,0,795,0,0,20,0,0,25,1850
24008,Beauport--Limoilou,89460,420,76215,40,130,73585,250,90,435,0,0,1665,55,0,1130,0,0,245,11385,42975,205,35635,25,75,34270,135,35,240,0,0,865,20,0,615,0,0,130,6365,46480,215,40575,20,60,39315,115,50,195,0,0,800,40,0,515,0,0,115,5020
24009,Becancour--Nicolet--Saurel,91215,50,85070,110,225,83155,40,20,190,0,45,1275,0,0,155,0,15,125,5800,45560,25,42175,55,135,41210,30,0,45,0,20,665,0,0,90,0,10,50,3210,45655,25,42895,55,90,41940,0,0,145,0,25,610,0,0,65,0,0,75,2590
24010,Bellechasse--Les Etchemins--Levis,108400,165,99045,65,65,97280,25,10,100,15,25,1460,0,0,260,0,0,70,8850,53665,60,48390,25,35,47520,20,0,35,0,0,730,0,0,155,0,0,30,5030,54730,110,50655,35,30,49760,0,0,70,0,0,730,0,0,105,0,0,40,3820
24011,Beloeil--Chambly,107620,190,92310,380,355,88280,320,105,545,60,245,2015,0,0,355,0,0,115,14630,53115,100,44735,145,170,42865,175,65,230,20,90,975,0,0,200,0,0,55,8010,54500,95,47570,235,190,45410,145,40,315,40,150,1040,0,0,150,0,0,55,6620
24012,Berthier--Maskinonge,96560,65,88565,115,195,86440,25,15,150,0,35,1575,0,25,85,0,0,55,7755,48875,30,44670,95,85,43635,10,0,65,0,25,735,0,0,65,0,0,0,4095,47675,35,43900,20,110,42805,20,0,85,0,10,840,0,0,20,0,0,50,3660
24013,Therese-De Blainville,96720,290,83240,160,270,79905,520,40,225,0,95,2005,30,80,920,0,0,55,12115,47460,135,40270,80,125,38580,295,0,115,0,35,1020,0,55,510,0,0,20,6460,49265,150,42970,80,145,41320,225,40,110,0,55,990,20,25,410,0,0,40,5655
24014,Pierre-Boucher--Les Patriotes--Vercheres,94110,135,81975,160,240,79450,375,45,320,0,75,1300,0,55,745,0,0,35,11155,46865,65,40365,90,85,39115,210,20,190,0,20,630,0,35,380,0,0,20,5990,47245,75,41610,70,155,40340,170,20,130,0,55,665,0,25,360,0,0,0,5165
24015,Bourassa,97365,1670,73665,255,1995,59180,620,60,1715,15,30,9800,190,145,12985,0,0,60,8630,46100,755,33650,100,880,26875,350,15,845,0,25,4555,85,85,6805,0,0,40,4675,51260,915,40010,160,1110,32305,270,45,875,0,0,5240,105,60,6180,0,0,25,3955
24016,Brome--Missisquoi,96885,60,84525,3335,470,74675,165,120,135,130,2225,3280,20,205,105,0,0,145,11800,48035,40,41680,1480,230,36985,75,60,65,80,1025,1685,15,110,50,0,0,90,6055,48850,20,42850,1855,235,37690,90,60,70,50,1200,1595,0,100,55,0,0,60,5745
24017,Brossard--Saint-Lambert,99540,2575,68300,1465,475,55530,4680,100,535,510,595,4415,1495,210,8065,405,0,195,18300,47725,1180,31580,635,180,25480,2410,40,270,240,265,2065,780,95,4150,200,0,100,9645,51810,1395,36720,825,290,30055,2270,65,265,265,330,2350,720,115,3910,205,0,90,8655
24018,Rimouski-Neigette--Temiscouata--Les Basques,81660,45,75125,0,150,73895,20,0,135,0,0,910,0,0,190,0,0,75,6210,40495,15,37040,0,65,36460,0,0,80,0,0,425,0,0,100,0,0,30,3300,41165,0,38090,0,85,37435,0,0,55,0,0,490,0,0,90,0,0,40,2905
24019,Charlesbourg--Haute-Saint-Charles,101500,110,90005,60,215,87810,125,0,225,20,25,1520,50,0,585,0,0,100,10630,49325,55,43150,40,75,42120,50,0,95,0,0,755,30,0,340,0,0,35,5700,52170,50,46845,25,140,45690,70,0,125,0,15,765,25,0,245,0,0,65,4930
24020,Beauport--Cote-de-Beaupre--ile d'Orleans--Charlevoix,90130,80,82700,50,185,81335,40,0,65,25,25,960,0,0,140,0,0,105,7085,44895,45,41045,35,65,40335,30,0,40,0,15,525,0,0,95,0,0,70,3635,45235,40,41660,0,125,41000,15,0,30,0,0,435,0,0,50,0,0,35,3450
24021,Chateauguay--Lacolle,90710,335,79405,1580,480,71005,960,135,630,355,850,3425,260,120,1085,55,0,145,9265,45130,195,39110,710,220,35030,480,60,280,185,455,1690,125,70,605,25,0,65,4940,45585,135,40300,875,255,35970,480,70,350,165,395,1730,135,55,480,35,0,80,4325
24022,Chicoutimi--Le Fjord,79365,35,73790,40,175,72065,25,20,35,0,20,1410,0,0,295,0,0,110,5110,39260,15,35865,35,105,34975,10,0,15,0,0,705,0,0,130,0,0,55,3170,40110,15,37930,0,70,37085,0,15,15,0,0,705,0,0,165,0,0,50,1935
24023,Compton--Stanstead,100705,85,88870,2485,815,79715,90,100,100,215,1855,3490,20,90,105,0,15,350,11165,51200,40,44750,1170,375,40395,55,50,45,105,840,1710,0,40,70,0,0,205,6085,49505,50,44120,1315,440,39315,35,45,50,115,1020,1775,0,50,30,0,0,145,5085
24024,Dorval--Lachine--LaSalle,104480,1050,76520,3475,705,56930,3450,215,2055,600,1325,7765,1440,810,6840,1615,15,335,15845,50145,465,35690,1555,270,26595,1760,100,890,270,510,3735,750,465,3395,865,0,150,8375,54330,590,40830,1915,435,30335,1690,110,1165,325,820,4035,690,345,3445,750,0,190,7470
24025,Drummond,95870,115,87415,75,535,84795,85,0,400,0,175,1335,0,50,395,0,0,50,7850,48080,60,43365,35,295,41930,50,0,220,0,120,710,0,0,195,0,0,25,4430,47790,60,44050,30,240,42870,40,0,185,0,55,625,0,45,195,0,0,25,3415
24026,Gaspesie--Les iles-de-la-Madeleine,77165,35,73735,2225,205,69530,50,0,80,45,735,865,0,0,35,0,45,90,3220,38000,15,36140,1100,80,34095,0,0,25,15,325,485,0,0,25,0,10,35,1780,39170,25,37595,1125,125,35440,35,0,50,30,415,380,0,0,10,0,30,55,1445
24027,Gatineau,104810,190,90145,245,750,84075,655,65,605,40,290,3425,10,45,1470,0,15,135,12790,50760,85,42995,150,285,40020,345,30,305,25,145,1685,0,35,770,0,0,65,6805,54050,105,47155,90,460,44055,310,35,300,20,140,1740,10,15,700,0,0,70,5985
24028,Hochelaga,100085,1480,69760,215,340,63700,1465,0,505,80,130,3315,360,190,6900,0,0,265,21115,49270,670,32940,100,145,30075,735,0,175,45,70,1595,180,85,3655,0,0,145,11585,50820,810,36820,110,195,33625,735,0,330,35,65,1720,180,110,3240,0,0,120,9530
24029,Honore-Mercier,101100,2250,83380,255,1715,71195,1885,80,1305,70,185,6685,85,95,6720,25,0,145,8395,48025,1180,38665,140,755,33290,960,40,530,20,105,2825,40,45,3500,15,0,90,4485,53080,1075,44710,115,965,37910,925,40,775,50,75,3855,45,50,3220,0,0,55,3905
24030,Hull--Aylmer,101605,730,74340,1070,660,65360,1495,220,730,305,805,3695,95,125,4750,0,0,390,21155,49370,345,34870,460,300,30750,755,100,325,175,380,1620,55,70,2600,0,0,195,11225,52240,380,39465,605,360,34615,740,120,405,125,420,2070,40,55,2155,0,0,185,9930
24031,Joliette,98085,210,87375,410,185,84265,150,20,155,0,165,2010,150,0,310,0,75,175,9785,48595,95,43175,155,55,41740,95,0,75,0,65,965,55,0,165,0,40,55,5005,49490,115,44200,255,130,42525,55,15,80,0,100,1045,95,0,150,0,30,115,4775
24032,Jonquiere,86125,25,81670,55,225,80065,0,0,100,30,30,1160,0,0,50,0,0,55,4320,43160,25,40655,30,115,39870,0,0,0,30,15,570,0,0,35,0,0,30,2410,42970,0,41015,25,110,40200,0,0,70,0,15,590,0,0,0,0,0,30,1910
24033,La Pointe-de-l'ile,100305,1000,82950,150,690,76600,1070,35,445,90,65,3815,115,25,3570,0,0,175,12460,48115,405,39045,90,295,36085,505,25,175,0,30,1830,50,20,1755,0,0,105,6735,52185,595,43905,60,390,40515,560,0,270,70,35,1980,65,0,1820,0,0,75,5725
24034,La Prairie,99020,275,85405,335,530,80655,1385,60,225,45,270,1900,15,100,1790,85,0,105,11245,49490,145,42035,195,240,39755,675,25,110,25,115,900,0,65,965,50,0,50,6160,49530,130,43365,135,290,40900,710,35,115,15,160,995,0,35,820,35,0,45,5085
24035,Lac-Saint-Jean,102615,30,98090,20,240,96625,25,0,40,0,0,1130,0,0,50,0,35,70,4340,51525,20,48825,10,120,48075,15,0,25,0,0,575,0,0,40,0,20,60,2560,51090,0,49265,15,120,48545,10,0,15,0,0,550,0,0,0,0,10,15,1775
24036,Lac-Saint-Louis,106270,655,78915,4960,765,52280,6335,950,855,1235,4150,7390,1885,2135,4080,805,0,365,17425,51500,280,36915,2265,380,24455,3015,460,455,545,1865,3475,1005,1145,2105,440,0,160,9445,54770,375,42005,2695,385,27820,3315,495,400,690,2280,3915,875,990,1975,365,0,205,7980
24037,LaSalle--emard--Verdun,102515,1350,73820,1775,305,62685,2340,110,590,325,760,4930,640,310,4060,120,0,270,21930,49225,665,33900,870,120,28545,1185,30,235,140,315,2450,315,165,2150,80,0,130,11815,53290,680,39915,905,180,34140,1160,80,355,185,450,2475,320,145,1910,40,0,135,10120
24038,Laurentides--Labelle,108810,150,95500,780,235,91485,285,105,305,70,315,1915,0,460,120,0,0,160,12380,53830,60,46685,420,95,44710,140,50,150,25,150,930,0,225,80,0,0,75,6705,54980,85,48815,355,145,46770,145,55,150,45,160,985,0,245,40,0,0,85,5685
24039,Laurier--Sainte-Marie,103590,1885,56495,415,360,50225,1265,160,195,135,275,3465,515,915,4960,0,0,505,38280,55585,850,29165,220,255,25765,625,95,75,65,115,1950,270,475,2815,0,0,270,21725,48005,1035,27330,195,105,24465,640,65,115,70,155,1510,250,440,2145,0,0,240,16560
24040,Laval--Les iles,101375,1435,78350,315,575,51695,18520,170,755,125,110,6090,1135,2365,7205,720,0,135,10040,49735,695,38075,170,235,25045,9270,35,375,70,50,2825,555,1160,3505,385,0,60,5300,51645,735,40275,145,340,26655,9250,135,380,50,55,3265,585,1205,3695,330,0,80,4730
24041,Longueuil--Charles-LeMoyne,103600,960,80100,1100,605,69645,2085,60,965,185,575,4880,350,80,5060,70,0,225,16750,50965,440,38430,490,325,33675,995,30,390,85,220,2225,200,35,2515,55,0,105,9175,52635,520,41670,610,285,35965,1085,30,570,105,355,2660,145,45,2545,0,0,115,7575
24042,Levis--Lotbiniere,106385,115,97255,105,100,95110,65,25,215,35,0,1600,0,25,180,0,0,110,8690,53600,50,48550,55,40,47540,30,0,105,15,0,760,0,0,135,0,0,45,4790,52790,65,48710,55,55,47565,35,15,115,20,0,840,0,0,45,0,0,60,3900
24043,Longueuil--Saint-Hubert,102520,755,82980,325,440,76865,1090,70,830,90,155,3110,145,90,3885,0,0,165,14490,49340,365,38815,140,215,35865,500,30,420,50,105,1490,70,65,2085,0,0,65,7875,53180,395,44160,180,225,41000,585,45,415,40,50,1630,75,25,1800,0,0,105,6620
24044,Louis-Hebert,100610,300,83150,185,110,80100,590,35,185,20,105,1820,0,65,2565,0,0,145,14370,48125,150,38280,80,50,36760,280,15,90,0,35,955,0,45,1355,0,0,80,8205,52485,145,44875,105,60,43345,310,20,95,0,70,865,0,25,1210,0,0,60,6165
24045,Louis-Saint-Laurent,105850,150,94100,125,270,91950,180,0,215,40,55,1275,50,55,555,0,0,110,10825,51970,70,45425,50,150,44335,85,0,110,0,30,645,0,25,315,0,0,60,6050,53885,80,48675,75,120,47610,95,0,100,25,20,630,35,30,235,0,0,45,4780
24046,Manicouagan,92985,80,87000,2015,390,83400,45,0,110,0,340,670,0,10,165,0,190,60,5480,46980,0,43665,965,185,41935,30,0,55,0,165,310,0,0,90,0,85,40,3075,46010,65,43335,1045,210,41465,20,0,50,0,180,355,0,0,75,0,105,15,2400
24047,Megantic--L'erable,85885,20,81735,70,230,80245,35,0,195,0,35,910,0,0,70,0,0,65,3995,43185,0,40905,45,135,40180,20,0,80,0,20,425,0,0,40,0,0,30,2200,42695,15,40825,30,100,40065,15,0,120,0,15,480,0,0,25,0,0,30,1795
24048,Mirabel,101740,90,88285,175,265,85160,325,30,75,35,60,2150,0,60,290,0,0,135,12875,51375,50,43935,65,120,42425,150,25,20,25,20,1080,0,25,170,0,0,55,7135,50365,40,44355,110,145,42740,175,0,50,0,45,1070,0,35,120,0,0,80,5735
24049,Montarville,93625,355,80210,545,190,76205,830,50,310,35,335,1720,55,50,1125,0,0,85,11735,45865,160,38720,220,70,36815,395,25,160,25,170,845,35,40,590,0,0,55,6270,47760,190,41490,325,120,39390,430,35,150,0,165,875,0,20,535,0,0,35,5475
24050,Montcalm,98065,20,87675,135,335,84450,205,25,145,25,65,2285,0,0,235,0,0,145,9955,49620,0,43790,75,160,42155,105,0,70,0,25,1185,0,0,120,0,0,75,5605,48445,10,43885,60,180,42290,100,15,75,15,40,1100,0,0,120,0,0,70,4350
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,93505,50,88440,40,140,87195,0,0,80,0,15,945,0,0,60,0,0,60,4885,47130,25,44300,30,65,43730,0,0,35,0,0,415,0,0,35,0,0,40,2725,46375,25,44145,0,75,43470,0,0,40,0,10,530,0,0,25,0,0,20,2165
24052,Mount Royal,99230,2105,44100,1180,890,28840,5585,120,1265,265,535,5425,2795,30445,7355,45,30,180,12175,46605,935,19360,485,405,12605,2555,60,490,120,215,2430,1415,14260,3965,25,0,95,6540,52620,1170,24740,695,485,16240,3025,55,775,145,315,3000,1375,16180,3390,25,0,85,5630
24053,Notre-Dame-de-Grace--Westmount,102755,1000,57205,4040,660,35710,5295,570,995,1085,1490,7355,655,10930,6900,45,0,580,25440,48425,450,25555,1650,225,16185,2610,250,425,465,590,3160,360,5025,3645,35,0,295,13055,54325,545,31655,2390,435,19530,2685,320,575,625,900,4200,290,5905,3250,0,0,290,12385
24054,Outremont,98740,1315,50020,865,335,38255,4945,185,350,75,385,4620,1210,10830,9335,0,20,340,25665,47995,635,21815,355,125,16640,2240,115,140,20,185,2005,600,5535,5200,0,0,160,14040,50745,685,28205,510,215,21620,2710,75,215,55,205,2615,610,5295,4140,0,20,180,11615
