Geo_Code,FED_Name,TotPopAged15YearsAndOverByHighestDiploma,NoDiploma,HighSchoolDiplomaOrEquivalent,PostsecondaryCertificateDiplomaOrDegree,ApprenticeshipOrTradesCertificateOrDiploma,CollegeCEGEPOrOtherNonUniversityCertificateOrDiploma,UniversityCertificateOrDiplomaBelowBachelorLevel,UniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbove,BachelorDegree,UniversityCertificateDiplomaOrDegreeAboveBachelorLevel,MaleTotPopAged15YearsAndOverByHighestDiploma,MaleNoDiploma,MaleHighSchoolDiplomaOrEquivalent,MalePostsecondaryCertificateDiplomaOrDegree,MaleApprenticeshipOrTradesCertificateOrDiploma,MaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiploma,MaleUniversityCertificateOrDiplomaBelowBachelorLevel,MaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbove,MaleBachelorDegree,MaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevel,FemaleTotPopAged15YearsAndOverByHighestDiploma,FemaleNoDiploma,FemaleHighSchoolDiplomaOrEquivalent,FemalePostsecondaryCertificateDiplomaOrDegree,FemaleApprenticeshipOrTradesCertificateOrDiploma,FemaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiploma,FemaleUniversityCertificateOrDiplomaBelowBachelorLevel,FemaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbove,FemaleBachelorDegree,FemaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevel
11004,Malpeque,28515,5470,7620,15425,3210,6775,965,4485,3070,1410,13920,3000,3820,7100,2215,2660,345,1880,1140,740,14595,2470,3795,8325,995,4110,615,2600,1930,670
12001,Cape Breton--Canso,63415,16950,14610,31855,9725,11660,2645,7820,5340,2485,30585,8440,6640,15505,7130,4440,905,3035,1995,1040,32825,8510,7970,16350,2600,7220,1740,4785,3345,1440
12002,Central Nova,62380,15735,14715,31935,8100,12855,2000,8980,5620,3360,30210,8220,6955,15035,5245,5250,750,3790,2255,1540,32170,7510,7760,16895,2855,7605,1250,5190,3365,1820
12003,Cumberland--Colchester,67975,18440,17365,32165,8470,13650,2145,7905,4860,3045,32555,9615,8130,14805,5560,4880,870,3490,2065,1425,35425,8825,9235,17360,2905,8770,1265,4415,2795,1620
12004,Dartmouth--Cole Harbour,76255,12670,19500,44090,7775,15995,3375,16945,11600,5340,35995,5965,9225,20810,4980,6665,1550,7615,5135,2475,40260,6705,10270,23285,2800,9325,1830,9325,6460,2860
12005,Halifax,79060,10270,19020,49770,5300,11050,3055,30360,18250,12115,37765,4895,9525,23345,3455,4405,1410,14070,8285,5790,41300,5375,9490,26430,1845,6655,1645,16285,9965,6320
12006,Halifax West,71885,9445,16145,46295,5865,13545,3465,23430,15735,7700,33895,4630,7915,21350,3570,5520,1405,10855,7140,3715,37990,4815,8220,24950,2295,8025,2055,12575,8600,3980
12007,Kings--Hants,68730,16835,16765,35130,8410,13665,2195,10855,6900,3960,33245,9010,8010,16225,5295,5425,875,4625,2725,1905,35495,7830,8755,18910,3115,8235,1325,6230,4170,2060
12008,Sackville--Preston--Chezzetcook,69480,13090,17700,38690,9150,15485,2480,11580,7945,3635,33950,6850,8680,18425,5935,6720,995,4770,3305,1465,35525,6240,9015,20270,3215,8765,1485,6810,4640,2170
12009,South Shore--St. Margarets,78550,21355,17365,39830,9985,15680,2510,11660,7510,4150,38505,11410,8060,19030,6205,6530,1075,5215,3230,1985,40045,9945,9295,20805,3775,9150,1435,6445,4285,2160
12010,Sydney--Victoria,60750,15780,14970,30005,8415,10410,2895,8285,5250,3030,28540,7440,6840,14255,5745,3970,995,3545,2185,1360,32215,8340,8130,15750,2670,6435,1900,4735,3065,1670
12011,West Nova,69570,20940,15175,33455,9120,14710,2055,7575,4710,2865,33390,11155,7125,15115,5475,5575,640,3430,2115,1315,36180,9790,8050,18345,3650,9130,1415,4145,2600,1550
13001,Acadie--Bathurst,67970,25295,13845,28825,9210,10240,2285,7090,5145,1940,33510,13440,6075,14000,5970,4425,745,2860,2020,840,34455,11860,7770,14830,3250,5815,1540,4230,3125,1105
13002,Beausejour,66490,18625,15880,31990,7005,13550,1650,9780,6895,2890,32855,9565,8005,15285,4655,5950,585,4100,2620,1485,33635,9065,7870,16700,2350,7605,1060,5685,4275,1410
13003,Fredericton,66900,10460,18550,37885,5140,11930,2185,18625,12180,6445,32280,5295,9290,17695,3340,4590,825,8940,5470,3465,34620,5170,9255,20195,1805,7340,1365,9690,6715,2975
13004,Fundy Royal,64530,13325,18680,32530,7480,13725,1710,9610,6895,2720,31670,7050,8445,16175,5425,5855,610,4280,3005,1275,32860,6280,10230,16350,2050,7865,1100,5330,3890,1445
13005,Madawaska--Restigouche,52515,16815,12495,23200,7320,8390,1490,6005,4235,1770,25495,8035,6140,11320,4570,3585,515,2650,1675,975,27020,8780,6355,11885,2750,4800,975,3360,2560,800
13006,Miramichi--Grand Lake,50130,15445,14125,20555,6520,8815,1000,4215,2900,1320,24380,7910,6560,9910,4305,3615,275,1710,1070,645,25745,7530,7565,10645,2220,5200,720,2505,1830,675
13007,Moncton--Riverview--Dieppe,74750,13840,20440,40465,6155,16180,2800,15330,10795,4530,35385,6875,10055,18460,3710,6945,1025,6765,4625,2140,39365,6970,10390,22010,2440,9235,1775,8560,6170,2390
13008,New Brunswick Southwest,54630,12060,16485,26085,6810,10510,1265,7505,5285,2215,26750,6475,7615,12655,4535,4395,530,3185,2150,1035,27880,5585,8865,13435,2275,6115,730,4315,3135,1180
13009,Saint John--Rothesay,67280,14260,20635,32380,6960,12995,1810,10610,7285,3330,31555,6695,9165,15695,5005,5390,760,4540,2945,1595,35720,7560,11470,16685,1955,7610,1055,6070,4340,1725
13010,Tobique--Mactaquac,57245,14760,16680,25805,7170,10130,1685,6820,4810,2010,27985,7635,8135,12210,4565,4075,655,2910,2020,895,29260,7125,8540,13595,2605,6050,1030,3905,2795,1110
24001,Abitibi--Baie-James--Nunavik--Eeyou,64695,25390,11505,27800,12470,7660,1990,5675,4140,1535,32700,13025,5330,14350,8145,3310,680,2215,1510,705,32000,12365,6185,13450,4330,4345,1310,3465,2630,835
24002,Abitibi--Temiscamingue,83335,25045,15725,42565,17335,12830,3060,9340,7110,2230,41880,13625,6860,21395,11115,5610,1065,3595,2620,975,41455,11415,8860,21175,6220,7220,1995,5740,4490,1250
24003,Ahuntsic-Cartierville,89020,16210,17020,55785,8495,14155,5775,27360,16230,11135,43035,7345,8175,27510,4750,6505,2445,13805,7985,5820,45985,8870,8845,28275,3745,7650,3325,13555,8245,5315
24004,Alfred-Pellan,78815,15440,18875,44495,11805,13840,4605,14245,9685,4555,37940,7480,8810,21650,6935,6040,1975,6705,4125,2580,40875,7960,10065,22850,4875,7805,2635,7540,5565,1975
24005,Argenteuil--La Petite-Nation,78270,22770,18640,36865,15535,11070,2525,7735,5350,2385,39105,11775,8615,18720,9215,4965,1090,3445,2220,1220,39165,10990,10030,18145,6320,6100,1430,4295,3130,1160
24006,Avignon--La Mitis--Matane--Matapedia,61915,19290,12460,30160,14115,8720,2065,5255,3845,1410,30745,10015,5305,15420,9005,3605,530,2280,1580,700,31175,9280,7155,14740,5115,5115,1535,2975,2265,710
24007,Beauce,86010,25880,18070,42060,18105,13380,2530,8045,5825,2220,43460,13640,8850,20970,10970,5590,900,3510,2485,1025,42550,12240,9225,21085,7135,7795,1630,4530,3335,1195
24008,Beauport--Limoilou,78375,16240,18680,43455,13940,14735,3010,11765,8130,3640,37465,7165,8285,22015,8575,6515,1200,5725,3860,1865,40905,9075,10395,21440,5365,8220,1815,6045,4270,1775
24009,Becancour--Nicolet--Saurel,78520,21065,17075,40385,16695,13515,2840,7335,5250,2080,39065,10775,7725,20565,10610,5695,970,3300,2125,1170,39455,10290,9350,19820,6080,7825,1870,4040,3125,910
24010,Bellechasse--Les Etchemins--Levis,92105,19940,19875,52280,18940,16425,3835,13080,8845,4235,45410,10250,8835,26330,11815,6950,1580,5985,3930,2050,46690,9695,11040,25955,7125,9475,2250,7100,4915,2185
24011,Beloeil--Chambly,87120,15035,19515,52565,14985,17080,4500,16005,11005,4995,42800,8050,9165,25585,9030,7525,1880,7155,4575,2575,44320,6985,10355,26980,5955,9560,2620,8850,6425,2420
24012,Berthier--Maskinonge,82000,23965,17935,40095,18345,12195,2690,6865,4880,1985,41340,12255,8225,20860,11875,5035,980,2970,1970,1005,40655,11710,9715,19235,6470,7160,1710,3895,2910,985
24013,Therese-De Blainville,77705,14880,18015,44815,12215,14205,3660,14730,10525,4210,37955,7705,8360,21890,7240,6055,1610,6985,4845,2145,39750,7175,9650,22925,4975,8150,2050,7750,5685,2070
24014,Pierre-Boucher--Les Patriotes--Vercheres,77410,12605,16020,48790,11815,14760,4875,17335,11595,5740,38295,6650,7310,24335,7195,6525,2225,8390,5395,2990,39115,5955,8710,24450,4620,8235,2655,8945,6200,2745
24015,Bourassa,79680,24935,19230,35520,11760,10525,3660,9565,6195,3370,37135,11030,8820,17280,6095,4700,1575,4910,3090,1815,42545,13905,10410,18230,5670,5825,2085,4660,3100,1555
24016,Brome--Missisquoi,82240,19555,20250,42440,13645,12120,3805,12865,7950,4915,40795,10240,9085,21475,8295,5355,1660,6160,3565,2600,41445,9315,11160,20965,5350,6760,2150,6705,4390,2320
24017,Brossard--Saint-Lambert,84020,11520,16680,55820,7290,14250,5965,28315,16855,11460,39960,5375,7525,27060,4000,6310,2555,14195,7925,6270,44055,6145,9155,28755,3295,7940,3410,14115,8930,5185
24018,Rimouski-Neigette--Temiscouata--Les Basques,70015,17455,13770,38785,13405,12320,2880,10180,6805,3375,34310,9205,6045,19065,8305,5235,955,4565,2860,1715,35705,8255,7730,19725,5100,7085,1920,5610,3945,1665
24019,Charlesbourg--Haute-Saint-Charles,85500,14410,19770,51325,15645,17770,3940,13975,9595,4375,41210,6960,8650,25600,9605,7740,1515,6740,4330,2410,44285,7445,11115,25720,6040,10030,2425,7230,5265,1965
24020,Beauport--Cote-de-Beaupre--ile d'Orleans--Charlevoix,76125,16200,16935,42990,15550,14375,3025,10045,6890,3150,37835,8220,7330,22280,9840,6615,1200,4625,2975,1650,38290,7975,9605,20710,5705,7765,1825,5415,3915,1500
24021,Chateauguay--Lacolle,74705,18180,19605,36910,14630,11865,2850,7570,5455,2115,36740,9605,9225,17905,8655,5070,1130,3050,2075,980,37965,8575,10380,19005,5980,6795,1720,4515,3375,1140
24022,Chicoutimi--Le Fjord,68490,14555,13200,40735,14620,12575,3005,10535,7205,3330,33695,6320,5960,21420,8915,6055,1250,5200,3295,1905,34795,8235,7245,19310,5700,6525,1755,5335,3910,1425
24023,Compton--Stanstead,81475,19195,17990,44290,16985,12880,2705,11720,7360,4355,40945,10345,8765,21830,10335,5225,965,5310,3110,2200,40530,8850,9220,22460,6655,7660,1745,6405,4255,2155
24024,Dorval--Lachine--LaSalle,87560,18330,22450,46790,9900,14665,4940,17280,10840,6440,41640,8420,10505,22715,5555,6590,2325,8245,4985,3265,45925,9910,11940,24070,4345,8075,2615,9040,5860,3180
24025,Drummond,79445,21460,18150,39835,16485,13265,2510,7580,5530,2045,39515,11020,8375,20115,10230,5535,985,3370,2350,1020,39935,10440,9775,19715,6250,7735,1525,4210,3185,1025
24026,Gaspesie--Les iles-de-la-Madeleine,67555,24255,13430,29875,12685,9445,2120,5630,3915,1710,33010,12525,5900,14585,7885,3675,715,2320,1555,765,34540,11725,7535,15280,4800,5770,1405,3310,2365,950
24027,Gatineau,87355,21610,20480,45265,12560,15815,3460,13435,8900,4530,41865,10975,8880,22010,7215,7105,1465,6230,3710,2515,45485,10635,11600,23255,5345,8715,1990,7205,5195,2015
24028,Hochelaga,87845,19250,18480,50120,10995,14430,4825,19865,12750,7115,43095,9120,8865,25110,6315,6850,2235,9710,5925,3785,44750,10125,9615,25010,4685,7580,2590,10150,6825,3325
24029,Honore-Mercier,84425,21310,20185,42925,12520,13335,4140,12930,8955,3975,39310,9625,9405,20275,7040,5690,1730,5815,3825,1995,45120,11690,10780,22650,5480,7650,2405,7115,5135,1985
24030,Hull--Aylmer,84720,15570,17625,51525,8060,13850,4395,25220,14355,10870,40600,7685,8370,24545,4510,6625,1760,11655,6065,5590,44120,7885,9260,26980,3550,7225,2635,13565,8285,5280
24031,Joliette,83905,23435,19845,40630,16275,12560,3200,8590,6225,2370,41250,11730,9020,20500,10275,5115,1180,3935,2750,1185,42660,11700,10825,20130,6000,7445,2020,4655,3470,1185
24032,Jonquiere,72580,14910,13720,43960,18625,14420,2820,8095,5890,2205,36290,6775,6275,23240,11650,6580,1115,3890,2805,1090,36300,8130,7450,20720,6975,7840,1710,4205,3090,1115
24033,La Pointe-de-l'ile,86040,22410,20735,42905,14320,12805,4000,11775,8250,3520,40970,10385,9315,21265,8185,5920,1645,5520,3730,1795,45070,12020,11415,21640,6140,6885,2360,6255,4525,1730
24034,La Prairie,79170,14305,18470,46395,12365,14450,3995,15590,10960,4630,39085,7780,8750,22560,7405,6255,1595,7300,4990,2310,40085,6525,9720,23835,4950,8200,2395,8295,5975,2320
24035,Lac-Saint-Jean,86265,21875,16655,47740,22145,14360,3005,8235,6265,1970,43395,10875,7445,25075,13775,6515,1090,3700,2685,1015,42875,11000,9210,22660,8365,7845,1915,4535,3580,960
24036,Lac-Saint-Louis,87185,9310,18985,58890,6340,16590,5230,30725,18750,11980,41885,4445,8705,28735,3525,7385,2365,15455,8755,6700,45300,4860,10280,30155,2815,9205,2865,15270,10000,5275
24037,LaSalle--emard--Verdun,88890,21630,20025,47235,10445,13085,4060,19645,11930,7715,42215,9980,9395,22840,5905,5745,1820,9370,5620,3750,46670,11645,10625,24400,4545,7340,2240,10275,6310,3965
24038,Laurentides--Labelle,94535,23325,20290,50920,19070,14010,4815,13020,8565,4455,46885,12470,8900,25505,11560,5765,2050,6135,3810,2320,47655,10855,11385,25415,7515,8245,2770,6880,4750,2130
24039,Laurier--Sainte-Marie,94010,11445,14410,68155,6990,14150,5930,41080,22095,18990,50590,5540,8260,36790,4240,7840,3150,21560,11285,10270,43420,5905,6155,31365,2750,6310,2780,19525,10810,8720
24040,Laval--Les iles,82020,16940,19300,45780,10770,13930,4925,16150,10675,5475,39940,8525,9245,22170,5980,6255,2070,7870,4835,3030,42080,8415,10050,23610,4790,7680,2855,8280,5835,2445
24041,Longueuil--Charles-LeMoyne,88300,21575,21420,45305,14680,13465,4550,12615,8115,4495,43135,10390,9705,23045,8870,6180,1825,6170,3745,2420,45165,11190,11715,22265,5805,7285,2730,6445,4370,2075
24042,Levis--Lotbiniere,85465,14535,17190,53740,16655,17700,4020,15360,10815,4550,42990,7690,8210,27095,10535,7920,1570,7070,4805,2265,42475,6840,8980,26650,6125,9785,2445,8295,6015,2285
24043,Longueuil--Saint-Hubert,86895,18885,17735,50275,13470,14205,5200,17400,11175,6220,41490,8960,8140,24385,7755,6180,2085,8365,5080,3285,45405,9920,9595,25890,5715,8025,3115,9035,6100,2940
24044,Louis-Hebert,88910,7510,15410,65990,8270,18160,5955,33605,18610,14990,41995,3355,6360,32280,4945,7765,2245,17325,8815,8515,46915,4150,9050,33710,3325,10400,3705,16275,9800,6480
24045,Louis-Saint-Laurent,88260,13390,20060,54810,15285,18755,3825,16940,11760,5175,43065,6260,9370,27435,9590,8295,1525,8025,5405,2620,45195,7135,10685,27375,5695,10460,2300,8915,6355,2560
24046,Manicouagan,77175,24950,15405,36815,15115,12340,2320,7040,5235,1810,39080,12530,7210,19335,10035,5485,845,2975,2085,885,38095,12420,8195,17475,5075,6855,1475,4070,3145,930
24047,Megantic--L'erable,72935,22480,15000,35450,16365,11240,2325,5520,3995,1525,36615,11465,6860,18295,10440,4570,855,2425,1605,820,36320,11015,8140,17155,5925,6670,1460,3095,2385,710
24048,Mirabel,80150,19040,18485,42625,17820,13365,3050,8390,6185,2205,40345,10065,9005,21275,10955,5660,1275,3385,2385,1000,39805,8975,9480,21350,6865,7705,1775,5005,3800,1205
24049,Montarville,75470,10745,16335,48390,10015,14755,4675,18955,12515,6435,36655,5410,7450,23795,6055,6510,2120,9105,5725,3380,38815,5330,8880,24600,3955,8245,2550,9845,6790,3060
24050,Montcalm,79305,23030,18310,37970,17400,11850,2445,6275,4740,1530,40105,12285,8575,19245,10960,4720,1005,2555,1875,680,39200,10750,9735,18725,6440,7125,1440,3715,2870,850
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,79705,23830,16145,39735,17030,12070,2860,7770,5485,2290,39590,12185,7225,20185,10895,4775,940,3575,2265,1305,40120,11645,8920,19550,6140,7295,1920,4200,3220,980
24052,Mount Royal,80585,11295,16125,53160,4860,11080,6125,31100,17325,13780,36825,5410,7125,24295,2110,4940,2520,14720,7395,7330,43760,5890,9000,28870,2745,6135,3600,16380,9925,6450
24053,Notre-Dame-de-Grace--Westmount,86865,8545,15210,63110,4900,12350,4965,40895,21120,19780,40535,3985,7305,29240,2485,5425,1990,19340,9675,9660,46330,4555,7905,33870,2415,6920,2980,21555,11440,10115
24054,Outremont,83140,8605,13735,60805,3730,11375,5610,40095,19675,20420,39940,4115,7225,28595,1930,5170,2425,19070,8815,10260,43205,4495,6505,32210,1800,6200,3185,21025,10865,10160
24055,Papineau,90770,23270,18365,49130,8520,13680,4555,22370,13865,8505,45020,10945,9515,24560,4810,6650,2040,11055,6660,4395,45745,12330,8855,24570,3710,7030,2515,11315,7205,4105
24056,Pierrefonds--Dollard,88390,12345,21265,54775,7665,16765,6025,24310,15485,8825,42565,5785,10020,26765,4445,7550,2680,12090,7200,4890,45820,6565,11240,28015,3225,9220,3340,12220,8290,3935
24057,Pontiac,85920,19770,17200,48950,12910,14445,3445,18145,11220,6930,43100,11290,7860,23955,8175,6540,1355,7875,4555,3320,42815,8480,9340,24995,4730,7900,2090,10270,6660,3610
24058,Portneuf--Jacques-Cartier,83290,14495,17220,51575,17520,15765,3455,14835,9975,4860,42260,7530,8120,26610,11230,6810,1565,7005,4550,2450,41040,6970,9100,24965,6290,8955,1885,7835,5425,2405
24059,Quebec,83470,13700,16265,53505,11070,13935,4560,23945,13380,10565,40275,5895,7755,26620,6745,6230,1820,11830,6300,5530,43200,7805,8510,26880,4325,7700,2740,12115,7080,5030
24060,Repentigny,91955,19235,22150,50575,17500,16425,4660,11990,8670,3320,44555,9570,10290,24695,10545,6780,1890,5475,3750,1725,47395,9655,11860,25875,6950,9650,2765,6520,4920,1595
24061,Richmond--Arthabaska,83810,23460,18095,42250,17815,13440,2750,8245,5725,2520,41865,12275,8205,21380,11075,5630,930,3750,2390,1360,41950,11190,9895,20865,6735,7810,1820,4500,3335,1160
24062,Riviere-des-Mille-iles,83330,17235,20920,45175,13415,15480,4050,12240,8530,3705,40440,8705,9740,21990,7840,6725,1840,5585,3725,1860,42890,8535,11180,23185,5570,8750,2205,6650,4805,1850
24063,Riviere-du-Nord,83915,22805,19235,41880,17475,13305,3145,7955,5630,2325,41225,11560,8695,20970,10575,5580,1390,3425,2340,1090,42690,11240,10540,20915,6905,7725,1755,4530,3285,1240
24064,Rosemont--La Petite-Patrie,91015,16050,15440,59525,9775,14915,5070,29770,18005,11760,43970,7445,7685,28840,5720,7335,2180,13615,8070,5550,47050,8605,7755,30690,4060,7585,2890,16150,9940,6215
24065,Marc-Aurele-Fortin,76880,13755,17605,45520,10980,13965,4805,15765,10930,4835,37240,6870,8220,22145,6470,6000,2200,7480,5140,2340,39640,6880,9390,23370,4510,7965,2605,8285,5790,2490
24066,Saint-Hyacinthe--Bagot,80885,24380,18270,38230,15205,12415,2960,7645,5455,2200,39960,12980,8545,18435,8965,5010,1205,3255,2145,1110,40925,11400,9730,19795,6240,7410,1760,4390,3305,1085
24067,Saint-Jean,87790,21400,21345,45040,16455,14655,3595,10335,7210,3125,43190,11070,9615,22505,10155,6375,1430,4550,2975,1575,44595,10330,11735,22535,6300,8285,2165,5785,4230,1550
24068,Saint-Laurent,73965,12845,15625,45495,5415,11180,5030,23865,14415,9450,35470,5680,7315,22480,3015,5125,2215,12120,6910,5205,38500,7170,8320,23015,2395,6055,2815,11745,7500,4245
24069,Saint-Leonard--Saint-Michel,87950,27275,20145,40535,11645,11980,3995,12905,8800,4105,41320,12030,9810,19485,6030,5270,1795,6385,4150,2230,46630,15245,10335,21050,5615,6715,2205,6525,4650,1870
24070,Saint-Maurice--Champlain,92355,24395,19580,48375,20965,15640,3565,8205,6085,2115,46010,11460,8895,25660,13610,6675,1525,3855,2615,1240,46340,12935,10690,22720,7355,8970,2040,4355,3475,880
24071,Salaberry--Suroit,88740,25425,20900,42415,18485,13825,2785,7325,5200,2125,43680,12850,9545,21285,11430,5645,1060,3155,1995,1155,45060,12575,11355,21130,7050,8185,1725,4170,3205,960
24072,Shefford,87000,24155,21605,41245,15490,13590,2835,9330,6455,2875,43110,12445,10035,20630,9535,5730,1145,4220,2675,1545,43895,11710,11570,20615,5960,7855,1695,5110,3780,1330
24073,Sherbrooke,89480,19085,18755,51640,13955,15650,3840,18200,10425,7775,42610,9345,8550,24720,8060,6460,1570,8625,4510,4115,46875,9745,10205,26920,5895,9190,2265,9570,5915,3655
24074,Vaudreuil--Soulanges,88270,14060,21845,52365,12950,16960,4445,18005,12400,5610,43410,7170,10375,25865,7920,7545,1940,8455,5565,2895,44855,6890,11470,26500,5030,9410,2505,9555,6840,2720
24075,Terrebonne,84450,18850,20320,45280,17605,14425,3730,9520,7160,2360,41675,9705,9290,22680,10580,6445,1615,4035,2805,1235,42770,9140,11025,22605,7030,7980,2115,5480,4350,1130
24076,Trois-Rivieres,91280,18760,20515,52005,15690,16975,4545,14790,9805,4980,43475,8195,9240,26045,9780,7425,1780,7065,4370,2695,47805,10565,11285,25955,5910,9555,2770,7725,5435,2285
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,89695,9550,15425,64725,4910,11730,6480,41600,22630,18970,45565,4675,7860,33030,2680,5450,2985,21915,11545,10370,44130,4880,7560,31690,2235,6275,3495,19685,11090,8600
24078,Vimy,85755,20185,20015,45560,11575,13545,4940,15505,10300,5205,40920,9590,8865,22470,6705,6110,1955,7700,4785,2915,44835,10595,11155,23095,4870,7435,2985,7805,5515,2290
35001,Ajax,86545,12655,25240,48645,5565,20050,4955,18070,12300,5775,41250,6150,12175,22925,3700,8925,2235,8060,5135,2925,45290,6510,13070,25715,1865,11125,2725,10005,7160,2850
35002,Algoma--Manitoulin--Kapuskasing,67185,19055,17200,30930,8845,13800,1720,6570,4245,2320,33325,10200,7275,15850,6520,6190,600,2540,1655,885,33860,8850,9920,15085,2325,7610,1120,4030,2595,1435
35003,Aurora--Oak Ridges--Richmond Hill,82325,10675,18590,53060,3915,14245,4710,30185,19405,10785,40025,5310,8475,26240,2495,6570,2090,15090,9090,5995,42295,5360,10120,26815,1425,7675,2620,15100,10315,4785
35004,Barrie--Innisfil,79230,15075,24540,39610,7530,18515,2605,10965,7145,3825,38885,8040,11750,19090,5300,8100,1200,4490,2800,1690,40340,7035,12790,20520,2225,10410,1405,6480,4340,2135
35005,Barrie--Springwater--Oro-Medonte,80365,14600,23610,42160,7035,20575,2250,12300,8110,4190,38950,7230,11520,20200,5045,8820,935,5400,3585,1810,41420,7370,12090,21955,1990,11755,1310,6895,4520,2375
35006,Bay of Quinte,90770,20480,27300,42990,8540,21400,1855,11190,7455,3735,43720,9975,12895,20850,5935,8880,755,5275,3330,1945,47055,10510,14400,22135,2605,12515,1095,5915,4125,1790
35007,Beaches--East York,87540,13405,20300,53840,4375,14930,3600,30935,19015,11920,41580,6550,9980,25055,2905,6710,1550,13895,8395,5500,45960,6855,10320,28780,1470,8225,2050,17035,10620,6420
35008,Brampton Centre,83110,17520,25575,40015,6070,16355,3545,14040,8955,5085,40425,8410,12190,19825,4235,7195,1565,6835,4280,2550,42685,9110,13385,20190,1835,9165,1985,7205,4675,2535
35009,Brampton East,74655,15865,21270,37520,3690,12720,4295,16820,10315,6510,36745,7540,10630,18580,2445,6070,2115,7955,4880,3070,37910,8330,10640,18940,1240,6645,2180,8870,5430,3435
35010,Brampton North,88255,16530,27090,44635,5380,16470,5355,17435,10950,6485,43440,7960,13500,21980,3585,7490,2495,8410,5310,3100,44815,8570,13590,22655,1790,8975,2865,9025,5640,3390
