Electoral district number,Electoral district name,Conservative % Votes Obtained (2015),Liberal % Votes Obtained (2015),NDP % Votes Obtained (2015),Bloc Quebecois % Votes Obtained (2015),Green Party % Votes Obtained (2015),Other % Votes Obtained (2015)
35041,Kanata--Carleton,39.2,51.3,6.8,0,2.7,0
35042,Kenora,28.5,35.5,33.9,0,1.6,0.5
35043,King--Vaughan,44.2,47.4,6.5,0,1.9,0
35044,Kingston and the Islands,22.7,55.4,17,0,4.5,0.5
35045,Kitchener Centre,30.4,48.8,16.6,0,3.1,1.2
35046,Kitchener--Conestoga,43.3,42.8,9.8,0,2.8,1.4
35047,Kitchener South--Hespeler,36.7,42.3,15.6,0,3.7,1.8
35048,Lambton--Kent--Middlesex,50.2,29.4,17,0,3.3,0
35049,Lanark--Frontenac--Kingston,47.9,33.8,14.1,0,3.5,0.7
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,47.4,40.6,8.4,0,3.7,0
35051,London--Fanshawe,27.2,31.4,37.8,0,2.9,0.6
35052,London North Centre,31.1,50.5,14.7,0,3.6,0.2
35053,London West,35.3,45.8,14.8,0,2.8,1.2
35054,Markham--Stouffville,42.8,49.2,6.1,0,1.9,0
35055,Markham--Thornhill,32.3,55.7,10.7,0,1.2,0
35056,Markham--Unionville,49.4,43.3,5.1,0,2.2,0
35057,Milton,45.4,40.4,10.9,0,2.3,1
35058,Mississauga Centre,33.6,54.7,9.5,0,2.2,0
35059,Mississauga East--Cooksville,35.4,54.2,8.6,0,1.5,0.3
35060,Mississauga--Erin Mills,39.2,49.7,9.4,0,1.6,0
35061,Mississauga--Lakeshore,41.2,47.7,8,0,2.4,0.7
35062,Mississauga--Malton,26.4,59.1,12.3,0,1.7,0.5
35063,Mississauga--Streetsville,40.4,47.8,9,0,2.3,0.5
35064,Nepean,36.1,52.4,8.2,0,2.3,0.9
35065,Newmarket--Aurora,42.6,45.2,8.5,0,2.4,1.3
35066,Niagara Centre,29.7,35.7,31.5,0,2.4,0.7
35067,Niagara Falls,42.1,34.5,20.9,0,2.5,0
35068,Niagara West,48.8,32.7,11.5,0,3,4
35069,Nickel Belt,16.7,42.8,37.8,0,2.5,0.2
35070,Nipissing--Timiskaming,29.3,51.9,16.2,0,2.6,0
35071,Northumberland--Peterborough South,39.6,42.5,14.8,0,3.1,0
35072,Oakville,42.5,49.4,5.9,0,2.2,0
35073,Oakville North--Burlington,43.3,46.7,7.2,0,1.6,1.1
35074,Oshawa,38.2,27.3,31.9,0,2.5,0.1
35075,Ottawa Centre,14.5,42.7,38.5,0,3,1.3
35076,Orleans,30.5,59.7,8,0,1.8,0
35077,Ottawa South,24.3,60.1,11.6,0,2.9,1.2
35078,Ottawa--Vanier,19.1,57.6,19.2,0,3.1,1
35079,Ottawa West--Nepean,30,55.9,9.8,0,2.8,1.4
35080,Oxford,45.7,32.2,16.5,0,3.5,2.1
35081,Parkdale--High Park,13,42,40.2,0,3,1.7
35082,Parry Sound--Muskoka,43.3,38.9,10.1,0,7.2,0.5
35083,Perth--Wellington,42.9,37.6,15,0,2.6,1.9
35084,Peterborough--Kawartha,35.1,43.8,18.7,0,2.2,0.2
35085,Pickering--Uxbridge,38.2,50.3,9.2,0,2.3,0
35086,Renfrew--Nipissing--Pembroke,45.8,32.7,8.6,0,1.9,11
35087,Richmond Hill,43.3,46.9,8,0,1.7,0
35088,Carleton,46.9,43.7,6.1,0,3.3,0
35089,St. Catharines,37.6,43.2,16.5,0,2.6,0.1
35090,Toronto--St. Paul's,27,55.3,14.7,0,3,0
35091,Sarnia--Lambton,38.8,27.3,31.1,0,2.8,0
35092,Sault Ste. Marie,31.1,44.8,21.8,0,2.1,0.2
35093,Scarborough--Agincourt,38,51.9,7.9,0,1.4,0.8
35094,Scarborough Centre,32.7,50.5,11.6,0,2.1,3.1
35095,Scarborough--Guildwood,26.5,60,11.3,0,1.4,0.7
35096,Scarborough North,27.4,48.2,22.1,0,1.5,0.8
35097,Scarborough--Rouge Park,27.4,60.2,10.4,0,2,0
35098,Scarborough Southwest,21.2,52.5,23.7,0,2.6,0
35099,Simcoe--Grey,46.6,38.6,9.6,0,4.4,0.8
35100,Simcoe North,43.5,39.8,10.6,0,4.5,1.7
35101,Spadina--Fort York,15.7,54.7,27.3,0,2.1,0.3
35102,Stormont--Dundas--South Glengarry,51.1,38.5,8.2,0,2.2,0
35103,Sudbury,21.1,47.4,27.8,0,3,0.7
35104,Thornhill,58.6,33.8,5.2,0,1.2,1.4
35105,Thunder Bay--Rainy River,21.1,44,29.7,0,5.2,0
35106,Thunder Bay--Superior North,17.4,45,23.2,0,13.8,0.6
35107,Timmins--James Bay,20.4,34.7,42.9,0,2,0
35108,Toronto Centre,12.2,57.9,26.6,0,2.6,0.8
35109,Toronto--Danforth,9.9,42.3,40.2,0,4.7,2.9
35110,University--Rosedale,17.5,49.8,28.6,0,2.9,1.09
35111,Vaughan--Woodbridge,43.9,48.7,4.6,0,1.3,1.5
35112,Waterloo,32.3,49.7,14.9,0,2.9,0.2
