Geo_Code,Prov_Name,FED_Name,GNR,Topic,Characteristic,Total,Male,Female
12011,Nova Scotia,West Nova,34.9,Household characteristics,45 to 54 years,7660,,
12011,Nova Scotia,West Nova,34.9,Household characteristics,55 to 64 years,7550,,
12011,Nova Scotia,West Nova,34.9,Household characteristics,65 to 74 years,5770,,
12011,Nova Scotia,West Nova,34.9,Household characteristics,75 years and over,4965,,
13001,New Brunswick,Acadie--Bathurst,30.7,Household characteristics,Total number of private households by age group of primary household maintainers,34105,,
13001,New Brunswick,Acadie--Bathurst,30.7,Household characteristics,Under 25 years,555,,
13001,New Brunswick,Acadie--Bathurst,30.7,Household characteristics,25 to 34 years,3290,,
13001,New Brunswick,Acadie--Bathurst,30.7,Household characteristics,35 to 44 years,5180,,
13001,New Brunswick,Acadie--Bathurst,30.7,Household characteristics,45 to 54 years,7570,,
13001,New Brunswick,Acadie--Bathurst,30.7,Household characteristics,55 to 64 years,8300,,
13001,New Brunswick,Acadie--Bathurst,30.7,Household characteristics,65 to 74 years,5345,,
13001,New Brunswick,Acadie--Bathurst,30.7,Household characteristics,75 years and over,3865,,
13002,New Brunswick,Beausejour,26.2,Household characteristics,Total number of private households by age group of primary household maintainers,32560,,
13002,New Brunswick,Beausejour,26.2,Household characteristics,Under 25 years,850,,
13002,New Brunswick,Beausejour,26.2,Household characteristics,25 to 34 years,4040,,
13002,New Brunswick,Beausejour,26.2,Household characteristics,35 to 44 years,5410,,
13002,New Brunswick,Beausejour,26.2,Household characteristics,45 to 54 years,7185,,
13002,New Brunswick,Beausejour,26.2,Household characteristics,55 to 64 years,7255,,
13002,New Brunswick,Beausejour,26.2,Household characteristics,65 to 74 years,4625,,
13002,New Brunswick,Beausejour,26.2,Household characteristics,75 years and over,3200,,
13003,New Brunswick,Fredericton,23.2,Household characteristics,Total number of private households by age group of primary household maintainers,34210,,
13003,New Brunswick,Fredericton,23.2,Household characteristics,Under 25 years,2755,,
13003,New Brunswick,Fredericton,23.2,Household characteristics,25 to 34 years,5945,,
13003,New Brunswick,Fredericton,23.2,Household characteristics,35 to 44 years,6080,,
13003,New Brunswick,Fredericton,23.2,Household characteristics,45 to 54 years,6680,,
13003,New Brunswick,Fredericton,23.2,Household characteristics,55 to 64 years,5875,,
13003,New Brunswick,Fredericton,23.2,Household characteristics,65 to 74 years,3665,,
13003,New Brunswick,Fredericton,23.2,Household characteristics,75 years and over,3225,,
13004,New Brunswick,Fundy Royal,27.9,Household characteristics,Total number of private households by age group of primary household maintainers,30515,,
13004,New Brunswick,Fundy Royal,27.9,Household characteristics,Under 25 years,545,,
13004,New Brunswick,Fundy Royal,27.9,Household characteristics,25 to 34 years,3575,,
13004,New Brunswick,Fundy Royal,27.9,Household characteristics,35 to 44 years,5690,,
13004,New Brunswick,Fundy Royal,27.9,Household characteristics,45 to 54 years,7330,,
13004,New Brunswick,Fundy Royal,27.9,Household characteristics,55 to 64 years,6825,,
13004,New Brunswick,Fundy Royal,27.9,Household characteristics,65 to 74 years,3835,,
13004,New Brunswick,Fundy Royal,27.9,Household characteristics,75 years and over,2715,,
13005,New Brunswick,Madawaska--Restigouche,28.8,Household characteristics,Total number of private households by age group of primary household maintainers,27375,,
13005,New Brunswick,Madawaska--Restigouche,28.8,Household characteristics,Under 25 years,615,,
